2343,r???b402.7344,748.7632
80359917,2.3226,3793.9453,8811.9512
80359955,2.3226,3774.4141,8766.5869
80359994,2.3754,3798.8281,9023.8213
80360032,2.3754,3764.6484,8942.6299
80360071,2.2962,3789.0625,8700.6025
80360109,2.3226,3779.2969,8777.9277
80360147,2.2962,3789.0625,8700.6025
80360186,2.3226,3779.2969,8777.9277
80360224,2.4018,3779.2969,9077.1748
80360263,2.3754,3789.0625,9000.6230
80360301,2.3226,3789.0625,8800.6094
80360340,2.2435,3784.1797,8489.6348
80360379,2.2962,3798.8281,8723.0273
80360417,2.3226,3813.4766,8857.3145
80360456,2.3226,3793.9453,8811.9512
80360494,2.3490,3798.8281,8923.5566
80360532,2.3754,3789.0625,9000.6230
80360570,2.3490,3808.5938,8946.4961
80360609,2.2962,3769.5313,8655.7539
80360648,2.3754,3798.8281,9023.8213
80360686,2.2171,3764.6484,8346.4541
80360725,2.2171,3808.5938,8443.8838
80360763,2.2435,3779.2969,8478.6807
80360802,2.2435,3818.3594,8566.3154
80360840,2.1643,3774.4141,8168.8652
80360879,2.2435,3813.4766,8555.3613
80360918,2.3490,3759.7656,8831.7979
80360955,2.3226,3779.2969,8777.9277
80360994,2.4810,3759.7656,9327.9658
80361032,2.3754,3779.2969,8977.4258
80361071,2.4018,3759.7656,9030.2646
80361109,2.4546,3789.0625,9300.6436
80361148,2.4282,3759.7656,9129.4990
80361187,2.3490,3798.8281,8923.5566
80361225,2.4282,3764.6484,9141.3555
80361264,2.2435,3793.9453,8511.5439
80361302,2.4018,3789.0625,9100.6309
80361340,2.1907,3803.7109,8332.6650
80361379,2.2171,3789.0625,8400.5820
80361417,2.1907,3798.8281,8321.9678
80361456,2.2698,3793.9453,8611.6787
80361494,2.2435,3798.8281,8522.4980
80361533,2.2435,3784.1797,8489.6348
80361571,2.2171,3779.2969,8378.9307
80361610,2.2435,3779.2969,8478.6807
80361649,2.4018,3769.5313,9053.7197
80361687,2.2962,3789.0625,8700.6025
80361725,2.2698,3769.5313,8556.2627
80361763,2.3490,3793.9453,8912.0869
80361802,2.4018,3779.2969,9077.1748
80361840,2.3490,3789.0625,8900.6172
80361879,2.2171,3774.4141,8368.1055
80361918,2.2962,3803.7109,8734.2393
80361956,2.3226,3769.5313,8755.2461
80361995,2.3754,3789.0625,9000.6230
80362033,2.2962,3774.4141,8666.9658
80362072,2.2435,3803.7109,8533.4521
80362110,2.3754,3764.6484,8942.6299
80362148,2.3490,3793.9453,8912.0869
80362187,2.3754,3784.1797,8989.0244
80362225,2.3226,3793.9453,8811.9512
80362264,2.4018,3759.7656,9030.2646
80362302,2.3226,3798.8281,8823.2920
80362341,2.3226,3764.6484,8743.9053
80362380,2.2698,3803.7109,8633.8447
80362418,2.2698,3774.4141,8567.3457
80362457,2.2698,3798.8281,8622.7617
80362494,2.2171,3784.1797,8389.7568
80362533,2.2171,3803.7109,8433.0586
