9172196,0i???01.5547,1272.7686
289184407,1.3989,3852.5391,5389.1616
289184447,1.5308,3842.7734,5882.6240
289184487,1.4516,3862.3047,5606.7026
289184526,1.6364,3837.8906,6280.3320
289184566,1.6628,3847.6563,6397.8662
289184605,1.4253,3852.5391,5490.8442
289184645,1.3461,3837.8906,5166.0796
289184685,1.4253,3857.4219,5497.8037
289184723,1.4516,3896.4844,5656.3193
289184763,1.5572,3842.7734,5984.0488
289184802,1.3461,3891.6016,5238.3784
289184842,1.3989,3837.8906,5368.6709
289184882,1.3197,3886.7188,5129.2212
289184921,1.3197,3852.5391,5084.1147
289184961,1.4780,3847.6563,5686.9922
289185000,1.2669,3867.1875,4899.3081
289185040,1.4253,3872.0703,5518.6812
289185080,1.2405,3901.3672,4839.6392
289185119,1.4780,3862.3047,5708.6431
289185159,1.4780,3833.0078,5665.3413
289185198,1.2669,3881.8359,4917.8662
289185238,1.5572,3725.5859,5801.5615
289185276,1.3725,3886.7188,5334.3901
289185316,1.4780,3867.1875,5715.8599
289185356,1.4780,3847.6563,5686.9922
289185395,1.4780,3862.3047,5708.6431
289185435,1.6364,3813.4766,6240.3809
289185474,1.3725,3896.4844,5347.7930
289185514,1.4780,3857.4219,5701.4263
289185554,1.2405,3896.4844,4833.5820
289185593,1.4516,3842.7734,5578.3501
289185633,1.4253,3881.8359,5532.5996
289185672,1.5308,3828.1250,5860.2002
289185712,1.3725,3891.6016,5341.0918
289185752,1.3725,3852.5391,5287.4795
289185790,1.2141,3901.3672,4736.6685
289185830,1.4780,3833.0078,5665.3413
289185869,1.4780,3837.8906,5672.5581
289185909,1.2933,3867.1875,5001.3774
289185949,1.3989,3867.1875,5409.6528
289185988,1.3725,3867.1875,5307.5840
289186028,1.6100,3842.7734,6186.8979
289186067,1.2405,3862.3047,4791.1826
289186107,1.4253,3842.7734,5476.9258
289186147,1.3725,3876.9531,5320.9873
289186186,1.5836,3828.1250,6062.2754
289186226,1.5044,3852.5391,5795.8911
289186265,1.3197,3876.9531,5116.3335
289186305,1.6100,3852.5391,6202.6206
289186344,1.4780,3857.4219,5701.4263
289186383,1.6100,3862.3047,6218.3433
289186423,1.4780,3842.7734,5679.7749
289186462,1.5572,3872.0703,6029.6704
289186502,1.5836,3876.9531,6139.6006
289186541,1.2933,3901.3672,5045.5815
289186581,1.4780,3847.6563,5686.9922
289186621,1.2405,3906.2500,4845.6963
289186660,1.5308,3857.4219,5905.0483
289186700,1.3461,3901.3672,5251.5239
289186739,1.4516,3847.6563,5585.4385
289186779,1.2933,3876.9531,5014.0073
289186819,1.3461,3867.1875,5205.5156
289186857,1.2669,3896.4844,4936.4243
289186897,1.4516,3867.1875,5613.7910
289186936,1.2669,3891.6016,4930.2383
289186976,1.5308,3837.8906,5875.1494
289187016,1.3461,3876.9531,5218.6606
289187055,1.3461,3876.9531,5218.6606
289187095,1.5308,3857.4219,5905.0483
289187134,1.2933,3876.9531,5014.0073
289187174,1.4780,3852.5391,5694.2090
289187214,1.5308,3837.8906,5875.1494
289187253,1.6628,3813.4766,6341.0322
289187293,1.3725,3872.0703,5314.2856
289187332,1.5044,3833.0078,5766.5078
289187372,1.2669,3911.1328,4954.9824
289187411,1.3989,3833.0078,5361.8403
289187450,1.3725,3896.4844,5347.7930
289187490,1.3197,3862.3047,5097.0024
289187529,1.3461,3891.6016,5238.3784
289187569,1.5044,3837.8906,5773.8535
289187609,1.7684,3798.8281,6717.7334
289187648,1.7684,3808.5938,6735.0024
289187688,1.7156,3828.1250,6567.4653
289187727,1.7948,3808.5938,6835.5254
289187767,1.7684,3833.0078,6778.1758
289187806,1.7420,3808.5938,6634.4805
289187846,1.9003,3808.5938,7237.6147
289187886,1.9531,3769.5313,7362.3657
289187924,2.1115,3769.5313,7959.3140
289187964,2.1643,3769.5313,8158.2974
289188003,2.2962,3735.3516,8577.2695
289188043,2.1115,3774.4141,7969.6240
289188083,2.2698,3754.8828,8523.0127
289188122,2.0059,3789.0625,7600.5264
289188162,1.8212,3803.7109,6927.1553
289188201,1.7684,3823.2422,6760.9063
289188241,1.8739,3793.9453,7109.6421
289188281,1.8212,3798.8281,6918.2627
289188320,1.8739,3789.0625,7100.4922
289188360,1.8739,3803.7109,7127.9424
289188399,1.9003,3793.9453,7209.7778
289188439,2.0587,3789.0625,7800.5405
289188478,2.0587,3750.0000,7720.1226
289188517,2.0059,3784.1797,7590.7319
289188557,2.0587,3750.0000,7720.1226
289188596,2.0851,3789.0625,7900.5479
289188636,2.2962,3720.7031,8543.6328
289188676,2.2962,3740.2344,8588.4814
289188715,2.1115,3750.0000,7918.0742
289188755,2.1907,3774.4141,8268.4854
289188794,2.1379,3745.1172,8006.6113
289188834,2.3754,3730.4688,8861.4385
289188874,2.3226,3681.6406,8551.1084
289188913,2.1907,3750.0000,8215.0020
289188953,2.1907,3764.6484,8247.0918
289188992,2.1907,3745.1172,8204.3057
289189031,2.1379,3759.7656,8037.9282
289189070,2.1115,3745.1172,7907.7642
289189110,2.1379,3750.0000,8017.0503
289189150,2.2962,3735.3516,8577.2695
289189189,2.2435,3745.1172,8402.0000
289189229,2.2698,3730.4688,8467.5967
289189268,2.1379,3759.7656,8037.9282
289189308,2.1379,3750.0000,8017.0503
289189348,2.2171,3769.5313,8357.2803
289189387,2.1379,3715.8203,7943.9780
289189427,2.2962,3759.7656,8633.3301
289189466,2.1907,3735.3516,8182.9121
289189506,2.1907,3769.5313,8257.7881
289189545,2.1907,3745.1172,8204.3057
289189584,2.1379,3774.4141,8069.2446
289189624,2.2962,3725.5859,8554.8447
289189663,2.4018,3730.4688,8959.8994
289189703,2.2435,3715.8203,8336.2734
289189743,2.4546,3730.4688,9156.8193
289189782,2.4546,3701.1719,9084.9072
289189822,2.3754,3710.9375,8815.0439
289189861,2.2962,3710.9375,8521.2090
289189901,2.1907,3750.0000,8215.0020
289189941,2.3754,3715.8203,8826.6426
289189980,2.2698,3730.4688,8467.5967
289190020,2.2962,3725.5859,8554.8447
289190059,2.3490,3730.4688,8762.9785
289190098,2.3490,3701.1719,8694.1592
289190138,2.4810,3701.1719,9182.5947
289190177,2.5074,3691.4063,9255.7959
289190217,2.5338,3710.9375,9402.7129
289190256,2.2962,3740.2344,8588.4814
289190296,2.3490,3735.3516,8774.4482
289190335,2.4546,3701.1719,9084.9072
289190375,2.3490,3720.7031,8740.0391
289190415,2.3754,3720.7031,8838.2412
289190454,2.3490,3725.5859,8751.5088
289190494,2.3754,3735.3516,8873.0371
289190533,2.2962,3740.2344,8588.4814
289190573,2.2435,3759.7656,8434.8633
289190612,2.2962,3730.4688,8566.0576
289190651,2.5338,3764.6484,9538.8047
289190691,2.2962,3730.4688,8566.0576
289190730,2.1379,3774.4141,8069.2446
289190770,2.1379,3720.7031,7954.4170
