.2159
3S?8795L	.2111,4023.4375,849.5434
349496163,1.7684,3833.0078,6778.1758
349496202,1.7684,3828.1250,6769.5410
349496242,1.6892,3803.7109,6425.1875
349496281,1.7156,3842.7734,6592.5957
349496321,1.7948,3803.7109,6826.7617
349496360,1.7156,3803.7109,6525.5806
349496399,1.7948,3828.1250,6870.5791
349496439,1.6100,3793.9453,6108.2842
349496478,1.6364,3862.3047,6320.2832
349496518,1.5836,3842.7734,6085.4731
349496557,1.7156,3808.5938,6533.9575
349496597,1.8212,3823.2422,6962.7246
349496637,1.8212,3793.9453,6909.3706
349496676,1.6628,3823.2422,6357.2705
349496716,1.5044,3862.3047,5810.5830
349496755,1.5044,3823.2422,5751.8159
349496795,1.6892,3833.0078,6474.6753
349496835,1.7420,3833.0078,6677.0093
349496873,1.7684,3779.2969,6683.1948
349496913,1.6100,3823.2422,6155.4521
349496952,1.7156,3833.0078,6575.8418
349496992,1.6100,3808.5938,6131.8682
349497032,1.7420,3823.2422,6659.9976
349497071,1.8739,3803.7109,7127.9424
349497111,1.7420,3793.9453,6608.9629
349497150,1.5572,3818.3594,5946.0308
349497190,1.5308,3803.7109,5822.8262
349497230,1.6100,3818.3594,6147.5908
349497269,1.6628,3823.2422,6357.2705
349497309,1.8212,3779.2969,6882.6934
349497348,1.7156,3813.4766,6542.3345
349497388,1.5308,3852.5391,5897.5737
349497427,1.4780,3818.3594,5643.6899
349497466,1.5836,3852.5391,6100.9380
349497506,1.6628,3813.4766,6341.0322
349497545,1.9531,3774.4141,7371.9023
349497585,1.6892,3837.8906,6482.9233
349497625,1.5308,3857.4219,5905.0483
349497664,1.4780,3857.4219,5701.4263
349497704,1.5308,3847.6563,5890.0991
349497743,1.6628,3789.0625,6300.4365
349497783,1.8212,3813.4766,6944.9399
349497822,1.7948,3813.4766,6844.2886
349497862,1.5044,3837.8906,5773.8535
349497902,1.4516,3852.5391,5592.5264
349497940,1.6364,3828.1250,6264.3516
349497980,1.5836,3823.2422,6054.5430
349498019,1.7684,3828.1250,6769.5410
349498059,1.7156,3798.8281,6517.2041
349498099,1.6100,3857.4219,6210.4819
349498138,1.4253,3813.4766,5435.1704
349498178,1.4253,3974.6094,5664.8257
349498217,1.6100,3852.5391,6202.6206
349498257,1.7420,3818.3594,6651.4917
349498297,1.7684,3789.0625,6700.4644
349498336,1.5572,3847.6563,5991.6523
349498376,1.4780,3833.0078,5665.3413
349498415,1.5308,3828.1250,5860.2002
349498455,1.6100,3837.8906,6179.0366
349498494,1.6892,3793.9453,6408.6914
349498533,1.7948,3808.5938,6835.5254
349498573,1.5836,3842.7734,6085.4731
349498612,1.2933,3852.5391,4982.4331
349498652,1.5308,3867.1875,5919.9980
349498692,1.6100,3818.3594,6147.5908
349498731,1.7948,3808.5938,6835.5254
349498771,1.5308,3852.5391,5897.5737
349498810,1.3989,3842.7734,5375.5010
349498850,1.3989,3876.9531,5423.3135
349498890,1.5308,3862.3047,5912.5234
349498929,1.6100,3886.7188,6257.6499
349498969,1.6364,3837.8906,6280.3320
349499008,1.6892,3823.2422,6458.1792
349499047,1.4253,3842.7734,5476.9258
349499086,1.4516,3872.0703,5620.8789
349499126,1.4516,3828.1250,5557.0859
349499166,1.6892,3828.1250,6466.4272
349499205,1.7156,3823.2422,6559.0884
349499245,1.6892,3798.8281,6416.9395
349499284,1.6364,3862.3047,6320.2832
349499324,1.4516,3837.8906,5571.2622
349499364,1.6100,3857.4219,6210.4819
349499403,1.6100,3828.1250,6163.3135
349499443,1.7948,3784.1797,6791.7080
349499482,1.5836,3823.2422,6054.5430
349499522,1.5044,3828.1250,5759.1616
349499561,1.3989,3847.6563,5382.3315
349499600,1.6100,3857.4219,6210.4819
349499640,1.6100,3828.1250,6163.3135
349499679,1.6364,3730.4688,6104.5464
349499719,1.6364,3828.1250,6264.3516
349499759,1.5572,3833.0078,5968.8413
349499798,1.3989,3876.9531,5423.3135
349499838,1.5572,3842.7734,5984.0488
349499877,1.5836,3818.3594,6046.8105
349499917,1.6364,3837.8906,6280.3320
349499957,1.4253,3847.6563,5483.8853
349499996,1.3461,3881.8359,5225.2334
349500036,1.4253,3857.4219,5497.8037
349500075,1.4253,3837.8906,5469.9668
349500114,1.4253,3886.7188,5539.5591
349500154,1.2405,3891.6016,4827.5249
349500193,1.1613,3891.6016,4519.3853
349500233,1.2669,3867.1875,4899.3081
349500272,1.4516,3828.1250,5557.0859
349500312,1.6892,3828.1250,6466.4272
349500351,1.7948,3793.9453,6809.2349
349500391,1.5836,3803.7109,6023.6128
349500431,1.3989,3901.3672,5457.4653
349500470,1.3461,3847.6563,5179.2251
349500510,1.4253,3867.1875,5511.7222
349500549,1.7684,3828.1250,6769.5410
349500589,1.8476,3774.4141,6973.4209
349500628,1.8212,3808.5938,6936.0474
349500667,1.8212,3803.7109,6927.1553
349500707,1.7420,3793.9453,6608.9629
349500746,1.8212,3833.0078,6980.5093
349500786,1.8212,3784.1797,6891.5859
349500826,1.7156,3818.3594,6550.7114
349500865,1.7948,3789.0625,6800.4712
349500905,1.8212,3789.0625,6900.4780
349500944,1.8212,3764.6484,6856.0161
349500984,1.8739,3779.2969,7082.1919
349501024,1.9267,3774.4141,7272.2822
349501063,2.0851,3779.2969,7880.1855
349501103,1.8739,3764.6484,7054.7412
349501142,1.7948,3789.0625,6800.4712
349501181,1.7948,3789.0625,6800.4712
349501221,1.9531,3779.2969,7381.4395
349501260,2.0059,3779.2969,7580.9370
349501300,2.0587,3740.2344,7700.0181
349501339,2.1907,3754.8828,8225.6982
349501379,2.2435,3730.4688,8369.1367
349501419,2.2435,3735.3516,8380.0908
349501458,2.1907,3745.1172,8204.3057
349501498,2.0059,3754.8828,7531.9648
349501537,1.9003,3789.0625,7200.4985
349501577,1.8476,3789.0625,7000.4849
349501616,1.9531,3764.6484,7352.8291
349501656,2.0323,3779.2969,7680.6865
349501696,2.0851,3754.8828,7829.2798
349501734,2.2171,3750.0000,8313.9775
349501774,2.2171,3759.7656,8335.6289
349501813,2.1115,3735.3516,7887.1440
349501853,2.0323,3769.5313,7660.8398
349501893,1.9795,3754.8828,7432.8604
349501932,1.8739,3769.5313,7063.8916
349501972,1.9267,3779.2969,7281.6904
349502011,1.9795,3754.8828,7432.8604
349502051,2.0059,3779.2969,7580.9370
349502091,2.0323,3769.5313,7660.8398
349502130,1.9795,3769.5313,7461.8569
349502170,1.9267,3935.5469,7582.7422
349502209,2.0851,3745.1172,7808.9175
349502248,2.0323,3774.4141,7670.7632
349502288,2.0851,3754.8828,7829.2798
349502327,2.1115,3740.2344,7897.4541
349502367,2.0323,3784.1797,7690.6099
349502406,1.9795,3735.3516,7394.1978
349502446,1.9003,3784.1797,7191.2197
349502486,2.0059,3750.0000,7522.1704
349502525,2.1115,3754.8828,7928.3843
349502565,2.1379,3754.8828,8027.4893
349502604,2.1643,3735.3516,8084.3232
349502644,2.2171,3750.0000,8313.9775
349502684,2.2698,3745.1172,8500.8467
349502723,2.2698,3740.2344,8489.7627
349502763,2.1115,3764.6484,7949.0039
349502801,2.0059,3759.7656,7541.7593
349502841,2.1115,3779.2969,7979.9341
349502880,2.1115,3735.3516,7887.1440
349502920,2.2171,3818.3594,8465.5352
349502960,2.1907,3759.7656,8236.3955
349502999,2.1907,3740.2344,8193.6084
349503039,2.1115,3774.4141,7969.6240
349503078,2.0851,3735.3516,7788.5557
349503118,2.0851,3759.7656,7839.4609
349503158,2.1643,3740.2344,8094.8911
349503197,2.0323,3769.5313,7660.8398
349503237,2.0323,3774.4141,7670.7632
349503276,2.0587,3754.8828,7730.1748
349503315,2.0851,3779.2969,7880.1855
349503355,2.0587,3725.5859,7669.8613
349503394,2.2698,3730.4688,8467.5967
349503434,2.1907,3720.7031,8150.8223
349503473,2.1379,3715.8203,7943.9780
349503513,2.1907,3750.0000,8215.0020
349503553,2.2171,3706.0547,8216.5488
349503592,2.3226,3730.4688,8664.5176
349503632,2.3226,3701.1719,8596.4717
349503671,2.2171,3798.8281,8422.2334
349503711,2.1643,3784.1797,8190.0005
349503751,2.1379,3764.6484,8048.3667
349503790,2.1115,3730.4688,7876.8340
349503830,2.1907,3740.2344,8193.6084
349503868,2.1643,3745.1172,8105.4590
349503908,2.0851,3725.5859,7768.1934
349503948,2.0587,3745.1172,7710.0703
349503987,2.1115,3735.3516,7887.1440
349504027,2.1907,3745.1172,8204.3057
349504066,2.3226,3730.4688,8664.5176
349504106,2.3490,3735.3516,8774.4482
349504145,2.3490,3740.2344,8785.9180
349504185,2.2435,3701.1719,8303.4102
349504225,2.1907,3759.7656,8236.3955
349504264,2.1379,3730.4688,7975.2949
349504304,2.1643,3745.1172,8105.4590
349504343,2.2962,3720.7031,8543.6328
349504382,2.4282,3701.1719,8987.2207
349504422,2.3754,3701.1719,8791.8457
349504461,2.2962,3715.8203,8532.4209
349504501,2.3226,3740.2344,8687.2002
349504540,2.3490,3710.9375,8717.0996
349504580,2.3490,3750.0000,8808.8584
349504620,2.1907,3725.5859,8161.5186
349504659,2.0587,3764.6484,7750.2793
349504699,2.0851,3750.0000,7819.0986
349504738,2.1643,3740.2344,8094.8911
349504778,2.2698,3750.0000,8511.9297
349504818,2.4018,3696.2891,8877.8057
349504857,2.2171,3735.3516,8281.5020
349504897,2.1907,3710.9375,8129.4287
349504935,2.2962,3715.8203,8532.4209
349504975,2.2171,3730.4688,8270.6758
349505015,2.2698,3710.9375,8423.2637
349505054,2.4018,3720.7031,8936.4443
349505094,2.3490,3710.9375,8717.0996
349505133,2.1907,3745.1172,8204.3057
349505173,2.2962,3710.9375,8521.2090
349505213,2.3490,3706.0547,8705.6289
349505252,2.3754,3706.0547,8803.4443
349505292,2.3490,3701.1719,8694.1592
349505331,2.3226,3730.4688,8664.5176
349505371,2.2171,3720.7031,8249.0254
349505410,2.1379,3754.8828,8027.4893
349505449,2.2435,3701.1719,8303.4102
349505489,2.2962,3715.8203,8532.4209
349505528,2.2435,3745.1172,8402.0000
349505568,2.2435,3720.7031,8347.2275
349505607,2.1907,3754.8828,8225.6982
349505647,2.2435,3710.9375,8325.3193
349505687,2.4546,3730.4688,9156.8193
349505726,2.4018,3686.5234,8854.3506
349505766,2.4810,3720.7031,9231.0518
349505805,2.3226,3710.9375,8619.1543
349505845,2.2435,3720.7031,8347.2275
349505885,2.2962,3720.7031,8543.6328
349505924,2.4810,3706.0547,9194.7090
349505964,2.3754,3725.5859,8849.8398
349506002,2.2171,3730.4688,8270.6758
349506042,2.2698,3745.1172,8500.8467
349506082,2.1379,3725.5859,7964.8560
349506121,2.1379,3750.0000,8017.0503
349506161,2.3490,3715.8203,8728.5693
349506200,2.2962,3574.2188,8207.2695
349506240,2.3226,3603.5156,8369.6523
349506280,2.2171,3710.9375,8227.3740
349506319,2.2435,3735.3516,8380.0908
349506359,2.3226,3710.9375,8619.1543
349506398,2.2962,3720.7031,8543.6328
349506438,2.4018,3710.9375,8912.9883
349506478,2.2171,3715.8203,8238.1992
349506516,2.2698,3754.8828,8523.0127
349506556,2.2171,3715.8203,8238.1992
349506595,2.1643,3745.1172,8105.4590
349506635,2.3754,3691.4063,8768.6484
349506674,2.3490,3725.5859,8751.5088
349506714,2.3754,3696.2891,8780.2471
349506754,2.3490,3715.8203,8728.5693
349506793,2.3226,3710.9375,8619.1543
349506833,2.2962,3730.4688,8566.0576
349506872,2.4810,3710.9375,9206.8232
349506912,2.3490,3701.1719,8694.1592
349506952,2.3490,3725.5859,8751.5088
349506991,2.2435,3706.0547,8314.3652
349507031,2.0851,3759.7656,7839.4609
349507069,2.1907,3720.7031,8150.8223
349507109,2.2698,3740.2344,8489.7627
349507149,2.3490,3701.1719,8694.1592
349507188,2.3226,3730.4688,8664.5176
349507228,2.3754,3706.0547,8803.4443
349507267,2.2962,3701.1719,8498.7842
349507307,2.3490,3730.4688,8762.9785
349507347,2.4546,3691.4063,9060.9365
349507386,2.4546,3686.5234,9048.9512
349507426,2.3754,3720.7031,8838.2412
349507465,2.2962,3730.4688,8566.0576
349507505,2.2435,3720.7031,8347.2275
349507545,2.3490,3735.3516,8774.4482
349507584,2.2698,3696.2891,8390.0137
349507623,2.4546,3720.7031,9132.8486
349507662,2.3226,3691.4063,8573.7900
349507702,2.3226,3735.3516,8675.8594
349507742,2.1643,3745.1172,8105.4590
349507781,2.1379,3735.3516,7985.7339
349507821,2.1907,3745.1172,8204.3057
349507860,2.2962,3696.2891,8487.5723
349507900,2.3490,3720.7031,8740.0391
349507939,2.2698,3706.0547,8412.1807
349507979,2.2435,3735.3516,8380.0908
349508019,2.2435,3715.8203,8336.2734
349508058,2.4810,3715.8203,9218.9375
349508098,2.5074,3676.7578,9219.0664
349508136,2.5074,3715.8203,9317.0117
349508176,2.4282,3676.7578,8927.9385
349508216,2.3226,3725.5859,8653.1768
349508255,2.2962,3710.9375,8521.2090
349508295,2.2962,3740.2344,8588.4814
349508334,2.3226,3701.1719,8596.4717
349508374,2.2962,3725.5859,8554.8447
349508414,2.2435,3735.3516,8380.0908
349508453,2.1907,3691.4063,8086.6426
349508493,2.2171,3740.2344,8292.3271
349508532,2.3226,3745.1172,8698.5410
349508572,2.3226,3730.4688,8664.5176
349508612,2.3226,3706.0547,8607.8125
349508651,2.2962,3735.3516,8577.2695
349508690,2.2698,3730.4688,8467.5967
349508729,2.1907,3725.5859,8161.5186
349508769,2.1643,3730.4688,8073.7554
349508809,2.2698,3696.2891,8390.0137
349508848,2.2171,3715.8203,8238.1992
349508888,2.2171,3710.9375,8227.3740
349508927,2.2962,3735.3516,8577.2695
349508967,2.2698,3710.9375,8423.2637
349509007,2.1115,3715.8203,7845.9043
349509046,2.3490,3735.3516,8774.4482
349509086,2.2698,3720.7031,8445.4297
349509125,2.3226,3740.2344,8687.2002
349509165,2.1907,3730.4688,8172.2153
349509203,2.2171,3730.4688,8270.6758
349509243,2.3226,3710.9375,8619.1543
349509283,2.4282,3671.8750,8916.0820
349509322,2.4546,3696.2891,9072.9219
349509362,2.4282,3691.4063,8963.5078
349509401,2.5074,3715.8203,9317.0117
349509441,2.3490,3701.1719,8694.1592
349509481,2.2962,3676.7578,8442.7236
349509520,2.3226,3720.7031,8641.8359
349509560,2.3490,3735.3516,8774.4482
349509599,2.1907,3730.4688,8172.2153
349509639,2.0851,3750.0000,7819.0986
349509679,1.9531,3759.7656,7343.2920
349509718,2.0059,3730.4688,7482.9922
349509757,2.2698,3764.6484,8545.1797
349509796,2.3754,3750.0000,8907.8330
349509836,2.4546,3715.8203,9120.8633
349509876,2.4282,3691.4063,8963.5078
349509915,2.3490,3691.4063,8671.2197
349509955,2.4018,3696.2891,8877.8057
349509994,2.5074,3706.0547,9292.5254
349510034,2.3490,3691.4063,8671.2197
349510074,2.2962,3715.8203,8532.4209
349510113,2.2435,3750.0000,8412.9541
349510153,2.0851,3735.3516,7788.5557
349510192,2.0851,3764.6484,7849.6421
349510232,2.2435,3642.5781,8171.9580
349510272,2.4018,3706.0547,8901.2607
349510310,2.2171,3715.8203,8238.1992
349510350,2.2435,3710.9375,8325.3193
349510389,2.1379,3750.0000,8017.0503
349510429,2.2435,3730.4688,8369.1367
349510468,2.2435,3750.0000,8412.9541
349510508,2.3226,3706.0547,8607.8125
349510548,2.3490,3715.8203,8728.5693
349510587,2.3226,3715.8203,8630.4951
349510627,2.1643,3720.7031,8052.6201
349510666,2.1643,3745.1172,8105.4590
349510706,2.2698,3710.9375,8423.2637
349510746,2.3226,3725.5859,8653.1768
349510785,2.3490,3715.8203,8728.5693
349510824,2.3226,3715.8203,8630.4951
349510863,2.2435,3730.4688,8369.1367
349510903,2.2171,3715.8203,8238.1992
349510943,2.2171,3735.3516,8281.5020
349510982,2.3754,3627.9297,8617.8652
349511022,2.3754,3730.4688,8861.4385
349511061,2.1907,3745.1172,8204.3057
349511101,2.0851,3730.4688,7778.3745
349511141,2.1379,3754.8828,8027.4893
349511180,2.2171,3725.5859,8259.8506
349511220,2.2698,3740.2344,8489.7627
349511259,2.3490,3725.5859,8751.5088
349511299,2.2171,3710.9375,8227.3740
349511339,2.1379,3730.4688,7975.2949
349511377,2.1643,3715.8203,8042.0522
349511417,2.2698,3740.2344,8489.7627
349511456,2.2698,3710.9375,8423.2637
349511496,2.2962,3720.7031,8543.6328
349511536,2.1907,3759.7656,8236.3955
349511575,2.1907,3735.3516,8182.9121
349511615,2.1379,3745.1172,8006.6113
349511654,2.2962,3715.8203,8532.4209
349511694,2.2171,3725.5859,8259.8506
349511733,2.3490,3696.2891,8682.6895
349511773,2.2962,3701.1719,8498.7842
349511813,2.2962,3720.7031,8543.6328
349511852,2.2171,3696.2891,8194.8975
349511891,2.1907,3750.0000,8215.0020
349511930,2.2962,3710.9375,8521.2090
349511970,2.2171,3750.0000,8313.9775
349512010,2.2171,3706.0547,8216.5488
349512049,2.2698,3657.2266,8301.3477
349512089,2.2435,3745.1172,8402.0000
349512128,2.1379,3715.8203,7943.9780
349512168,2.1379,3745.1172,8006.6113
349512208,2.2962,3730.4688,8566.0576
349512247,2.3490,3706.0547,8705.6289
349512287,2.2962,3715.8203,8532.4209
349512326,2.4018,3691.4063,8866.0781
349512366,2.3490,3730.4688,8762.9785
349512406,2.4018,3691.4063,8866.0781
349512444,2.3490,3701.1719,8694.1592
349512484,2.3754,3696.2891,8780.2471
349512523,2.2435,3730.4688,8369.1367
349512563,2.1907,3710.9375,8129.4287
349512603,2.0587,3750.0000,7720.1226
349512642,2.1643,3745.1172,8105.4590
349512682,2.1643,3735.3516,8084.3232
349512721,2.2171,3735.3516,8281.5020
349512761,2.2171,3730.4688,8270.6758
349512801,2.1643,3710.9375,8031.4844
349512840,2.1643,3720.7031,8052.6201
349512880,2.1643,3730.4688,8073.7554
349512919,2.1115,3754.8828,7928.3843
349512958,2.2435,3720.7031,8347.2275
349512997,2.2698,3730.4688,8467.5967
349513037,2.2962,3720.7031,8543.6328
349513077,2.2171,3730.4688,8270.6758
349513116,2.2171,3745.1172,8303.1523
349513156,2.2171,3710.9375,8227.3740
349513195,2.2962,3745.1172,8599.6934
349513235,2.3490,3696.2891,8682.6895
349513275,2.1907,3730.4688,8172.2153
349513314,2.1907,3720.7031,8150.8223
349513354,2.3226,3706.0547,8607.8125
349513393,2.2435,3720.7031,8347.2275
349513433,2.5074,3696.2891,9268.0391
349513473,2.3490,3725.5859,8751.5088
349513511,2.0851,3608.3984,7523.8462
349513551,2.1379,3759.7656,8037.9282
349513590,2.1643,3754.8828,8126.5942
349513630,2.2171,3730.4688,8270.6758
349513670,2.2962,3725.5859,8554.8447
349513709,2.2698,3710.9375,8423.2637
349513749,2.2698,3745.1172,8500.8467
349513788,2.1907,3725.5859,8161.5186
349513828,2.1907,3740.2344,8193.6084
349513868,2.2171,3735.3516,8281.5020
349513907,2.1643,3710.9375,8031.4844
349513947,2.2698,3715.8203,8434.3467
349513986,2.1907,3706.0547,8118.7324
349514025,2.1643,3745.1172,8105.4590
349514065,2.0851,3754.8828,7829.2798
349514104,2.1643,3735.3516,8084.3232
349514144,2.2962,3740.2344,8588.4814
349514183,2.3226,3696.2891,8585.1309
