289224&?	r?84,4028.3203,744.2526
289241117,2.2698,3764.6484,8545.1797
289241157,2.2698,3730.4688,8467.5967
289241196,2.1907,3759.7656,8236.3955
289241236,2.2435,3715.8203,8336.2734
289241275,2.2435,3750.0000,8412.9541
289241315,2.1907,3725.5859,8161.5186
289241355,2.1907,3710.9375,8129.4287
289241394,2.2435,3740.2344,8391.0459
289241434,2.3490,3750.0000,8808.8584
289241473,2.2698,3750.0000,8511.9297
289241512,2.2698,3740.2344,8489.7627
289241551,2.2171,3725.5859,8259.8506
289241591,2.2435,3769.5313,8456.7715
289241631,2.1379,3735.3516,7985.7339
289241670,2.1907,3745.1172,8204.3057
289241710,2.1907,3740.2344,8193.6084
289241749,2.1907,3759.7656,8236.3955
289241789,2.1379,3745.1172,8006.6113
289241829,2.2962,3745.1172,8599.6934
289241868,2.2962,3735.3516,8577.2695
289241908,2.2171,3750.0000,8313.9775
289241947,2.2698,3725.5859,8456.5137
289241987,2.2171,3764.6484,8346.4541
289242027,2.2962,3725.5859,8554.8447
289242065,2.2171,3759.7656,8335.6289
289242105,2.2171,3730.4688,8270.6758
289242144,2.2962,3754.8828,8622.1182
289242184,2.3226,3725.5859,8653.1768
289242224,2.2698,3759.7656,8534.0957
289242263,2.2435,3710.9375,8325.3193
289242303,2.2435,3754.8828,8423.9082
289242342,2.2962,3720.7031,8543.6328
289242382,2.2171,3740.2344,8292.3271
289242422,2.2962,3725.5859,8554.8447
289242461,2.2435,3759.7656,8434.8633
289242501,2.1643,3725.5859,8063.1880
289242540,2.1643,3725.5859,8063.1880
289242579,2.2435,3740.2344,8391.0459
289242619,2.2698,3715.8203,8434.3467
289242658,2.3226,3735.3516,8675.8594
289242698,2.3490,3735.3516,8774.4482
289242737,2.4810,3701.1719,9182.5947
289242777,2.3754,3740.2344,8884.6357
289242816,2.3226,3701.1719,8596.4717
289242856,2.4018,3730.4688,8959.8994
289242896,2.3226,3725.5859,8653.1768
289242935,2.4018,3740.2344,8983.3545
289242975,2.2435,3725.5859,8358.1826
289243014,2.1907,3740.2344,8193.6084
289243054,2.3226,3730.4688,8664.5176
289243094,2.2435,3725.5859,8358.1826
289243132,2.2171,3715.8203,8238.1992
289243172,2.3226,3730.4688,8664.5176
289243211,2.2698,3706.0547,8412.1807
289243251,2.2435,3750.0000,8412.9541
289243291,2.3226,3715.8203,8630.4951
289243330,2.3754,3847.6563,9139.8086
289243370,2.2698,3730.4688,8467.5967
289243409,2.3490,3735.3516,8774.4482
289243449,2.2435,3735.3516,8380.0908
289243489,2.3226,3735.3516,8675.8594
289243528,2.2171,3725.5859,8259.8506
289243568,2.3754,3735.3516,8873.0371
289243607,2.2962,3740.2344,8588.4814
289243646,2.3754,3730.4688,8861.4385
289243686,2.2171,3710.9375,8227.3740
289243725,2.3490,3730.4688,8762.9785
289243765,2.4282,3710.9375,9010.9336
289243804,2.2962,3725.5859,8554.8447
289243844,2.3490,3735.3516,8774.4482
289243884,2.3226,3725.5859,8653.1768
289243923,2.2962,3745.1172,8599.6934
289243963,2.3226,3735.3516,8675.8594
289244002,2.3226,3750.0000,8709.8818
289244042,2.2698,3730.4688,8467.5967
289244081,2.3490,3730.4688,8762.9785
289244121,2.2962,3735.3516,8577.2695
289244161,2.3754,3735.3516,8873.0371
289244199,2.2962,3730.4688,8566.0576
289244239,2.2435,3740.2344,8391.0459
289244278,2.4018,3730.4688,8959.8994
289244318,2.3226,3740.2344,8687.2002
289244358,2.2435,3725.5859,8358.1826
289244397,2.2435,3725.5859,8358.1826
289244437,2.4018,3730.4688,8959.8994
289244476,2.1907,3715.8203,8140.1255
289244516,2.2698,3735.3516,8478.6797
289244556,2.3226,3750.0000,8709.8818
289244595,2.1643,3740.2344,8094.8911
289244635,2.1907,3730.4688,8172.2153
289244674,2.2435,3740.2344,8391.0459
289244713,2.2962,3720.7031,8543.6328
289244753,2.2698,3725.5859,8456.5137
289244792,2.2962,3701.1719,8498.7842
289244832,2.3226,3730.4688,8664.5176
289244871,2.3490,3725.5859,8751.5088
289244911,2.3490,3725.5859,8751.5088
289244951,2.3226,3715.8203,8630.4951
289244990,2.3754,3735.3516,8873.0371
289245030,2.2962,3740.2344,8588.4814
289245069,2.2962,3735.3516,8577.2695
289245109,2.2171,3735.3516,8281.5020
289245149,2.2435,3740.2344,8391.0459
289245188,2.2171,3720.7031,8249.0254
289245228,2.1907,3735.3516,8182.9121
289245266,2.2171,3725.5859,8259.8506
289245306,2.2435,3750.0000,8412.9541
289245345,2.2435,3725.5859,8358.1826
289245385,2.2435,3754.8828,8423.9082
289245425,2.1643,3603.5156,7798.9941
289245464,2.2962,3740.2344,8588.4814
289245504,2.2171,3725.5859,8259.8506
289245543,2.2435,3754.8828,8423.9082
289245583,2.2171,3725.5859,8259.8506
289245623,2.1643,3754.8828,8126.5942
289245662,2.2171,3715.8203,8238.1992
289245702,2.2435,3750.0000,8412.9541
289245741,2.3226,3725.5859,8653.1768
289245780,2.1907,3750.0000,8215.0020
289245820,2.2698,3730.4688,8467.5967
289245859,2.1643,3764.6484,8147.7300
289245899,2.1115,3725.5859,7866.5239
289245938,2.1907,3691.4063,8086.6426
289245978,2.2171,3725.5859,8259.8506
289246018,2.2698,3735.3516,8478.6797
289246057,2.3226,3720.7031,8641.8359
289246097,2.2698,3740.2344,8489.7627
289246136,2.3226,3725.5859,8653.1768
289246176,2.3490,3720.7031,8740.0391
289246216,2.3226,3725.5859,8653.1768
289246255,2.2962,3740.2344,8588.4814
289246295,2.2962,3725.5859,8554.8447
289246333,2.2962,3735.3516,8577.2695
289246373,2.3226,3720.7031,8641.8359
289246413,2.1907,3740.2344,8193.6084
289246452,2.1379,3779.2969,8079.6836
289246492,2.1115,3759.7656,7938.6943
289246531,2.0059,3750.0000,7522.1704
289246571,2.1115,3735.3516,7887.1440
289246610,2.1379,3764.6484,8048.3667
289246650,2.1643,3725.5859,8063.1880
289246690,2.1907,3754.8828,8225.6982
289246729,2.2171,3715.8203,8238.1992
289246769,2.3754,3730.4688,8861.4385
289246808,2.2698,3710.9375,8423.2637
289246848,2.3754,3745.1172,8896.2344
289246887,2.2962,3715.8203,8532.4209
289246926,2.2962,3740.2344,8588.4814
289246966,2.3226,3720.7031,8641.8359
289247005,2.3490,3754.8828,8820.3281
289247045,2.3226,3710.9375,8619.1543
289247085,2.2698,3754.8828,8523.0127
289247124,2.3226,3720.7031,8641.8359
289247164,2.2962,3740.2344,8588.4814
289247203,2.2435,3686.5234,8270.5479
289247243,2.3226,3740.2344,8687.2002
289247283,2.1379,3735.3516,7985.7339
289247322,2.1643,3769.5313,8158.2974
289247362,2.0851,3735.3516,7788.5557
289247400,2.0851,3764.6484,7849.6421
289247440,2.1115,3740.2344,7897.4541
289247480,2.0851,3764.6484,7849.6421
289247519,2.2171,3725.5859,8259.8506
289247559,2.0587,3740.2344,7700.0181
289247598,2.2435,3745.1172,8402.0000
