
288383??	r?90,4072.2656,1182.2985
288392135,2.2962,3793.9453,8711.8145
288392174,2.2171,3774.4141,8368.1055
288392214,2.1907,3808.5938,8343.3613
288392254,2.1115,3774.4141,7969.6240
288392293,2.0323,3833.0078,7789.8438
288392333,2.0323,3789.0625,7700.5332
288392372,2.0587,3823.2422,7870.9063
288392412,2.1643,3784.1797,8190.0005
288392452,2.1379,3823.2422,8173.6333
288392491,2.2171,3784.1797,8389.7568
288392530,2.2698,3828.1250,8689.2617
288392569,2.1907,3789.0625,8300.5752
288392609,2.0587,3793.9453,7810.5928
288392649,2.1643,3813.4766,8253.4072
288392688,2.1379,3808.5938,8142.3169
288392728,2.1379,3793.9453,8111.0000
288392767,2.0851,3823.2422,7971.8154
288392807,2.0587,3916.0156,8061.8989
288392846,2.1115,3828.1250,8083.0342
288392886,2.0851,3803.7109,7931.0913
288392926,2.0059,3823.2422,7669.0874
288392965,1.9267,3813.4766,7347.5454
288393005,1.8739,3847.6563,7210.2935
288393043,2.0059,3818.3594,7659.2930
288393083,1.9795,3818.3594,7558.5132
288393123,2.0059,3803.7109,7629.9097
288393162,2.1379,3803.7109,8131.8779
288393202,2.1115,3813.4766,8052.1040
288393241,2.0851,3828.1250,7981.9966
288393281,2.2171,3784.1797,8389.7568
288393321,2.2171,3793.9453,8411.4072
288393360,2.1643,3798.8281,8221.7041
288393400,2.2435,3803.7109,8533.4521
288393439,2.1115,3818.3594,8062.4141
288393479,2.2698,3808.5938,8644.9287
288393519,2.2171,3789.0625,8400.5820
288393558,2.1379,3803.7109,8131.8779
288393597,2.1379,3793.9453,8111.0000
288393636,2.1643,3823.2422,8274.5430
288393676,2.0587,3789.0625,7800.5405
288393716,2.0059,3842.7734,7708.2656
288393755,2.0587,3798.8281,7820.6450
288393795,2.0323,3818.3594,7760.0737
288393834,2.0851,3798.8281,7920.9102
288393874,2.1115,3745.1172,7907.7642
288393914,1.9267,3837.8906,7394.5845
288393953,2.1379,3818.3594,8163.1943
288393993,2.1379,3813.4766,8152.7554
288394032,2.1115,3798.8281,8021.1738
288394072,2.2698,3735.3516,8478.6797
288394110,2.2435,3793.9453,8511.5439
288394150,2.2435,3774.4141,8467.7256
288394190,2.1643,3793.9453,8211.1357
288394229,2.1643,3793.9453,8211.1357
288394269,2.1907,3818.3594,8364.7549
288394308,2.1115,3789.0625,8000.5542
288394348,2.0587,3813.4766,7850.8018
288394388,2.2171,3764.6484,8346.4541
288394427,2.0323,3813.4766,7750.1504
288394467,2.1115,3798.8281,8021.1738
288394506,2.1115,3808.5938,8041.7939
288394546,2.1643,3803.7109,8232.2715
288394586,2.0851,3823.2422,7971.8154
288394625,2.2171,3784.1797,8389.7568
288394664,2.2698,3803.7109,8633.8447
288394703,2.1907,3818.3594,8364.7549
288394743,2.1643,3813.4766,8253.4072
288394783,2.2435,3798.8281,8522.4980
288394822,2.1379,3813.4766,8152.7554
288394862,2.1907,3774.4141,8268.4854
288394901,2.1115,3828.1250,8083.0342
288394941,2.1379,3793.9453,8111.0000
288394981,2.1115,3818.3594,8062.4141
288395020,2.1643,3759.7656,8137.1621
288395060,2.2171,3793.9453,8411.4072
288395099,2.1907,3769.5313,8257.7881
288395139,2.2698,3774.4141,8567.3457
288395179,2.2962,3789.0625,8700.6025
288395217,2.3754,3803.7109,9035.4199
288395257,2.2435,3774.4141,8467.7256
288395296,2.1379,3808.5938,8142.3169
288395336,2.1907,3789.0625,8300.5752
288395375,2.1643,3813.4766,8253.4072
288395415,2.1379,3789.0625,8100.5610
288395455,2.2171,3803.7109,8433.0586
288395494,2.1379,3769.5313,8058.8057
288395534,2.1379,3808.5938,8142.3169
288395573,2.2435,3774.4141,8467.7256
288395613,2.1907,3793.9453,8311.2715
288395653,2.2698,3867.1875,8777.9277
288395692,2.2171,3798.8281,8422.2334
288395731,2.1907,3759.7656,8236.3955
288395770,2.1907,3789.0625,8300.5752
288395810,2.2698,3774.4141,8567.3457
288395850,2.1115,3803.7109,8031.4839
288395889,2.2171,3774.4141,8368.1055
288395929,2.2435,3803.7109,8533.4521
288395968,2.1907,3793.9453,8311.2715
288396008,2.2171,3784.1797,8389.7568
288396048,2.2962,3764.6484,8644.5420
288396087,2.3226,3789.0625,8800.6094
288396127,2.2698,3769.5313,8556.2627
288396166,2.1379,3745.1172,8006.6113
288396206,2.1115,3759.7656,7938.6943
288396246,2.3226,3808.5938,8845.9736
288396284,2.1907,3779.2969,8279.1816
288396324,2.2435,3803.7109,8533.4521
288396363,2.1907,3774.4141,8268.4854
288396403,2.1115,3798.8281,8021.1738
288396443,2.1643,3784.1797,8190.0005
288396482,2.1907,3803.7109,8332.6650
288396522,2.1907,3754.8828,8225.6982
288396561,2.2962,3798.8281,8723.0273
288396601,2.2698,3769.5313,8556.2627
288396640,2.2171,3774.4141,8368.1055
288396680,2.3226,3774.4141,8766.5869
288396720,2.2962,3784.1797,8689.3906
288396759,2.2171,3754.8828,8324.8037
288396798,2.2171,3784.1797,8389.7568
288396837,2.2435,3764.6484,8445.8174
288396877,2.2435,3769.5313,8456.7715
288396917,2.1907,3779.2969,8279.1816
288396956,2.2962,3784.1797,8689.3906
288396996,2.2698,3774.4141,8567.3457
288397035,2.1643,3784.1797,8190.0005
288397075,2.2171,3779.2969,8378.9307
288397115,2.1643,3793.9453,8211.1357
288397154,2.1379,3774.4141,8069.2446
288397194,2.0323,3798.8281,7720.3799
288397233,2.2171,3769.5313,8357.2803
288397273,2.2171,3925.7813,8703.6953
288397313,2.2698,3764.6484,8545.1797
288397351,2.1643,3769.5313,8158.2974
288397391,2.3490,3774.4141,8866.2070
288397430,2.2698,3793.9453,8611.6787
288397470,2.1643,3750.0000,8116.0264
288397510,2.1907,3779.2969,8279.1816
288397549,2.1643,3774.4141,8168.8652
288397589,2.2698,3774.4141,8567.3457
288397628,2.2171,3774.4141,8368.1055
288397668,2.2962,3774.4141,8666.9658
288397708,2.4018,3759.7656,9030.2646
288397747,2.2698,3784.1797,8589.5117
288397787,2.1907,3710.9375,8129.4287
288397826,2.1907,3774.4141,8268.4854
288397865,2.1643,3769.5313,8158.2974
288397904,2.1907,3769.5313,8257.7881
288397944,2.2171,3789.0625,8400.5820
288397984,2.1907,3769.5313,8257.7881
288398023,2.2962,3769.5313,8655.7539
288398063,2.2698,3779.2969,8578.4287
288398102,2.2698,3769.5313,8556.2627
288398142,2.1907,3769.5313,8257.7881
288398182,2.2435,3789.0625,8500.5889
288398221,2.2698,3789.0625,8600.5957
288398261,2.1379,3759.7656,8037.9282
288398300,2.2698,3784.1797,8589.5117
288398340,2.2171,3779.2969,8378.9307
288398380,2.2435,3779.2969,8478.6807
