39,4?????4,069.6617
346699754,1.9531,3769.5313,7362.3657
346699794,1.8212,3876.9531,7060.5405
346699833,1.7156,3847.6563,6600.9727
346699873,1.6100,3842.7734,6186.8979
346699913,1.6892,3857.4219,6515.9155
346699952,1.7948,3813.4766,6844.2886
346699992,1.9795,3823.2422,7568.1787
346700030,1.6892,3808.5938,6433.4355
346700070,1.6364,3842.7734,6288.3223
346700110,1.6100,3837.8906,6179.0366
346700149,1.6628,3837.8906,6381.6279
346700189,1.7420,3837.8906,6685.5146
346700228,1.7420,3813.4766,6642.9863
346700268,1.6364,3847.6563,6296.3125
346700308,1.5836,3872.0703,6131.8682
346700347,1.8212,3852.5391,7016.0791
346700387,1.7420,3818.3594,6651.4917
346700426,1.7948,3823.2422,6861.8159
346700466,1.6892,3833.0078,6474.6753
346700505,1.6628,3833.0078,6373.5088
346700545,1.6628,3862.3047,6422.2236
346700584,1.5572,3823.2422,5953.6343
346700623,1.6364,3876.9531,6344.2539
346700663,1.5044,3828.1250,5759.1616
346700702,1.5836,3837.8906,6077.7407
346700742,1.6628,3847.6563,6397.8662
346700782,1.7156,3793.9453,6508.8271
346700821,1.8476,3833.0078,7081.6758
346700861,1.9531,3769.5313,7362.3657
346700900,2.0059,3808.5938,7639.7041
346700940,1.9003,3789.0625,7200.4985
346700980,1.7420,3847.6563,6702.5264
346701019,1.4516,3867.1875,5613.7910
346701059,1.4780,3862.3047,5708.6431
346701097,1.7420,3842.7734,6694.0205
346701137,1.7684,3803.7109,6726.3682
346701177,1.8212,3837.8906,6989.4019
346701216,1.7684,3784.1797,6691.8296
346701256,1.7420,3842.7734,6694.0205
346701295,1.8212,3803.7109,6927.1553
346701335,1.9003,3808.5938,7237.6147
346701375,1.9795,3803.7109,7529.5161
346701414,2.0059,3774.4141,7571.1426
346701454,2.0323,3798.8281,7720.3799
346701493,2.1907,3754.8828,8225.6982
346701533,2.1115,3779.2969,7979.9341
346701573,2.1907,3769.5313,8257.7881
346701612,2.1643,3764.6484,8147.7300
346701651,2.1643,3769.5313,8158.2974
346701690,1.9267,3793.9453,7309.9141
346701730,1.8739,3818.3594,7155.3926
346701769,1.8212,3828.1250,6971.6172
346701809,1.7156,3823.2422,6559.0884
346701849,1.7156,3789.0625,6500.4502
346701888,1.8476,3837.8906,7090.6973
346701928,1.9795,3784.1797,7490.8540
346701967,2.1379,3793.9453,8111.0000
346702007,2.2962,3769.5313,8655.7539
346702047,2.2698,3750.0000,8511.9297
346702086,2.2171,3774.4141,8368.1055
346702126,2.1115,3759.7656,7938.6943
346702164,2.1115,3769.5313,7959.3140
346702204,2.1379,3759.7656,8037.9282
346702244,1.9531,3813.4766,7448.1963
346702283,2.0587,3764.6484,7750.2793
346702323,2.0323,3779.2969,7680.6865
346702362,1.9267,3818.3594,7356.9531
346702402,2.0851,3789.0625,7900.5479
346702442,2.0323,3769.5313,7660.8398
346702481,2.0851,3779.2969,7880.1855
346702521,2.0851,3793.9453,7910.7290
346702560,2.0851,3803.7109,7931.0913
346702600,2.0851,3789.0625,7900.5479
346702640,2.0851,3764.6484,7849.6421
346702679,2.0851,3774.4141,7870.0044
346702718,2.1115,3764.6484,7949.0039
346702757,2.0851,3789.0625,7900.5479
