394.3359,2103.367228.5156,1674.0850
37894041,2.2435,3881.8359,8708.7217
37894079,2.2962,3852.5391,8846.3604
37894118,2.2435,3881.8359,8708.7217
37894157,2.0323,3930.6641,7988.3110
37894195,2.2962,3881.8359,8913.6328
37894234,2.2435,3886.7188,8719.6768
37894272,2.1643,3862.3047,8359.0850
37894310,2.0323,3901.3672,7928.7710
37894349,2.2435,3872.0703,8686.8135
37894387,2.2698,3896.4844,8844.4268
37894426,2.0059,3916.0156,7855.1831
37894464,1.9531,3901.3672,7619.8579
37894503,2.0323,3881.8359,7889.0771
37894541,2.0851,3886.7188,8104.1699
37894580,2.2435,3886.7188,8719.6768
37894619,2.0851,3901.3672,8134.7134
37894657,2.2435,3867.1875,8675.8594
37894695,2.0851,3872.0703,8073.6270
37894733,2.1379,3881.8359,8298.8994
37894772,2.1907,3896.4844,8535.9004
37894810,2.1115,3916.0156,8268.6143
37894849,2.2435,3896.4844,8741.5850
37894888,2.2962,3872.0703,8891.2090
37894926,2.2171,3842.7734,8519.6621
37894965,2.1115,3891.6016,8217.0635
37895003,2.1643,3925.7813,8496.4648
37895042,2.1115,3906.2500,8247.9941
37895080,2.1643,3920.8984,8485.8975
37895118,2.2962,3935.5469,9036.9658
37895157,2.1115,3984.3750,8412.9541
37895195,2.3226,3916.0156,9095.4756
37895234,2.0851,3842.7734,8012.5400
37895272,2.1379,3945.3125,8434.6055
37895311,2.1643,3750.0000,8116.0264
37895350,2.0323,3916.0156,7958.5410
37895388,2.3754,3769.5313,8954.2285
37895427,2.2698,3867.1875,8777.9277
37895464,2.1907,3803.7109,8332.6650
37895503,1.9795,3833.0078,7587.5098
37895541,2.2171,3872.0703,8584.6152
37895580,2.1379,3916.0156,8371.9717
37895619,2.1907,3925.7813,8600.0801
37895657,2.1907,3891.6016,8525.2041
37895696,2.0323,3862.3047,7849.3838
37895734,2.3490,3886.7188,9130.0146
37895773,2.2698,3881.8359,8811.1768
37895812,2.3226,3945.3125,9163.5215
37895849,2.1643,3862.3047,8359.0850
37895888,2.2435,3857.4219,8653.9502
37895926,2.2435,3833.0078,8599.1787
37895965,2.3754,3876.9531,9209.4004
37896003,2.2171,3891.6016,8627.9170
37896042,2.1907,3881.8359,8503.8105
37896081,2.1907,3872.0703,8482.4170
37896119,2.2962,3852.5391,8846.3604
37896158,2.2435,3872.0703,8686.8135
37896196,2.1907,3896.4844,8535.9004
37896235,2.2698,3872.0703,8789.0107
37896272,2.2698,3857.4219,8755.7607
37896311,2.4282,3862.3047,9378.4854
37896350,2.1907,3886.7188,8514.5068
37896388,2.4282,3867.1875,9390.3418
37896427,2.2962,3862.3047,8868.7842
37896465,2.3490,3847.6563,9038.2559
37896504,2.1643,3872.0703,8380.2197
37896542,2.1379,3881.8359,8298.8994
37896581,2.2962,3876.9531,8902.4209
37896620,2.4018,3867.1875,9288.2725
37896657,2.3226,3862.3047,8970.7246
37896696,2.1907,3867.1875,8471.7207
37896734,2.4018,3872.0703,9300.0000
37896773,2.3754,3862.3047,9174.6045
