8404,0.2??????	516,1175.2103
356978241,2.0323,3793.9453,7710.4565
356978280,2.1907,3764.6484,8247.0918
356978320,2.2171,3750.0000,8313.9775
356978359,2.2962,3764.6484,8644.5420
356978399,2.1907,3779.2969,8279.1816
356978439,2.3490,3750.0000,8808.8584
356978478,2.2962,3750.0000,8610.9053
356978518,2.1379,3789.0625,8100.5610
356978556,2.1643,3759.7656,8137.1621
356978596,2.2435,3735.3516,8380.0908
356978636,2.0851,3750.0000,7819.0986
356978675,2.2171,3789.0625,8400.5820
356978715,2.3226,3730.4688,8664.5176
356978754,2.2698,3754.8828,8523.0127
356978794,2.2435,3754.8828,8423.9082
356978833,2.2171,3740.2344,8292.3271
356978873,2.2435,3740.2344,8391.0459
356978913,2.1643,3803.7109,8232.2715
356978952,2.2171,3754.8828,8324.8037
356978992,2.0587,3759.7656,7740.2271
356979031,2.0851,3789.0625,7900.5479
356979070,2.1643,3808.5938,8242.8398
356979110,2.1115,3759.7656,7938.6943
356979149,2.2171,3769.5313,8357.2803
356979189,2.3226,3740.2344,8687.2002
356979228,2.2962,3740.2344,8588.4814
356979268,2.3490,3764.6484,8843.2676
356979308,2.4282,3740.2344,9082.0732
356979347,2.2171,3750.0000,8313.9775
356979387,2.3754,3740.2344,8884.6357
356979426,2.2171,3764.6484,8346.4541
356979466,2.1907,3740.2344,8193.6084
356979506,2.1115,3764.6484,7949.0039
356979545,2.1907,3784.1797,8289.8779
356979585,2.3490,3740.2344,8785.9180
356979623,2.2698,3735.3516,8478.6797
356979663,2.2962,3750.0000,8610.9053
356979703,2.1643,3754.8828,8126.5942
356979742,2.2698,3740.2344,8489.7627
356979782,2.1907,3793.9453,8311.2715
356979821,2.2171,3754.8828,8324.8037
356979861,2.1115,3764.6484,7949.0039
356979901,2.2698,3745.1172,8500.8467
356979940,2.0851,3793.9453,7910.7290
356979980,2.4546,3730.4688,9156.8193
356980019,2.4282,3740.2344,9082.0732
356980059,2.3490,3754.8828,8820.3281
356980098,2.0587,3764.6484,7750.2793
356980137,2.2698,3916.0156,8888.7598
356980177,2.3226,3769.5313,8755.2461
356980216,2.0587,3779.2969,7780.4360
356980256,2.0851,3774.4141,7870.0044
356980295,2.1643,3779.2969,8179.4331
356980335,2.2171,3774.4141,8368.1055
356980375,2.0323,3754.8828,7631.0698
356980414,2.1379,3798.8281,8121.4390
356980454,2.1907,3764.6484,8247.0918
356980493,2.2171,3740.2344,8292.3271
356980533,2.2698,3779.2969,8578.4287
356980573,2.2698,3774.4141,8567.3457
356980612,2.3226,3798.8281,8823.2920
356980652,2.1907,3745.1172,8204.3057
356980690,2.1907,3764.6484,8247.0918
356980730,2.1643,3750.0000,8116.0264
356980770,2.2962,3759.7656,8633.3301
356980809,2.2698,3779.2969,8578.4287
356980849,2.2698,3764.6484,8545.1797
356980888,2.2435,3754.8828,8423.9082
356980928,2.3226,3745.1172,8698.5410
356980968,2.2698,3764.6484,8545.1797
356981007,2.3490,3735.3516,8774.4482
356981047,2.2435,3769.5313,8456.7715
356981086,2.2171,3759.7656,8335.6289
356981126,2.0587,3769.5313,7760.3315
356981166,2.2435,3657.2266,8204.8213
356981204,2.0851,3798.8281,7920.9102
356981244,1.9531,3784.1797,7390.9761
356981283,2.0587,3779.2969,7780.4360
356981323,2.2435,3823.2422,8577.2695
356981362,2.2962,3774.4141,8666.9658
356981402,2.1115,3769.5313,7959.3140
356981442,2.0851,3779.2969,7880.1855
356981481,2.5074,3745.1172,9390.4707
356981521,2.2962,3730.4688,8566.0576
356981560,2.2962,3764.6484,8644.5420
356981600,2.3226,3745.1172,8698.5410
356981640,2.4018,3735.3516,8971.6270
356981679,2.4282,3759.7656,9129.4990
356981719,2.3490,3740.2344,8785.9180
356981757,2.1907,3750.0000,8215.0020
356981797,2.1907,3769.5313,8257.7881
356981837,2.0059,3793.9453,7610.3208
356981876,2.2171,3730.4688,8270.6758
356981916,2.1907,3779.2969,8279.1816
356981955,2.3490,3764.6484,8843.2676
356981995,2.1643,3759.7656,8137.1621
356982035,2.3226,3754.8828,8721.2227
356982074,2.3226,3759.7656,8732.5635
