,0.2111,4028.3203,850.5744
261428243,2.0851,3774.4141,7870.0044
261428282,2.0851,3750.0000,7819.0986
261428322,2.1115,3754.8828,7928.3843
261428362,2.0851,3769.5313,7859.8232
261428401,2.1379,3750.0000,8017.0503
261428441,2.0851,3740.2344,7798.7368
261428480,2.0587,3735.3516,7689.9658
261428519,2.0587,3779.2969,7780.4360
261428558,2.1379,3740.2344,7996.1724
261428598,2.1115,3769.5313,7959.3140
261428638,2.0587,3735.3516,7689.9658
261428677,2.1379,3745.1172,8006.6113
261428717,2.1643,3754.8828,8126.5942
261428756,2.1379,3730.4688,7975.2949
261428796,2.2435,3745.1172,8402.0000
261428836,2.3226,3706.0547,8607.8125
261428875,2.2698,3750.0000,8511.9297
261428915,2.1379,3720.7031,7954.4170
261428954,2.1643,3774.4141,8168.8652
261428994,2.1907,3740.2344,8193.6084
261429033,2.0851,3769.5313,7859.8232
261429072,2.0059,3754.8828,7531.9648
261429112,2.0587,3754.8828,7730.1748
261429151,2.1379,3754.8828,8027.4893
261429191,2.2435,3730.4688,8369.1367
261429231,2.2698,3764.6484,8545.1797
261429270,2.1907,3759.7656,8236.3955
261429310,2.1379,3769.5313,8058.8057
261429349,2.2698,3730.4688,8467.5967
261429389,2.1643,3750.0000,8116.0264
261429429,2.1643,3725.5859,8063.1880
261429468,2.2171,3813.4766,8454.7090
261429508,2.1643,3740.2344,8094.8911
261429547,2.3226,3725.5859,8653.1768
261429586,2.3490,3750.0000,8808.8584
261429626,2.2171,3740.2344,8292.3271
261429665,2.2171,3754.8828,8324.8037
261429705,2.2698,3725.5859,8456.5137
261429744,2.0587,3764.6484,7750.2793
261429784,2.0851,3774.4141,7870.0044
261429823,2.1115,3759.7656,7938.6943
261429863,2.0587,3750.0000,7720.1226
261429903,2.1643,3735.3516,8084.3232
261429942,2.2962,3745.1172,8599.6934
261429982,2.2171,3696.2891,8194.8975
261430021,2.2435,3735.3516,8380.0908
261430061,2.2435,3730.4688,8369.1367
261430100,2.1643,3735.3516,8084.3232
261430139,2.1907,3715.8203,8140.1255
261430179,2.2435,3745.1172,8402.0000
261430218,2.1907,3735.3516,8182.9121
261430258,2.2171,3750.0000,8313.9775
261430298,2.2435,3730.4688,8369.1367
261430337,2.1115,3715.8203,7845.9043
261430377,2.2435,3754.8828,8423.9082
261430416,2.2435,3735.3516,8380.0908
261430456,2.2435,3750.0000,8412.9541
261430496,2.1643,3701.1719,8010.3491
261430535,2.1379,3759.7656,8037.9282
261430575,2.0587,3730.4688,7679.9136
261430614,2.2962,3740.2344,8588.4814
261430653,2.1643,3740.2344,8094.8911
261430693,2.2698,3730.4688,8467.5967
261430732,2.3226,3793.9453,8811.9512
261430772,2.2435,3725.5859,8358.1826
261430811,2.2171,3740.2344,8292.3271
261430851,2.3754,3710.9375,8815.0439
261430891,2.3226,3710.9375,8619.1543
261430930,2.3490,3710.9375,8717.0996
261430970,2.2962,3740.2344,8588.4814
261431009,2.1907,3745.1172,8204.3057
261431049,2.1907,3764.6484,8247.0918
261431088,2.1643,3720.7031,8052.6201
261431128,2.1643,3745.1172,8105.4590
261431168,2.1907,3754.8828,8225.6982
261431206,2.2962,3730.4688,8566.0576
261431246,2.3490,3872.0703,9095.6045
261431285,2.2435,3720.7031,8347.2275
261431325,2.2962,3735.3516,8577.2695
261431365,2.2698,3730.4688,8467.5967
261431404,2.3226,3745.1172,8698.5410
261431444,2.2698,3715.8203,8434.3467
261431483,2.3226,3715.8203,8630.4951
261431523,2.1907,3730.4688,8172.2153
261431563,2.3226,3637.6953,8449.0391
261431602,2.2698,3745.1172,8500.8467
261431642,2.2698,3715.8203,8434.3467
261431681,2.3226,3710.9375,8619.1543
261431720,2.2171,3720.7031,8249.0254
261431760,2.1643,3735.3516,8084.3232
261431799,2.1907,3730.4688,8172.2153
261431839,2.1643,3735.3516,8084.3232
261431878,2.2698,3750.0000,8511.9297
261431918,2.3226,3730.4688,8664.5176
261431958,2.2171,3740.2344,8292.3271
261431997,2.2171,3710.9375,8227.3740
261432037,2.2435,3745.1172,8402.0000
261432076,2.2962,3720.7031,8543.6328
261432116,2.2698,3750.0000,8511.9297
261432156,2.2962,3754.8828,8622.1182
261432195,2.2698,3740.2344,8489.7627
261432235,2.2435,3715.8203,8336.2734
261432273,2.2171,3725.5859,8259.8506
261432313,2.3754,3745.1172,8896.2344
261432352,2.1907,3715.8203,8140.1255
261432392,2.2698,3754.8828,8523.0127
261432432,2.1907,3730.4688,8172.2153
261432471,2.2435,3764.6484,8445.8174
261432511,2.1115,3745.1172,7907.7642
261432550,2.2171,3730.4688,8270.6758
261432590,2.2962,3745.1172,8599.6934
261432630,2.2962,3730.4688,8566.0576
261432669,2.2698,3725.5859,8456.5137
261432709,2.2962,3725.5859,8554.8447
261432748,2.2698,3750.0000,8511.9297
261432787,2.2962,3696.2891,8487.5723
261432827,2.2171,3745.1172,8303.1523
261432866,2.2171,3715.8203,8238.1992
261432906,2.2698,3745.1172,8500.8467
261432945,2.1643,3750.0000,8116.0264
261432985,2.2171,3720.7031,8249.0254
261433025,2.2698,3891.6016,8833.3438
261433064,2.3226,3730.4688,8664.5176
261433104,2.2435,3769.5313,8456.7715
261433143,2.2435,3730.4688,8369.1367
261433183,2.2171,3750.0000,8313.9775
261433223,2.2171,3730.4688,8270.6758
261433262,2.1907,3750.0000,8215.0020
261433302,2.2435,3740.2344,8391.0459
261433340,2.2171,3642.5781,8075.8174
261433380,2.2698,3774.4141,8567.3457
261433420,2.1907,3745.1172,8204.3057
261433459,2.1907,3735.3516,8182.9121
261433499,2.2962,3725.5859,8554.8447
261433538,2.2171,3745.1172,8303.1523
261433578,2.2435,3725.5859,8358.1826
261433617,2.1643,3735.3516,8084.3232
261433657,2.1907,3745.1172,8204.3057
261433697,2.1643,3706.0547,8020.9170
261433736,2.1115,3750.0000,7918.0742
261433776,2.0851,3725.5859,7768.1934
261433815,2.1907,3735.3516,8182.9121
261433854,2.2435,3725.5859,8358.1826
261433894,2.1907,3750.0000,8215.0020
261433933,2.2171,3735.3516,8281.5020
261433973,2.2435,3735.3516,8380.0908
261434012,2.2435,3730.4688,8369.1367
261434052,2.1907,3725.5859,8161.5186
261434092,2.1643,3740.2344,8094.8911
261434131,2.1907,3715.8203,8140.1255
261434171,2.2171,3735.3516,8281.5020
261434210,2.2435,3745.1172,8402.0000
261434250,2.2435,3740.2344,8391.0459
261434290,2.1115,3730.4688,7876.8340
261434329,2.1115,3750.0000,7918.0742
261434369,2.2435,3750.0000,8412.9541
261434407,2.1379,3710.9375,7933.5396
261434447,2.1643,3759.7656,8137.1621
261434487,2.2962,3750.0000,8610.9053
261434526,2.2171,3750.0000,8313.9775
