99,0.??L??722656,859.8534
80025197,1.9531,3857.4219,7534.0273
80025235,1.9531,3857.4219,7534.0273
80025274,2.0851,3842.7734,8012.5400
80025312,2.0059,3852.5391,7727.8545
80025351,2.0851,3876.9531,8083.8081
80025390,2.0587,3847.6563,7921.1675
80025427,2.0323,3857.4219,7839.4604
80025466,2.0587,3823.2422,7870.9063
80025504,2.1115,3876.9531,8186.1338
80025543,2.0851,3842.7734,8012.5400
80025582,2.0323,3872.0703,7869.2305
80025620,2.0587,3842.7734,7911.1152
80025659,2.0323,3862.3047,7849.3838
80025697,2.1115,3823.2422,8072.7241
80025736,2.2171,3847.6563,8530.4883
80025774,2.1907,3818.3594,8364.7549
80025812,2.1379,3828.1250,8184.0723
80025851,2.1643,3837.8906,8306.2461
80025889,2.2171,3823.2422,8476.3604
80025928,2.0587,3842.7734,7911.1152
80025966,2.1379,3833.0078,8194.5107
80026005,2.0587,3867.1875,7961.3765
80026043,2.2698,3808.5938,8644.9287
80026082,2.0851,3867.1875,8063.4458
80026121,2.0323,3823.2422,7769.9971
80026159,2.1643,3852.5391,8337.9492
80026198,2.1643,3808.5938,8242.8398
80026235,2.1643,3847.6563,8327.3818
80026274,2.2962,3823.2422,8779.0879
80026312,2.0323,3847.6563,7819.6138
80026351,1.9531,3852.5391,7524.4902
80026390,2.1115,3837.8906,8103.6538
80026428,2.1643,3852.5391,8337.9492
80026467,2.2698,3818.3594,8667.0947
80026505,2.4282,3798.8281,9224.3506
80026544,2.2962,3798.8281,8723.0273
80026583,2.2962,3833.0078,8801.5117
80026620,2.1907,3803.7109,8332.6650
80026659,2.1907,3837.8906,8407.5410
80026697,2.1907,3828.1250,8386.1475
80026736,2.1379,3857.4219,8246.7051
80026774,2.1643,3823.2422,8274.5430
80026813,2.2962,3837.8906,8812.7236
80026852,2.3490,3813.4766,8957.9668
80026890,2.5338,3803.7109,9637.7803
80026929,2.5338,3798.8281,9625.4082
80026967,2.5866,3779.2969,9775.4199
80027005,2.5602,3798.8281,9725.6738
80027043,2.5338,3769.5313,9551.1768
80027082,2.5074,3818.3594,9574.1172
80027121,2.3754,3803.7109,9035.4199
80027159,2.2171,3842.7734,8519.6621
80027198,2.1115,3852.5391,8134.5840
80027236,2.1115,3837.8906,8103.6538
80027275,2.1643,3862.3047,8359.0850
80027314,2.1115,3833.0078,8093.3442
80027352,2.0323,3862.3047,7849.3838
80027390,2.1379,3833.0078,8194.5107
80027428,2.1115,3862.3047,8155.2041
80027467,2.2171,3798.8281,8422.2334
80027505,2.2962,3842.7734,8823.9355
80027544,2.3226,3808.5938,8845.9736
80027583,2.2962,3828.1250,8790.2998
80027621,2.3490,3798.8281,8923.5566
80027660,2.2962,3818.3594,8767.8750
80027698,2.4282,3808.5938,9248.0635
80027737,2.3490,3803.7109,8935.0264
80027774,2.3754,3828.1250,9093.4131
80027813,2.2698,3813.4766,8656.0117
80027852,2.3226,3828.1250,8891.3379
80027890,2.4018,3798.8281,9124.0859
80027929,2.3754,3823.2422,9081.8145
80027967,2.2962,3803.7109,8734.2393
80028006,2.3226,3823.2422,8879.9971
80028045,2.3490,3818.3594,8969.4365
80028083,2.2435,3813.4766,8555.3613
80028122,2.3226,3813.4766,8857.3145
80028160,2.2171,3823.2422,8476.3604
80028198,2.3490,3837.8906,9015.3154
80028236,2.3226,3798.8281,8823.2920
80028275,2.3226,3818.3594,8868.6563
80028314,2.4282,3793.9453,9212.4941
80028352,2.3226,3833.0078,8902.6787
80028391,2.4018,3793.9453,9112.3584
80028429,2.3490,3828.1250,8992.3760
80028468,2.3754,3803.7109,9035.4199
80028506,2.4018,3823.2422,9182.7236
80028545,2.3490,3823.2422,8980.9063
80028583,2.2962,3818.3594,8767.8750
80028621,2.2698,3823.2422,8678.1777
80028660,2.2962,3808.5938,8745.4512
80028698,2.2698,3823.2422,8678.1777
80028737,2.3226,3798.8281,8823.2920
80028775,2.2962,3833.0078,8801.5117
80028814,2.2962,3798.8281,8723.0273
80028853,2.3226,3833.0078,8902.6787
80028891,2.2698,3789.0625,8600.5957
80028930,2.3754,3823.2422,9081.8145
80028967,2.3226,3808.5938,8845.9736
80029006,2.3490,3818.3594,8969.4365
80029045,2.3226,3808.5938,8845.9736
80029083,2.2698,3813.4766,8656.0117
80029122,2.3226,3837.8906,8914.0195
80029160,2.3490,3803.7109,8935.0264
80029199,2.2698,3818.3594,8667.0947
80029237,2.3226,3793.9453,8811.9512
80029276,2.3226,3828.1250,8891.3379
80029315,2.2698,3793.9453,8611.6787
80029352,2.3226,3828.1250,8891.3379
80029391,2.3754,3789.0625,9000.6230
80029429,2.3490,3823.2422,8980.9063
80029468,2.3226,3808.5938,8845.9736
80029506,2.3226,3808.5938,8845.9736
80029545,2.2962,3813.4766,8756.6631
80029584,2.2962,3793.9453,8711.8145
80029622,2.2435,3833.0078,8599.1787
80029661,2.2171,3808.5938,8443.8838
80029699,2.1379,3833.0078,8194.5107
80029737,2.1643,3798.8281,8221.7041
80029776,2.2962,3828.1250,8790.2998
80029814,2.2962,3798.8281,8723.0273
80029853,2.2698,3833.0078,8700.3447
80029891,2.3226,3808.5938,8845.9736
80029930,2.2962,3818.3594,8767.8750
80029968,2.2962,3813.4766,8756.6631
80030007,2.4018,3803.7109,9135.8135
80030046,2.4018,3813.4766,9159.2686
80030084,2.2962,3803.7109,8734.2393
80030123,2.2962,3828.1250,8790.2998
80030160,2.3490,3784.1797,8889.1475
80030199,2.2698,3833.0078,8700.3447
80030237,2.2962,3793.9453,8711.8145
80030276,2.2962,3828.1250,8790.2998
80030315,2.2962,3789.0625,8700.6025
80030353,2.2435,3813.4766,8555.3613
80030392,2.2962,3813.4766,8756.6631
80030430,2.3490,3798.8281,8923.5566
80030469,2.3226,3813.4766,8857.3145
80030508,2.2698,3784.1797,8589.5117
80030545,2.3226,3852.5391,8948.0430
80030584,2.2962,3784.1797,8689.3906
80030622,2.2962,3823.2422,8779.0879
80030661,2.3226,3789.0625,8800.6094
80030699,2.3490,3813.4766,8957.9668
80030738,2.4018,3798.8281,9124.0859
80030777,2.3226,3813.4766,8857.3145
80030815,2.3490,3818.3594,8969.4365
80030854,2.2171,3803.7109,8433.0586
