9,4023.4375,1486.7009
293437636,1.3197,3901.3672,5148.5522
293437676,1.5308,3867.1875,5919.9980
293437715,1.3197,3886.7188,5129.2212
293437755,1.3725,3886.7188,5334.3901
293437794,1.3197,3872.0703,5109.8901
293437834,1.3197,3842.7734,5071.2275
293437874,1.4516,3872.0703,5620.8789
293437913,1.2405,3911.1328,4851.7534
293437953,1.4516,3867.1875,5613.7910
293437991,1.5308,3852.5391,5897.5737
293438031,1.8476,3974.6094,7343.2920
293438071,1.6364,3847.6563,6296.3125
293438110,1.2933,3886.7188,5026.6367
293438150,1.5836,3857.4219,6108.6704
293438189,1.5836,3837.8906,6077.7407
293438229,1.6892,3847.6563,6499.4194
293438269,1.7156,3833.0078,6575.8418
293438308,1.8212,3818.3594,6953.8325
293438348,1.6364,3984.3750,6520.0391
293438387,1.7684,3818.3594,6752.2720
293438427,1.5044,3862.3047,5810.5830
293438467,1.5836,3857.4219,6108.6704
293438505,1.6100,3857.4219,6210.4819
293438545,1.5044,3867.1875,5817.9287
293438584,1.6628,3813.4766,6341.0322
293438624,1.5308,3886.7188,5949.8970
293438664,1.7156,3857.4219,6617.7266
293438703,1.5044,3862.3047,5810.5830
293438743,1.6364,3847.6563,6296.3125
293438782,1.4780,3867.1875,5715.8599
293438822,1.6628,3862.3047,6422.2236
293438861,1.4516,3867.1875,5613.7910
293438901,1.6100,3847.6563,6194.7593
293438941,1.3989,3901.3672,5457.4653
293438980,1.4516,3867.1875,5613.7910
293439020,1.5308,3847.6563,5890.0991
293439058,1.6364,3857.4219,6312.2930
293439098,1.6892,3847.6563,6499.4194
293439138,1.3989,3886.7188,5436.9746
293439177,1.6100,3842.7734,6186.8979
293439217,1.5572,3862.3047,6014.4629
293439256,1.6892,3847.6563,6499.4194
293439296,1.3725,3862.3047,5300.8828
293439336,1.4516,3881.8359,5635.0552
293439375,1.6364,3857.4219,6312.2930
293439415,1.4780,3862.3047,5708.6431
293439454,1.5572,3862.3047,6014.4629
293439494,1.2933,3891.6016,5032.9517
293439534,1.4253,3876.9531,5525.6406
293439572,1.4253,3872.0703,5518.6812
293439612,1.6364,3837.8906,6280.3320
293439651,1.5836,3833.0078,6070.0078
293439691,1.3197,3881.8359,5122.7773
293439731,1.6364,3857.4219,6312.2930
