4.6797,1513.764696.6797,1730.0167
36490455,1.9795,3906.2500,7732.4941
36490493,1.7948,3940.4297,7072.1396
36490532,1.8212,3945.3125,7185.0337
36490570,2.2435,3876.9531,8697.7676
36490609,2.1907,3896.4844,8535.9004
36490647,1.7684,3940.4297,6968.1372
36490686,1.8212,3925.7813,7149.4644
36490724,1.9267,3891.6016,7498.0713
36490763,2.3226,3852.5391,8948.0430
36490802,2.2698,3862.3047,8766.8438
36490840,1.9267,3886.7188,7488.6631
36490878,2.0851,3896.4844,8124.5322
36490916,2.0059,3881.8359,7786.6216
36490955,2.3490,3847.6563,9038.2559
36490993,2.1379,3862.3047,8257.1445
36491032,1.9003,3886.7188,7386.0786
36491071,1.7948,3901.3672,7002.0317
36491109,2.1115,3867.1875,8165.5142
36491148,2.0059,3881.8359,7786.6216
36491186,1.9795,3881.8359,7684.1660
36491225,1.9003,3906.2500,7423.1948
36491264,2.1643,3847.6563,8327.3818
36491301,2.2171,3876.9531,8595.4404
36491340,2.0587,3886.7188,8001.5854
36491378,1.9531,3876.9531,7572.1738
36491417,2.1115,3891.6016,8217.0635
36491455,2.2171,3872.0703,8584.6152
36491494,1.9267,3901.3672,7516.8867
36491533,1.9531,3911.1328,7638.9312
36491571,1.7948,3930.6641,7054.6128
36491610,1.9267,3916.0156,7545.1104
36491648,1.9531,3925.7813,7667.5415
36491686,1.9795,3911.1328,7742.1597
36491724,1.7684,3920.8984,6933.5986
36491763,1.9531,3906.2500,7629.3945
36491802,2.1643,3881.8359,8401.3555
36491840,2.0851,3876.9531,8083.8081
36491879,2.0323,3896.4844,7918.8477
36491917,2.0851,3876.9531,8083.8081
36491956,2.1379,3876.9531,8288.4609
36491995,2.2698,3896.4844,8844.4268
36492033,2.0323,3886.7188,7899.0010
36492071,1.9003,3886.7188,7386.0786
36492109,2.1907,3847.6563,8428.9346
36492148,1.9795,3891.6016,7703.4976
36492186,1.9267,3876.9531,7469.8477
36492225,1.7156,3906.2500,6701.4951
36492264,2.1379,3872.0703,8278.0225
36492302,2.0851,3862.3047,8053.2646
36492341,2.0323,3876.9531,7879.1538
36492379,1.9003,3876.9531,7367.5205
36492418,1.9531,3881.8359,7581.7109
36492455,2.2435,3852.5391,8642.9961
36492494,1.9267,3911.1328,7535.7026
36492533,2.0059,3896.4844,7816.0049
36492571,2.0323,3916.0156,7958.5410
36492610,2.2698,3862.3047,8766.8438
36492648,2.1907,3872.0703,8482.4170
36492687,1.9795,3901.3672,7722.8286
36492725,1.8739,3916.0156,7338.3950
36492764,1.9531,3930.6641,7677.0781
36492803,2.2171,3881.8359,8606.2666
36492840,2.0059,3901.3672,7825.7993
36492879,1.9531,3906.2500,7629.3945
36492917,1.8476,3994.1406,7379.3770
36492956,2.1379,3891.6016,8319.7773
36492995,2.0851,3891.6016,8114.3511
36493033,2.0587,3886.7188,8001.5854
36493072,2.0587,3901.3672,8031.7422
36493110,2.1379,3872.0703,8278.0225
36493149,2.0587,3886.7188,8001.5854
36493187,2.0323,3872.0703,7869.2305
36493225,1.9003,3891.6016,7395.3574
36493264,2.0587,3872.0703,7971.4287
36493302,2.0059,3872.0703,7767.0327
36493341,2.1379,3867.1875,8267.5830
36493379,2.0851,3886.7188,8104.1699
36493418,2.1907,3872.0703,8482.4170
36493456,2.1643,3847.6563,8327.3818
36493495,2.1115,3872.0703,8175.8237
36493534,2.0059,3881.8359,7786.6216
36493572,1.9267,3896.4844,7507.4790
36493611,2.2698,3852.5391,8744.6777
36493648,1.9267,3964.8438,7639.1895
36493687,1.9531,3891.6016,7600.7842
36493726,1.9003,3911.1328,7432.4736
36493764,2.1115,3886.7188,8206.7539
36493803,2.1115,3876.9531,8186.1338
36493841,2.1379,3896.4844,8330.2168
36493880,1.9267,3881.8359,7479.2554
36493918,1.9267,3901.3672,7516.8867
36493957,2.2698,3872.0703,8789.0107
36493996,2.0851,3891.6016,8114.3511
36494033,1.9531,3901.3672,7619.8579
36494072,1.8212,3945.3125,7185.0337
36494110,2.1643,3881.8359,8401.3555
36494149,2.0587,3896.4844,8021.6899
36494187,2.0587,3872.0703,7971.4287
36494226,1.9267,3916.0156,7545.1104
36494265,2.0323,3847.6563,7819.6138
36494303,2.2698,3862.3047,8766.8438
36494342,2.0587,3857.4219,7941.2720
36494380,2.0059,3872.0703,7767.0327
36494418,2.1643,3857.4219,8348.5166
