3428606,2.0851,3896.4844,8124.5322
3428643,2.0587,3891.6016,8011.6377
3428681,2.2698,3847.6563,8733.5947
3428718,2.3490,3769.5313,8854.7373
3428756,2.1643,3881.8359,8401.3555
3428793,2.4810,3876.9531,9618.7080
3428831,2.3490,3857.4219,9061.1953
3428869,2.2435,3842.7734,8621.0869
3428905,2.1907,3862.3047,8461.0244
3428943,2.1907,3896.4844,8535.9004
3428980,2.3754,3872.0703,9197.8018
3429018,2.4282,3833.0078,9307.3457
3429055,2.2171,3847.6563,8530.4883
3429093,2.0587,3842.7734,7911.1152
3429131,2.3226,3867.1875,8982.0654
3429168,2.1379,3896.4844,8330.2168
3429206,2.2435,3867.1875,8675.8594
3429242,2.1115,3886.7188,8206.7539
3429280,2.2171,3862.3047,8562.9639
3429317,2.1115,3886.7188,8206.7539
3429355,2.1115,3872.0703,8175.8237
3429392,2.2435,3715.8203,8336.2734
3429430,2.1643,3828.1250,8285.1104
3429468,2.3226,3837.8906,8914.0195
3429505,2.3754,3867.1875,9186.2031
3429542,2.5074,3842.7734,9635.3330
3429579,2.2698,3842.7734,8722.5107
3429617,2.1379,3833.0078,8194.5107
3429654,2.2962,3847.6563,8835.1484
3429692,2.3226,3857.4219,8959.3838
3429730,2.5074,3847.6563,9647.5762
3429767,2.2171,3862.3047,8562.9639
3429805,2.2171,3852.5391,8541.3135
3429841,2.0587,3842.7734,7911.1152
3429879,2.3226,3852.5391,8948.0430
3429916,2.2435,3881.8359,8708.7217
3429954,2.1907,3896.4844,8535.9004
3429991,2.3754,3828.1250,9093.4131
3430029,2.3490,3842.7734,9026.7852
3430067,2.4018,3833.0078,9206.1787
3430104,2.2171,3886.7188,8617.0918
3430141,2.3226,3876.9531,9004.7480
3430178,2.2698,3925.7813,8910.9258
3430216,2.4018,3823.2422,9182.7236
3430253,2.4018,3847.6563,9241.3623
3430291,2.3226,3803.7109,8834.6328
3430329,2.4018,3852.5391,9253.0898
3430366,2.2698,3842.7734,8722.5107
3430404,2.3754,3833.0078,9105.0117
3430440,2.2171,3842.7734,8519.6621
3430478,2.4546,3842.7734,9432.4834
3430515,2.2698,3779.2969,8578.4287
3430553,2.4018,3852.5391,9253.0898
3430590,2.4018,3837.8906,9217.9063
3430628,2.2171,3872.0703,8584.6152
3430666,2.2435,3891.6016,8730.6309
3430703,2.2171,3876.9531,8595.4404
3430740,2.2962,3837.8906,8812.7236
3430777,2.2698,3842.7734,8722.5107
3430815,2.1643,3847.6563,8327.3818
3430852,2.2435,3867.1875,8675.8594
3430890,2.2435,3852.5391,8642.9961
3430928,2.4282,3828.1250,9295.4893
3430965,2.4282,3837.8906,9319.2031
3431003,2.3226,3833.0078,8902.6787
3431040,2.3226,3842.7734,8925.3604
3431077,2.4018,3857.4219,9264.8174
3431114,2.2698,3847.6563,8733.5947
3431152,2.1115,3867.1875,8165.5142
3431189,2.2698,3837.8906,8711.4277
3431227,2.2698,3852.5391,8744.6777
3431265,2.2698,3862.3047,8766.8438
3431302,2.1379,3886.7188,8309.3389
3431340,2.1379,3876.9531,8288.4609
3431376,2.3226,3828.1250,8891.3379
3431414,2.5074,3818.3594,9574.1172
3431451,2.3490,3842.7734,9026.7852
3431489,2.3490,3876.9531,9107.0742
3431527,2.3754,3837.8906,9116.6104
3431564,2.4546,3798.8281,9324.6152
3431602,2.4546,3779.2969,9276.6729
3431639,2.5074,3852.5391,9659.8193
3431676,2.4810,3857.4219,9570.2510
3431713,2.3226,3862.3047,8970.7246
3431751,2.4546,3818.3594,9372.5566
3431788,2.3490,3828.1250,8992.3760
3431826,2.3226,3852.5391,8948.0430
3431864,2.1115,3847.6563,8124.2739
3431901,2.4810,3867.1875,9594.4795
3431939,2.2698,3852.5391,8744.6777
3431975,2.2962,3837.8906,8812.7236
3432013,2.3226,3837.8906,8914.0195
3432050,2.4018,3837.8906,9217.9063
3432088,2.5074,3808.5938,9549.6309
3432126,2.6130,3837.8906,10028.2720
3432164,2.5074,3793.9453,9512.9014
3432202,2.5602,3808.5938,9750.6758
3432239,2.6130,3803.7109,9938.9619
3432276,2.5074,3818.3594,9574.1172
3432313,2.2698,3867.1875,8777.9277
3432351,2.1907,3857.4219,8450.3271
3432388,2.1907,3842.7734,8418.2373
3432426,2.4546,3833.0078,9408.5127
3432464,2.2171,3862.3047,8562.9639
3432501,2.3226,3867.1875,8982.0654
3432539,2.2171,3872.0703,8584.6152
3432576,2.3490,3837.8906,9015.3154
3432613,2.4018,3828.1250,9194.4512
3432650,2.3754,3823.2422,9081.8145
3432688,2.3226,3842.7734,8925.3604
3432726,2.3490,3852.5391,9049.7256
3432763,2.5074,3837.8906,9623.0898
3432801,2.5074,3818.3594,9574.1172
3432838,2.4018,3823.2422,9182.7236
3432876,2.2962,3857.4219,8857.5723
3432912,2.3490,3847.6563,9038.2559
3432950,2.3490,3857.4219,9061.1953
3432987,2.3226,3857.4219,8959.3838
3433025,2.4282,3769.5313,9153.2119
3433063,2.4282,3818.3594,9271.7764
3433100,2.5074,3818.3594,9574.1172
3433138,2.5602,3828.1250,9800.6787
3433175,2.4810,3828.1250,9497.5654
3433212,2.4546,3818.3594,9372.5566
3433249,2.2962,3823.2422,8779.0879
3433287,2.3754,3842.7734,9128.2100
