6370695L	)??8,052.7344,748.7632
263718776,1.6892,3837.8906,6482.9233
263718815,1.6628,3818.3594,6349.1514
263718855,1.7948,3847.6563,6905.6333
263718895,1.8739,3823.2422,7164.5430
263718934,1.9003,3789.0625,7200.4985
263718974,1.8739,3808.5938,7137.0923
263719013,2.0587,3813.4766,7850.8018
263719053,1.9795,3784.1797,7490.8540
263719093,1.8476,3857.4219,7126.7822
263719132,1.9003,3803.7109,7228.3359
263719172,1.8212,3842.7734,6998.2939
263719211,1.8476,3828.1250,7072.6548
263719250,1.9003,3813.4766,7246.8936
263719290,1.9003,3823.2422,7265.4517
263719329,1.9003,3793.9453,7209.7778
263719369,1.9531,3823.2422,7467.2700
263719408,1.9003,3818.3594,7256.1729
263719448,1.8212,3808.5938,6936.0474
263719487,1.7684,3852.5391,6812.7144
263719527,1.7684,3808.5938,6735.0024
263719567,1.8739,3847.6563,7210.2935
263719606,1.8212,3793.9453,6909.3706
263719646,1.9003,3833.0078,7284.0098
263719685,1.7948,3803.7109,6826.7617
263719725,1.8476,3818.3594,7054.6123
263719764,1.9003,3828.1250,7274.7305
263719803,1.9267,3774.4141,7272.2822
263719843,1.8212,3852.5391,7016.0791
263719882,1.9531,3784.1797,7390.9761
263719922,1.9795,3798.8281,7519.8506
263719962,1.9267,3813.4766,7347.5454
263720001,1.9531,3798.8281,7419.5859
263720041,1.9531,3818.3594,7457.7334
263720080,1.9003,3833.0078,7284.0098
263720120,2.0059,3828.1250,7678.8823
263720160,2.0323,3789.0625,7700.5332
263720199,2.0323,3808.5938,7740.2271
263720239,1.9003,3808.5938,7237.6147
263720278,1.9795,3798.8281,7519.8506
263720317,2.0323,3823.2422,7769.9971
263720357,2.0587,3798.8281,7820.6450
263720396,1.9795,3818.3594,7558.5132
263720436,1.9531,3793.9453,7410.0493
263720475,1.9795,3813.4766,7548.8477
263720515,1.9531,3798.8281,7419.5859
263720555,2.2435,3774.4141,8467.7256
263720594,2.0323,3784.1797,7690.6099
263720634,2.0323,3769.5313,7660.8398
263720673,2.0323,3789.0625,7700.5332
263720713,1.9795,3769.5313,7461.8569
263720752,2.0059,3813.4766,7649.4985
263720792,1.9267,3789.0625,7300.5059
263720832,2.0059,3779.2969,7580.9370
263720870,2.0851,3750.0000,7819.0986
263720910,2.0059,3759.7656,7541.7593
263720949,1.9795,3808.5938,7539.1821
263720989,2.0851,3784.1797,7890.3667
263721029,2.0587,3808.5938,7840.7495
263721068,2.0323,3779.2969,7680.6865
263721108,2.1907,3789.0625,8300.5752
263721147,2.0587,3779.2969,7780.4360
263721187,1.9795,3789.0625,7500.5195
263721227,1.9267,3808.5938,7338.1372
263721266,2.0587,3779.2969,7780.4360
263721306,2.0587,3803.7109,7830.6973
263721345,2.1643,3774.4141,8168.8652
263721384,2.0851,3784.1797,7890.3667
263721424,2.1115,3764.6484,7949.0039
263721463,2.2698,3784.1797,8589.5117
263721503,2.3490,3750.0000,8808.8584
263721542,2.2698,3750.0000,8511.9297
263721582,2.1643,3764.6484,8147.7300
263721622,2.1907,3764.6484,8247.0918
263721661,2.1907,3774.4141,8268.4854
263721701,2.2435,3759.7656,8434.8633
263721740,2.0587,3789.0625,7800.5405
263721780,2.0587,3759.7656,7740.2271
263721820,2.1115,3759.7656,7938.6943
263721859,2.1643,3779.2969,8179.4331
263721899,2.1379,3789.0625,8100.5610
263721937,2.0587,3769.5313,7760.3315
263721977,2.1115,3759.7656,7938.6943
263722016,2.1643,3774.4141,8168.8652
263722056,2.0323,3759.7656,7640.9932
263722096,2.0059,3808.5938,7639.7041
263722135,2.0851,3745.1172,7808.9175
263722175,2.1643,3754.8828,8126.5942
263722214,2.1907,3740.2344,8193.6084
263722254,2.2171,3764.6484,8346.4541
263722294,2.2435,3754.8828,8423.9082
263722333,2.1907,3754.8828,8225.6982
263722373,2.1643,3769.5313,8158.2974
263722412,2.1379,3754.8828,8027.4893
263722451,2.1907,3759.7656,8236.3955
263722491,2.1643,3764.6484,8147.7300
263722530,2.1643,3793.9453,8211.1357
263722570,2.2962,3754.8828,8622.1182
263722609,2.0323,3750.0000,7621.1465
263722649,2.4018,3735.3516,8971.6270
263722689,2.2435,3764.6484,8445.8174
263722728,2.1907,3754.8828,8225.6982
263722768,2.2171,3750.0000,8313.9775
263722807,2.1907,3750.0000,8215.0020
263722847,2.2171,3730.4688,8270.6758
263722887,2.2698,3774.4141,8567.3457
263722926,2.2171,3740.2344,8292.3271
263722966,2.1643,3769.5313,8158.2974
263723004,2.1643,3730.4688,8073.7554
263723044,2.1907,3769.5313,8257.7881
263723084,2.1643,3779.2969,8179.4331
263723123,2.1907,3764.6484,8247.0918
263723163,2.2698,3715.8203,8434.3467
263723202,2.2435,3759.7656,8434.8633
263723242,2.2435,3769.5313,8456.7715
263723281,2.3226,3750.0000,8709.8818
263723321,2.2171,3759.7656,8335.6289
263723361,2.3490,3735.3516,8774.4482
263723400,2.1907,3779.2969,8279.1816
263723440,2.1907,3725.5859,8161.5186
263723479,2.1907,3706.0547,8118.7324
263723518,2.2171,3740.2344,8292.3271
263723558,2.2962,3769.5313,8655.7539
263723597,2.2171,3754.8828,8324.8037
263723637,2.2698,3769.5313,8556.2627
263723676,2.3490,3735.3516,8774.4482
263723716,2.3490,3725.5859,8751.5088
263723756,2.2698,3740.2344,8489.7627
263723795,2.2171,3750.0000,8313.9775
263723835,2.3754,3759.7656,8931.0313
263723874,2.3490,3750.0000,8808.8584
263723914,2.2171,3745.1172,8303.1523
263723954,2.1907,3754.8828,8225.6982
263723993,2.2698,3759.7656,8534.0957
263724033,2.2698,3730.4688,8467.5967
263724071,2.2962,3769.5313,8655.7539
263724111,2.2962,3745.1172,8599.6934
263724151,2.4018,3735.3516,8971.6270
263724190,2.3754,3701.1719,8791.8457
263724230,2.3754,3740.2344,8884.6357
263724269,2.3754,3735.3516,8873.0371
263724309,2.3490,3735.3516,8774.4482
263724349,2.3490,3764.6484,8843.2676
263724388,2.3226,3754.8828,8721.2227
263724428,2.4282,3750.0000,9105.7861
263724467,2.3490,3740.2344,8785.9180
263724507,2.3754,3750.0000,8907.8330
263724546,2.2962,3750.0000,8610.9053
263724585,2.2435,3759.7656,8434.8633
263724625,2.3226,3740.2344,8687.2002
263724664,2.2435,3769.5313,8456.7715
263724704,2.2435,3740.2344,8391.0459
263724743,2.4018,3720.7031,8936.4443
263724783,2.3754,3740.2344,8884.6357
263724823,2.3490,3759.7656,8831.7979
263724862,2.3226,3720.7031,8641.8359
263724902,2.4018,3754.8828,9018.5371
263724941,2.3754,3730.4688,8861.4385
263724981,2.3754,3725.5859,8849.8398
263725021,2.3754,3735.3516,8873.0371
263725060,2.4282,3745.1172,9093.9297
263725100,2.5074,3730.4688,9353.7412
263725138,2.3754,3730.4688,8861.4385
263725178,2.2698,3740.2344,8489.7627
263725218,2.3226,3735.3516,8675.8594
263725257,2.3490,3774.4141,8866.2070
263725297,2.3754,3735.3516,8873.0371
263725336,2.2962,3754.8828,8622.1182
263725376,2.4546,3725.5859,9144.8340
263725416,2.2698,3745.1172,8500.8467
263725455,2.3226,3652.3438,8483.0625
263725495,2.4282,3750.0000,9105.7861
