5,4077.1484,968.4949
274674266,1.7948,3867.1875,6940.6870
274674306,1.7684,3823.2422,6760.9063
274674344,1.8739,3842.7734,7201.1436
274674384,1.8739,3842.7734,7201.1436
274674423,1.9003,3813.4766,7246.8936
274674463,2.1643,3833.0078,8295.6777
274674503,2.0059,3828.1250,7678.8823
274674542,1.9795,3798.8281,7519.8506
274674582,1.9267,3876.9531,7469.8477
274674621,1.9267,3847.6563,7413.4004
274674661,1.9003,3818.3594,7256.1729
274674701,2.0323,3828.1250,7779.9204
274674740,2.0587,3828.1250,7880.9585
274674780,2.0323,3808.5938,7740.2271
274674819,2.1907,3808.5938,8343.3613
274674859,2.1907,3774.4141,8268.4854
274674898,2.2698,3774.4141,8567.3457
274674937,2.2435,3784.1797,8489.6348
274674977,2.4018,3779.2969,9077.1748
274675016,2.2698,3769.5313,8556.2627
274675056,2.2435,3784.1797,8489.6348
274675095,2.2962,3730.4688,8566.0576
274675135,2.2171,3789.0625,8400.5820
274675175,2.2698,3813.4766,8656.0117
274675214,2.2171,3784.1797,8389.7568
274675254,2.1643,3750.0000,8116.0264
274675293,2.2171,3813.4766,8454.7090
274675333,2.2698,3784.1797,8589.5117
274675373,2.2171,3803.7109,8433.0586
274675411,2.1115,3803.7109,8031.4839
274675451,2.2171,3774.4141,8368.1055
274675490,2.1907,3813.4766,8354.0576
274675530,2.1115,3779.2969,7979.9341
274675570,2.1643,3774.4141,8168.8652
274675609,2.2435,3798.8281,8522.4980
274675649,2.2698,3774.4141,8567.3457
274675688,2.1907,3769.5313,8257.7881
274675728,2.1379,3793.9453,8111.0000
274675768,2.0851,3779.2969,7880.1855
274675807,2.0851,3828.1250,7981.9966
274675847,2.0851,3813.4766,7951.4531
274675886,2.1115,3764.6484,7949.0039
274675926,2.1115,3808.5938,8041.7939
274675965,2.0587,3784.1797,7790.4883
274676004,2.0851,3798.8281,7920.9102
274676044,2.0851,3813.4766,7951.4531
274676083,2.0587,3789.0625,7800.5405
274676123,2.2171,3813.4766,8454.7090
274676163,2.2962,3793.9453,8711.8145
274676202,2.2698,3764.6484,8545.1797
274676242,2.2435,3779.2969,8478.6807
274676281,2.3490,3759.7656,8831.7979
274676321,2.2698,3769.5313,8556.2627
