,3935.5469,1454.2245
35021419,2.5074,3891.6016,9757.7637
35021457,2.5602,3740.2344,9575.6631
35021496,2.5338,3808.5938,9650.1523
35021534,2.4546,3715.8203,9120.8633
35021573,2.4810,3725.5859,9243.1660
35021611,2.4546,3872.0703,9504.3955
35021649,2.4018,3750.0000,9006.8096
35021688,2.5074,3881.8359,9733.2773
35021726,2.5866,3798.8281,9825.9385
35021765,2.5074,3881.8359,9733.2773
35021803,2.5074,3876.9531,9721.0342
35021842,2.4810,3833.0078,9509.6797
35021880,2.5602,3837.8906,9825.6807
35021919,2.6130,3735.3516,9760.3418
35021958,2.6394,3862.3047,10194.0050
35021997,2.7449,3798.8281,10427.5260
35022036,2.6658,3828.1250,10204.8310
35022075,2.5866,3813.4766,9863.8281
35022114,2.6130,3808.5938,9951.7207
35022153,2.6130,3798.8281,9926.2031
35022191,2.5602,3798.8281,9725.6738
35022230,2.5866,3774.4141,9762.7900
35022268,2.5602,3808.5938,9750.6758
35022307,2.5074,3833.0078,9610.8467
35022345,2.6130,3828.1250,10002.7550
35022385,2.6658,3793.9453,10113.7160
35022425,2.6658,3789.0625,10100.7000
35022464,2.5602,3798.8281,9725.6738
35022502,2.4282,3808.5938,9248.0635
35022540,2.4810,3808.5938,9449.1084
35022579,2.4282,3842.7734,9331.0596
35022618,2.4546,3823.2422,9384.5420
35022656,2.3490,3837.8906,9015.3154
35022695,2.3490,3847.6563,9038.2559
35022733,2.4546,3823.2422,9384.5420
35022772,2.4282,3833.0078,9307.3457
35022810,2.5338,3803.7109,9637.7803
35022849,2.6130,3774.4141,9862.4102
35022887,2.7713,3784.1797,10487.1960
35022926,2.7977,3803.7109,10641.7160
35022966,2.6921,3789.0625,10200.7070
35023005,2.6394,3813.4766,10065.1300
35023045,2.6394,3789.0625,10000.6920
35023085,2.7449,3750.0000,10293.4960
35023124,2.5602,3818.3594,9775.6768
35023163,2.5338,3837.8906,9724.3848
35023201,2.4546,3837.8906,9420.4980
35023240,2.5074,3818.3594,9574.1172
35023278,2.5074,3793.9453,9512.9014
35023316,2.5602,3789.0625,9700.6719
35023355,2.4810,3823.2422,9485.4512
35023393,2.5866,3818.3594,9876.4580
35023432,2.5866,3813.4766,9863.8281
35023470,2.5866,3828.1250,9901.7168
35023509,2.4810,3842.7734,9533.9082
35023548,2.5074,3823.2422,9586.3604
35023586,2.6394,3803.7109,10039.3550
35023626,2.5074,3789.0625,9500.6582
35023664,2.4810,3789.0625,9400.6514
35023703,2.4810,3823.2422,9485.4512
35023740,2.6130,3803.7109,9938.9619
35023779,2.5866,3823.2422,9889.0869
35023818,2.6394,3828.1250,10103.7930
35023857,2.5074,3818.3594,9574.1172
35023896,2.7185,3779.2969,10274.1650
35023935,2.7713,3779.2969,10473.6640
35023975,2.6130,3798.8281,9926.2031
35024014,2.5338,3784.1797,9588.2930
35024052,2.5866,3828.1250,9901.7168
35024091,2.6394,3818.3594,10078.0180
35024130,2.5338,3803.7109,9637.7803
35024168,2.4810,3803.7109,9436.9941
35024206,2.4810,3798.8281,9424.8799
35024245,2.5602,3803.7109,9738.1748
35024284,2.5074,3818.3594,9574.1172
35024322,2.3754,3828.1250,9093.4131
35024361,2.3490,3857.4219,9061.1953
35024399,2.5602,3818.3594,9775.6768
35024438,2.6130,3808.5938,9951.7207
35024476,2.6130,3813.4766,9964.4795
35024515,2.6658,3793.9453,10113.7160
35024555,2.6130,3779.2969,9875.1689
35024592,2.6394,3784.1797,9987.8047
35024631,2.5866,3818.3594,9876.4580
35024669,2.5074,3833.0078,9610.8467
35024708,2.6130,3833.0078,10015.5140
35024748,2.6921,3740.2344,10069.2550
35024787,2.7185,3779.2969,10274.1650
35024827,2.5866,3793.9453,9813.3086
35024865,2.5074,3818.3594,9574.1172
35024904,2.5074,3833.0078,9610.8467
35024942,2.5338,3833.0078,9712.0127
35024980,2.5074,3823.2422,9586.3604
35025019,2.5074,3808.5938,9549.6309
