944,r???b???r??47,1166.7046
261158431,1.5308,3935.5469,6024.6445
261158471,1.7420,3833.0078,6677.0093
261158510,1.6628,3793.9453,6308.5557
261158550,1.6892,3837.8906,6482.9233
261158589,1.5836,3833.0078,6070.0078
261158629,1.5836,3823.2422,6054.5430
261158669,1.6100,3857.4219,6210.4819
261158708,1.6100,3808.5938,6131.8682
261158748,1.6628,3725.5859,6194.8882
261158787,1.6364,3833.0078,6272.3418
261158827,1.5836,3818.3594,6046.8105
261158866,1.6100,3852.5391,6202.6206
261158905,1.7156,3798.8281,6517.2041
261158945,1.6100,3813.4766,6139.7295
261158984,1.6892,3833.0078,6474.6753
261159024,1.7156,3818.3594,6550.7114
261159064,1.6628,3852.5391,6405.9854
261159103,1.5836,3823.2422,6054.5430
261159143,1.5308,3852.5391,5897.5737
261159182,1.6100,3852.5391,6202.6206
261159222,1.6364,3813.4766,6240.3809
261159262,1.5836,3847.6563,6093.2056
261159301,1.6364,3813.4766,6240.3809
261159341,1.6364,3833.0078,6272.3418
261159379,1.6364,3837.8906,6280.3320
261159419,1.6100,3828.1250,6163.3135
261159459,1.5836,3828.1250,6062.2754
261159498,1.6892,3818.3594,6449.9316
261159538,1.5572,3847.6563,5991.6523
261159577,1.6892,3842.7734,6491.1714
261159617,1.6100,3828.1250,6163.3135
261159656,1.5836,3852.5391,6100.9380
261159696,1.6364,3759.7656,6152.4878
261159736,1.6100,3847.6563,6194.7593
261159775,1.6100,3833.0078,6171.1753
261159815,1.5572,3837.8906,5976.4448
261159854,1.6100,3847.6563,6194.7593
261159894,1.5308,3823.2422,5852.7251
261159933,1.5044,3857.4219,5803.2368
261159972,1.4253,3847.6563,5483.8853
261160012,1.4516,3842.7734,5578.3501
261160051,1.5044,3867.1875,5817.9287
261160091,1.5308,3818.3594,5845.2505
261160131,1.5572,3857.4219,6006.8594
261160170,1.5308,3847.6563,5890.0991
261160210,1.6364,3691.4063,6040.6245
261160249,1.4516,3842.7734,5578.3501
261160289,1.4516,3828.1250,5557.0859
261160329,1.4780,3872.0703,5723.0771
261160368,1.5044,3842.7734,5781.1992
261160408,1.5308,3857.4219,5905.0483
261160446,1.5308,3842.7734,5882.6240
261160486,1.4516,3833.0078,5564.1738
261160526,1.5044,3793.9453,5707.7407
261160565,1.6892,3828.1250,6466.4272
261160605,1.7156,3818.3594,6550.7114
261160644,1.7420,3837.8906,6685.5146
261160684,1.7420,3813.4766,6642.9863
261160724,1.6628,3828.1250,6365.3896
261160763,1.5308,3813.4766,5837.7759
261160803,1.3989,3876.9531,5423.3135
261160842,1.3725,3872.0703,5314.2856
261160882,1.4780,3842.7734,5679.7749
261160921,1.5836,3852.5391,6100.9380
261160961,1.6100,3823.2422,6155.4521
261161000,1.7156,3833.0078,6575.8418
261161039,1.8212,3793.9453,6909.3706
261161079,1.9267,3759.7656,7244.0586
261161118,1.9795,3808.5938,7539.1821
261161158,1.9531,3774.4141,7371.9023
261161198,1.9267,3789.0625,7300.5059
261161237,1.8476,3823.2422,7063.6333
261161277,1.8476,3813.4766,7045.5908
261161316,1.6364,3828.1250,6264.3516
261161356,1.6628,3789.0625,6300.4365
261161396,1.6100,3852.5391,6202.6206
261161435,1.5836,3808.5938,6031.3457
261161475,1.6892,3857.4219,6515.9155
261161513,1.6364,3833.0078,6272.3418
261161553,1.7684,3798.8281,6717.7334
261161593,1.7684,3828.1250,6769.5410
261161632,1.8476,3784.1797,6991.4634
261161672,1.9267,3798.8281,7319.3218
261161711,1.9795,3784.1797,7490.8540
261161751,2.0323,3745.1172,7611.2231
261161791,1.9795,3784.1797,7490.8540
261161830,1.9531,3769.5313,7362.3657
261161870,1.9531,3793.9453,7410.0493
261161909,1.9795,3784.1797,7490.8540
261161949,1.8476,3784.1797,6991.4634
261161989,1.7684,3818.3594,6752.2720
261162028,1.7684,3813.4766,6743.6372
261162067,1.7156,3847.6563,6600.9727
261162106,1.7156,3784.1797,6492.0732
261162146,1.7420,3823.2422,6659.9976
261162185,1.7684,3818.3594,6752.2720
261162225,1.8739,3779.2969,7082.1919
261162265,1.8739,3813.4766,7146.2427
261162304,1.9795,3916.0156,7751.8257
261162344,2.0323,3764.6484,7650.9165
261162383,2.0323,3759.7656,7640.9932
261162423,2.0059,3769.5313,7561.3481
261162463,2.0059,3789.0625,7600.5264
261162502,2.1115,3774.4141,7969.6240
261162542,2.1115,3798.8281,8021.1738
261162580,1.9003,3779.2969,7181.9409
261162620,1.8739,3789.0625,7100.4922
261162660,1.9003,3789.0625,7200.4985
261162699,2.0587,3774.4141,7770.3838
261162739,1.9795,3784.1797,7490.8540
261162778,2.1379,3764.6484,8048.3667
261162818,2.0851,3789.0625,7900.5479
261162858,2.0059,3759.7656,7541.7593
261162897,2.0059,3789.0625,7600.5264
261162937,2.0059,3789.0625,7600.5264
261162976,1.9531,3774.4141,7371.9023
261163016,2.1115,3803.7109,8031.4839
261163056,2.0323,3754.8828,7631.0698
261163095,1.9795,3793.9453,7510.1851
261163134,2.0323,3750.0000,7621.1465
261163173,1.9795,3779.2969,7481.1880
261163213,2.1115,3779.2969,7979.9341
261163253,2.0323,3759.7656,7640.9932
261163292,2.0587,3769.5313,7760.3315
261163332,2.1379,3740.2344,7996.1724
261163371,2.0851,3769.5313,7859.8232
261163411,2.1115,3735.3516,7887.1440
261163450,2.2435,3754.8828,8423.9082
261163490,2.2171,3740.2344,8292.3271
261163530,2.3490,3754.8828,8820.3281
261163569,2.2962,3725.5859,8554.8447
261163609,2.3490,3740.2344,8785.9180
261163648,2.2435,3764.6484,8445.8174
261163687,2.0851,3750.0000,7819.0986
