51482,0I??b???.9688,1173.7927
265063781,1.8476,3837.8906,7090.6973
265063821,1.9531,3789.0625,7400.5127
265063860,1.8476,3798.8281,7018.5273
265063900,1.6364,3833.0078,6272.3418
265063940,1.5572,3852.5391,5999.2559
265063979,1.4780,3867.1875,5715.8599
265064018,1.5308,3857.4219,5905.0483
265064057,1.4516,3862.3047,5606.7026
265064097,1.6892,3828.1250,6466.4272
265064137,1.8212,3808.5938,6936.0474
265064176,1.9267,3823.2422,7366.3608
265064216,2.1115,3750.0000,7918.0742
265064255,2.1907,3715.8203,8140.1255
265064295,2.0059,3745.1172,7512.3760
265064335,2.0587,3793.9453,7810.5928
265064374,1.6628,3857.4219,6414.1045
265064414,1.4780,3852.5391,5694.2090
265064453,1.3989,3891.6016,5443.8047
265064493,1.5044,3847.6563,5788.5454
265064531,1.6100,3857.4219,6210.4819
265064571,1.6892,3872.0703,6540.6592
265064611,1.7948,3784.1797,6791.7080
265064650,2.0059,3803.7109,7629.9097
265064690,2.0851,3764.6484,7849.6421
265064729,2.0587,3793.9453,7810.5928
265064769,2.0059,3740.2344,7502.5811
265064809,1.7684,3808.5938,6735.0024
265064848,1.7420,3847.6563,6702.5264
265064888,1.7156,3803.7109,6525.5806
265064927,1.7684,3842.7734,6795.4448
265064967,1.7948,3813.4766,6844.2886
265065007,1.8476,3803.7109,7027.5483
265065046,1.9003,3813.4766,7246.8936
265065085,1.9267,3847.6563,7413.4004
265065124,1.8476,3764.6484,6955.3784
265065164,1.9003,3793.9453,7209.7778
265065204,1.7948,3833.0078,6879.3428
265065243,1.7684,3798.8281,6717.7334
265065283,1.8739,3793.9453,7109.6421
265065322,1.8476,3828.1250,7072.6548
265065362,1.9795,3784.1797,7490.8540
265065402,1.9003,3808.5938,7237.6147
265065441,1.8739,3803.7109,7127.9424
265065481,1.8739,3803.7109,7127.9424
265065520,1.8212,3823.2422,6962.7246
265065560,1.8476,3798.8281,7018.5273
265065600,1.7948,3798.8281,6817.9985
265065638,1.8476,3798.8281,7018.5273
265065678,2.0059,3803.7109,7629.9097
265065717,1.9267,3798.8281,7319.3218
265065757,1.9795,3774.4141,7471.5225
265065796,2.0059,3808.5938,7639.7041
265065836,2.0851,3779.2969,7880.1855
265065876,2.0587,3803.7109,7830.6973
265065915,2.1115,3774.4141,7969.6240
265065955,2.0323,3784.1797,7690.6099
265065994,2.0059,3798.8281,7620.1152
265066034,2.0323,3764.6484,7650.9165
265066074,2.0323,3803.7109,7730.3037
265066113,2.0587,3774.4141,7770.3838
265066152,1.9795,3803.7109,7529.5161
265066191,1.9795,3789.0625,7500.5195
265066231,2.0587,3774.4141,7770.3838
265066271,2.0059,3808.5938,7639.7041
265066310,2.0059,3759.7656,7541.7593
265066350,2.0323,3808.5938,7740.2271
265066389,1.9531,3808.5938,7438.6597
265066429,1.9795,3803.7109,7529.5161
265066469,1.9531,3798.8281,7419.5859
265066508,1.9003,3784.1797,7191.2197
265066548,1.9795,3789.0625,7500.5195
265066587,2.0851,3754.8828,7829.2798
265066627,2.2698,3774.4141,8567.3457
265066667,2.1907,3750.0000,8215.0020
265066705,2.0587,3784.1797,7790.4883
265066745,2.0587,3769.5313,7760.3315
265066784,2.1115,3774.4141,7969.6240
265066824,2.0323,3789.0625,7700.5332
265066864,2.1643,3691.4063,7989.2134
265066903,2.0587,3798.8281,7820.6450
265066943,2.0059,3764.6484,7551.5537
265066982,2.1115,3803.7109,8031.4839
265067022,2.1643,3764.6484,8147.7300
265067061,2.0851,3745.1172,7808.9175
265067101,2.1115,3759.7656,7938.6943
265067141,2.1907,3759.7656,8236.3955
265067180,2.2435,3769.5313,8456.7715
265067219,2.0851,3754.8828,7829.2798
265067258,2.1379,3774.4141,8069.2446
265067298,2.1643,3740.2344,8094.8911
265067338,2.1643,3793.9453,8211.1357
265067377,2.1115,3764.6484,7949.0039
265067417,2.2698,3774.4141,8567.3457
265067456,2.2171,3759.7656,8335.6289
265067496,2.1379,3769.5313,8058.8057
265067536,2.1907,3754.8828,8225.6982
265067575,2.2435,3750.0000,8412.9541
265067615,2.1379,3779.2969,8079.6836
265067654,2.1379,3759.7656,8037.9282
265067694,2.1643,3784.1797,8190.0005
265067734,2.0323,3759.7656,7640.9932
265067772,2.1379,3793.9453,8111.0000
265067812,2.0587,3754.8828,7730.1748
265067851,2.0587,3808.5938,7840.7495
265067891,2.0587,3754.8828,7730.1748
265067931,2.1907,3759.7656,8236.3955
265067970,2.1907,3784.1797,8289.8779
265068010,2.2171,3740.2344,8292.3271
265068049,2.2962,3774.4141,8666.9658
265068089,2.2171,3740.2344,8292.3271
265068129,2.1643,3715.8203,8042.0522
265068168,2.1115,3745.1172,7907.7642
265068208,2.1907,3774.4141,8268.4854
265068247,2.0851,3750.0000,7819.0986
265068286,2.0851,3774.4141,7870.0044
265068325,2.2435,3759.7656,8434.8633
265068365,2.1115,3769.5313,7959.3140
265068405,2.1115,3671.8750,7753.1143
265068444,2.0851,3730.4688,7778.3745
265068484,2.1643,3784.1797,8190.0005
265068523,2.1643,3759.7656,8137.1621
265068563,2.1379,3774.4141,8069.2446
265068603,2.1907,3759.7656,8236.3955
265068642,2.2171,3779.2969,8378.9307
265068682,2.2171,3769.5313,8357.2803
265068721,2.2435,3759.7656,8434.8633
265068761,2.2698,3764.6484,8545.1797
265068801,2.2171,3735.3516,8281.5020
265068839,2.4018,3745.1172,8995.0820
265068879,2.4546,3720.7031,9132.8486
265068918,2.2962,3710.9375,8521.2090
265068958,2.2698,3725.5859,8456.5137
265068998,2.2171,3774.4141,8368.1055
265069037,2.1643,3730.4688,8073.7554
265069077,2.1643,3779.2969,8179.4331
265069116,2.1643,3730.4688,8073.7554
265069156,2.1643,3784.1797,8190.0005
265069196,2.1907,3754.8828,8225.6982
265069235,2.1115,3764.6484,7949.0039
265069275,2.1907,3759.7656,8236.3955
265069314,2.1379,3754.8828,8027.4893
265069353,2.1379,3789.0625,8100.5610
265069393,2.1643,3769.5313,8158.2974
265069432,2.1643,3911.1328,8464.7617
265069472,2.1907,3715.8203,8140.1255
265069511,2.2435,3764.6484,8445.8174
265069551,2.3490,3725.5859,8751.5088
265069590,2.3490,3754.8828,8820.3281
265069630,2.2962,3735.3516,8577.2695
265069670,2.2962,3725.5859,8554.8447
265069709,2.3490,3735.3516,8774.4482
265069749,2.3226,3754.8828,8721.2227
265069788,2.2698,3745.1172,8500.8467
265069828,2.3226,3740.2344,8687.2002
265069868,2.3754,3740.2344,8884.6357
265069906,2.4546,3740.2344,9180.7900
265069946,2.3754,3725.5859,8849.8398
265069985,2.3226,3750.0000,8709.8818
265070025,2.2698,3754.8828,8523.0127
265070065,2.2962,3754.8828,8622.1182
265070104,2.2698,3759.7656,8534.0957
265070144,2.1907,3735.3516,8182.9121
265070183,2.1907,3745.1172,8204.3057
265070223,2.2698,3745.1172,8500.8467
265070263,2.2171,3769.5313,8357.2803
265070302,2.2698,3720.7031,8445.4297
265070342,2.3226,3745.1172,8698.5410
265070381,2.3490,3720.7031,8740.0391
265070420,2.3226,3720.7031,8641.8359
265070460,2.4282,3706.0547,8999.0771
265070499,2.4546,3720.7031,9132.8486
265070539,2.4018,3710.9375,8912.9883
265070578,2.4546,3745.1172,9192.7754
265070618,2.4018,3715.8203,8924.7158
265070658,2.2962,3720.7031,8543.6328
265070697,2.2698,3730.4688,8467.5967
265070737,2.3226,3759.7656,8732.5635
265070776,2.3490,3745.1172,8797.3887
265070816,2.2962,3750.0000,8610.9053
265070855,2.3754,3720.7031,8838.2412
265070895,2.3226,3725.5859,8653.1768
265070935,2.4810,3740.2344,9279.5088
265070973,2.3754,3745.1172,8896.2344
265071013,2.3490,3720.7031,8740.0391
265071052,2.4282,3730.4688,9058.3594
265071092,2.4018,3730.4688,8959.8994
265071132,2.4018,3730.4688,8959.8994
265071171,2.4546,3735.3516,9168.8047
265071211,2.3490,3725.5859,8751.5088
265071250,2.3490,3745.1172,8797.3887
265071290,2.3490,3725.5859,8751.5088
265071330,2.2962,3750.0000,8610.9053
265071369,2.2962,3725.5859,8554.8447
265071409,2.3490,3750.0000,8808.8584
265071448,2.3226,3730.4688,8664.5176
265071488,2.2962,3754.8828,8622.1182
265071527,2.3226,3720.7031,8641.8359
265071566,2.2962,3745.1172,8599.6934
265071606,2.2698,3720.7031,8445.4297
265071645,2.2435,3750.0000,8412.9541
265071685,2.3754,3720.7031,8838.2412
265071725,2.2698,3725.5859,8456.5137
265071764,2.3490,3735.3516,8774.4482
265071804,2.3754,3730.4688,8861.4385
265071843,2.4810,3725.5859,9243.1660
265071883,2.3490,3740.2344,8785.9180
265071923,2.3226,3730.4688,8664.5176
265071962,2.2962,3725.5859,8554.8447
265072002,2.4018,3735.3516,8971.6270
265072040,2.3226,3725.5859,8653.1768
265072080,2.2962,3725.5859,8554.8447
265072119,2.3226,3740.2344,8687.2002
265072159,2.2171,3754.8828,8324.8037
265072199,2.2435,3715.8203,8336.2734
265072238,2.1907,3769.5313,8257.7881
265072278,2.2171,3720.7031,8249.0254
265072317,2.2962,3750.0000,8610.9053
265072357,2.3226,3715.8203,8630.4951
265072397,2.4282,3745.1172,9093.9297
265072436,2.5074,3701.1719,9280.2822
265072476,2.5074,3754.8828,9414.9570
265072515,2.3754,3710.9375,8815.0439
265072555,2.2962,3759.7656,8633.3301
265072594,2.2962,3730.4688,8566.0576
265072633,2.2435,3764.6484,8445.8174
265072673,2.2962,3750.0000,8610.9053
265072712,2.3490,3735.3516,8774.4482
265072752,2.3490,3745.1172,8797.3887
265072792,2.3490,3725.5859,8751.5088
265072831,2.3490,3730.4688,8762.9785
265072871,2.4282,3710.9375,9010.9336
265072910,2.3754,3740.2344,8884.6357
265072950,2.4018,3696.2891,8877.8057
265072990,2.3226,3754.8828,8721.2227
265073029,2.2171,3735.3516,8281.5020
265073069,2.1907,3769.5313,8257.7881
265073107,2.2698,3735.3516,8478.6797
265073147,2.1379,3764.6484,8048.3667
265073187,2.2171,3779.2969,8378.9307
265073226,2.3226,3745.1172,8698.5410
265073266,2.2435,3745.1172,8402.0000
265073305,2.1907,3740.2344,8193.6084
265073345,2.2962,3754.8828,8622.1182
265073384,2.4282,3730.4688,9058.3594
265073424,2.3226,3759.7656,8732.5635
265073464,2.4282,3730.4688,9058.3594
265073503,2.2962,3750.0000,8610.9053
265073543,2.3754,3735.3516,8873.0371
265073582,2.2698,3754.8828,8523.0127
265073622,2.2698,3730.4688,8467.5967
265073661,2.2698,3740.2344,8489.7627
265073700,2.2962,3750.0000,8610.9053
265073740,2.2698,3730.4688,8467.5967
265073779,2.2698,3774.4141,8567.3457
265073819,2.1379,3745.1172,8006.6113
265073859,2.1379,3784.1797,8090.1226
265073898,2.0059,3769.5313,7561.3481
265073938,2.1379,3769.5313,8058.8057
265073977,2.2171,3779.2969,8378.9307
265074017,2.2435,3745.1172,8402.0000
265074057,2.2435,3759.7656,8434.8633
265074096,2.1907,3740.2344,8193.6084
265074136,2.2171,3764.6484,8346.4541
265074174,2.1379,3740.2344,7996.1724
265074214,2.2698,3764.6484,8545.1797
265074254,2.3226,3750.0000,8709.8818
265074293,2.2698,3725.5859,8456.5137
265074333,2.2435,3745.1172,8402.0000
265074372,2.2171,3730.4688,8270.6758
265074412,2.2171,3759.7656,8335.6289
265074452,2.2962,3750.0000,8610.9053
265074491,2.2698,3798.8281,8622.7617
265074531,2.2171,3735.3516,8281.5020
265074570,2.2435,3779.2969,8478.6807
265074610,2.1379,3754.8828,8027.4893
265074649,2.1115,3774.4141,7969.6240
265074689,2.1643,3759.7656,8137.1621
265074728,2.1907,3750.0000,8215.0020
265074767,2.1643,3764.6484,8147.7300
265074807,2.1907,3735.3516,8182.9121
265074846,2.1643,3764.6484,8147.7300
265074886,2.2171,3740.2344,8292.3271
265074926,2.2435,3759.7656,8434.8633
265074965,2.2435,3754.8828,8423.9082
265075005,2.2171,3745.1172,8303.1523
265075044,2.1379,3779.2969,8079.6836
265075084,2.2698,3750.0000,8511.9297
265075124,2.0323,3769.5313,7660.8398
265075163,2.0587,3750.0000,7720.1226
265075203,2.1643,3769.5313,8158.2974
265075241,2.2435,3769.5313,8456.7715
265075281,2.2698,3735.3516,8478.6797
265075321,2.2698,3759.7656,8534.0957
265075360,2.2171,3735.3516,8281.5020
265075400,2.1115,3769.5313,7959.3140
265075439,2.1907,3745.1172,8204.3057
265075479,2.0587,3769.5313,7760.3315
265075519,2.0587,3750.0000,7720.1226
265075558,2.0323,3779.2969,7680.6865
265075598,2.0587,3774.4141,7770.3838
265075637,2.1115,3759.7656,7938.6943
265075677,2.1643,3774.4141,8168.8652
