2556422,0.1848,2431.6406,449.2579
2556459,0.2375,2416.9922,574.1377
2556494,0.1584,2436.5234,385.8515
2556531,1.4780,2290.0391,3384.7708
2556569,1.6100,2231.4453,3592.6458
2556606,1.3725,2216.7969,3042.4788
2556644,1.3989,2202.1484,3080.4968
2556681,1.2933,2246.0938,2904.8403
2556719,1.2141,2236.3281,2715.1367
2556755,1.1085,2246.0938,2489.8633
2556793,1.1349,2236.3281,2538.0623
2556830,1.2405,2236.3281,2774.1611
2556868,1.1349,2246.0938,2549.1455
2556906,1.0557,2255.8594,2381.6082
2556943,1.0030,2270.5078,2277.2195
2556981,1.1613,2270.5078,2636.7808
2557018,1.1085,2285.1563,2533.1653
2557056,1.1085,2270.5078,2516.9270
2557092,1.0821,2255.8594,2441.1487
2557130,1.0557,2265.6250,2391.9182
2557168,1.1349,2270.5078,2576.8538
2557205,1.0557,2255.8594,2381.6082
2557243,1.1349,2250.9766,2554.6873
2557280,1.1085,2265.6250,2511.5142
2557318,1.0557,2280.2734,2407.3833
2557355,1.0557,2255.8594,2381.6082
2557392,1.0557,2250.9766,2376.4531
2557429,1.2405,2260.7422,2804.4468
2557467,1.0293,2280.2734,2347.1987
2557505,1.1613,2255.8594,2619.7693
2557542,1.0557,2246.0938,2371.2983
2557580,1.1085,2260.7422,2506.1016
2557617,1.0293,2294.9219,2362.2771
2557655,1.1085,2275.3906,2522.3396
2557691,1.1613,2241.2109,2602.7576
2557729,1.0821,2275.3906,2462.2842
2557767,1.1085,2294.9219,2543.9907
2557804,1.0030,2290.0391,2296.8086
2557842,1.0821,2250.9766,2435.8647
2557879,1.1085,2280.2734,2527.7524
2557917,1.1613,2294.9219,2665.1331
2557954,1.1085,2255.8594,2500.6887
2557991,1.1085,2255.8594,2500.6887
2558028,1.1085,2270.5078,2516.9270
2558066,1.1085,2294.9219,2543.9907
2558104,1.1085,2260.7422,2506.1016
2558141,1.0557,2265.6250,2391.9182
2558179,1.0821,2275.3906,2462.2842
2558216,1.1085,2290.0391,2538.5779
2558254,1.1085,2236.3281,2479.0376
2558290,1.1349,2221.6797,2521.4375
2558328,1.1613,2265.6250,2631.1101
2558366,1.2141,2250.9766,2732.9214
2558403,1.1613,2241.2109,2602.7576
2558441,1.1349,2241.2109,2543.6040
2558478,1.0821,2280.2734,2467.5679
2558516,1.1877,2285.1563,2714.1055
2558553,1.1613,2255.8594,2619.7693
2558590,1.1349,2231.4453,2532.5208
2558627,1.0821,2290.0391,2478.1357
2558665,1.1085,2280.2734,2527.7524
2558703,1.1085,2260.7422,2506.1016
2558740,1.1085,2246.0938,2489.8633
2558778,1.0557,2280.2734,2407.3833
2558815,1.0821,2275.3906,2462.2842
2558853,1.0821,2250.9766,2435.8647
2558889,1.0557,2265.6250,2391.9182
2558927,1.0557,2285.1563,2412.5383
2558965,1.1349,2299.8047,2610.1033
2559002,1.0821,2250.9766,2435.8647
2559040,1.0557,2255.8594,2381.6082
2559077,1.1085,2290.0391,2538.5779
2559115,1.0293,2270.5078,2337.1465
2559152,1.1085,2231.4453,2473.6250
2559190,1.0821,2241.2109,2425.2969
2559226,1.1349,2275.3906,2582.3953
2559264,1.1613,2260.7422,2625.4397
2559302,1.1085,2236.3281,2479.0376
2559339,1.0557,2260.7422,2386.7632
2559377,1.0557,2270.5078,2397.0732
2559414,1.0293,2270.5078,2337.1465
2559452,1.2141,2236.3281,2715.1367
2559489,1.0821,2260.7422,2446.4324
2559526,1.1349,2260.7422,2565.7705
2559564,1.1085,2270.5078,2516.9270
2559601,1.2933,2246.0938,2904.8403
2559639,1.1349,2231.4453,2532.5208
2559676,1.1613,2250.9766,2614.0986
2559714,1.3197,2250.9766,2970.5667
2559751,1.2669,2221.6797,2814.6279
2559789,1.2669,2221.6797,2814.6279
2559825,1.3725,2231.4453,3062.5833
2559863,1.4253,2231.4453,3180.3750
2559901,1.4253,2202.1484,3138.6196
2559938,1.5044,2216.7969,3335.0249
2559976,1.3989,2231.4453,3121.4790
2560013,1.4253,2197.2656,3131.6604
2560051,1.6628,2187.5000,3637.3655
2560088,1.5044,2182.6172,3283.6038
2560125,1.5044,2192.3828,3298.2954
2560163,1.5836,2187.5000,3464.1575
2560200,1.5836,2172.8516,3440.9600
2560238,1.4516,2153.3203,3125.8608
2560275,1.5044,2187.5000,3290.9497
2560313,1.6364,2182.6172,3571.6392
2560350,1.7948,2167.9688,3890.9912
