4
26S????,r2375,4028.3203,956.8962
264109325,0.2375,4033.2031,958.0560
264109364,0.2111,4042.9688,853.6674
264109403,0.2375,4033.2031,958.0560
264109441,0.2639,4033.2031,1064.5067
264109480,0.2639,4033.2031,1064.5067
264109519,0.2639,4038.0859,1065.7954
264109559,0.3695,4033.2031,1490.3094
264109599,0.2639,4033.2031,1064.5067
264109638,0.2903,4033.2031,1170.9574
264109678,0.2375,4013.6719,953.4166
264109716,0.2903,4077.1484,1183.7161
264109756,0.2903,4028.3203,1169.5398
264109795,0.2375,4033.2031,958.0560
264109834,0.2375,4033.2031,958.0560
264109873,0.2375,4038.0859,959.2159
264109911,0.2639,4033.2031,1064.5067
264109950,0.2903,4028.3203,1169.5398
264109989,0.2639,4033.2031,1064.5067
264110029,0.2639,4067.3828,1073.5280
264110069,0.2903,4033.2031,1170.9574
264110108,0.2903,4038.0859,1172.3750
264110148,0.2639,4033.2031,1064.5067
264110187,0.3167,4038.0859,1278.9545
264110227,0.2375,4013.6719,953.4166
264110266,0.2639,4033.2031,1064.5067
264110305,0.2639,4028.3203,1063.2180
264110345,0.2639,4018.5547,1060.6405
264110384,0.2375,4086.9141,970.8147
264110423,0.2639,4052.7344,1069.6617
264110461,0.2111,4013.6719,847.4814
264110500,0.2639,4028.3203,1063.2180
264110540,0.2375,4038.0859,959.2159
264110578,0.2639,4033.2031,1064.5067
264110618,0.2639,4028.3203,1063.2180
264110657,0.3167,4042.9688,1280.5010
264110697,0.2375,4033.2031,958.0560
264110736,0.3959,3994.1406,1581.2950
264110775,0.2111,4038.0859,852.6364
264110814,0.3959,4028.3203,1594.8269
264110853,0.2375,4013.6719,953.4166
264110892,0.2375,4082.0313,969.6548
264110930,0.2111,3886.7188,820.6754
264110968,0.3959,3930.6641,1556.1644
264111008,0.2375,4033.2031,958.0560
264111046,0.3167,4038.0859,1278.9545
264111086,0.3167,4033.2031,1277.4081
264111125,0.3431,4033.2031,1383.8588
264111165,0.2375,4042.9688,960.3758
264111204,0.2903,4038.0859,1172.3750
264111243,0.2375,4033.2031,958.0560
264111282,0.2639,4033.2031,1064.5067
264111321,0.2903,4033.2031,1170.9574
264111361,0.2639,4033.2031,1064.5067
264111400,0.1848,4033.2031,745.1547
264111438,0.3959,4028.3203,1594.8269
264111478,0.2375,4042.9688,960.3758
264111516,0.2375,4033.2031,958.0560
264111555,0.2639,4038.0859,1065.7954
264111595,0.3167,4038.0859,1278.9545
264111634,0.2639,4038.0859,1065.7954
264111674,0.2375,4023.4375,955.7363
264111712,0.2375,3911.1328,929.0592
264111751,0.2639,3994.1406,1054.1968
264111790,0.2375,4033.2031,958.0560
264111828,0.2375,4028.3203,956.8962
264111867,0.2639,4033.2031,1064.5067
264111906,0.2375,4033.2031,958.0560
264111945,0.2111,4033.2031,851.6054
264111983,0.2375,4033.2031,958.0560
264112022,0.2375,4028.3203,956.8962
264112061,0.2639,4018.5547,1060.6405
264112100,0.2375,4033.2031,958.0560
264112139,0.2375,4042.9688,960.3758
264112177,0.2903,4042.9688,1173.7927
264112217,0.2375,4023.4375,955.7363
264112254,0.2639,4033.2031,1064.5067
264112294,0.2639,4038.0859,1065.7954
264112334,0.2903,4038.0859,1172.3750
264112373,0.2639,4038.0859,1065.7954
264112413,0.2375,4038.0859,959.2159
264112451,0.2903,4042.9688,1173.7927
264112491,0.2639,4033.2031,1064.5067
264112531,0.2111,4033.2031,851.6054
264112569,0.2903,4038.0859,1172.3750
264112609,0.2375,4033.2031,958.0560
264112647,0.2639,4028.3203,1063.2180
264112687,0.2375,4033.2031,958.0560
264112724,0.2375,4042.9688,960.3758
264112763,0.2903,4038.0859,1172.3750
264112803,0.2375,4052.7344,962.6956
264112841,0.2375,4023.4375,955.7363
264112880,0.2375,4033.2031,958.0560
264112918,0.2903,4033.2031,1170.9574
264112958,0.2639,4033.2031,1064.5067
264112998,0.2639,4047.8516,1068.3729
264113037,0.2639,4008.7891,1058.0630
264113077,0.2903,4033.2031,1170.9574
264113116,0.2639,4033.2031,1064.5067
264113156,0.2903,4038.0859,1172.3750
264113196,0.4487,4033.2031,1809.6615
264113234,0.2375,4038.0859,959.2159
