54,0.??b??2&4375,743.3505
84806432,0.2111,4047.8516,854.6984
84806470,0.1848,4028.3203,744.2526
84806507,0.1848,4052.7344,748.7632
84806545,0.2375,4047.8516,961.5356
84806582,0.2375,4052.7344,962.6956
84806620,0.1584,4047.8516,641.0237
84806658,0.2639,4047.8516,1068.3729
84806695,0.2111,4047.8516,854.6984
84806733,0.2111,4047.8516,854.6984
84806770,0.1848,4042.9688,746.9590
84806808,0.1848,4042.9688,746.9590
84806845,0.1848,4052.7344,748.7632
84806883,0.1848,4042.9688,746.9590
84806921,0.2375,4042.9688,960.3758
84806958,0.1848,4042.9688,746.9590
84806995,0.1584,4052.7344,641.7970
84807032,0.2111,4057.6172,856.7604
84807070,0.2639,4042.9688,1067.0842
84807108,0.1848,4047.8516,747.8611
84807146,0.1584,4042.9688,640.2505
84807183,0.2111,4047.8516,854.6984
84807221,0.2375,4052.7344,962.6956
84807259,0.1584,4047.8516,641.0237
84807296,0.1848,4047.8516,747.8611
84807333,0.2375,4042.9688,960.3758
84807370,0.2375,4047.8516,961.5356
84807408,0.2111,4052.7344,855.7294
84807445,0.2111,4047.8516,854.6984
84807483,0.2375,4052.7344,962.6956
84807521,0.2111,4057.6172,856.7604
84807558,0.1848,4042.9688,746.9590
84807596,0.2111,4042.9688,853.6674
84807632,0.2111,4047.8516,854.6984
84807670,0.1848,4042.9688,746.9590
84807707,0.1848,4047.8516,747.8611
84807745,0.2111,4052.7344,855.7294
84807782,0.2375,4047.8516,961.5356
84807820,0.3167,4038.0859,1278.9545
84807859,0.1848,4047.8516,747.8611
84807896,0.3167,4047.8516,1282.0475
84807934,0.1584,4042.9688,640.2505
84807971,0.3695,4047.8516,1495.7222
84808010,0.2111,4047.8516,854.6984
84808047,0.1584,4052.7344,641.7970
84808085,0.2903,4042.9688,1173.7927
84808124,0.1848,4052.7344,748.7632
84808161,0.2639,4047.8516,1068.3729
84808200,0.2111,4047.8516,854.6984
84808237,0.2375,4047.8516,961.5356
84808274,0.2111,4057.6172,856.7604
84808311,0.2639,4052.7344,1069.6617
84808350,0.2111,4047.8516,854.6984
84808388,0.3431,4052.7344,1390.5603
84808426,0.2375,4047.8516,961.5356
84808464,0.1584,4033.2031,638.7040
84808501,0.3431,4047.8516,1388.8849
84808540,0.2111,4047.8516,854.6984
84808577,0.2375,4047.8516,961.5356
84808614,0.2375,4042.9688,960.3758
84808652,0.1848,4033.2031,745.1547
84808689,0.1848,4047.8516,747.8611
84808727,0.1320,4033.2031,532.2534
84808764,0.1848,4047.8516,747.8611
84808802,0.1848,4052.7344,748.7632
84808839,0.1848,4047.8516,747.8611
84808877,0.1848,4047.8516,747.8611
84808913,0.1848,4047.8516,747.8611
84808951,0.1584,4052.7344,641.7970
84808989,0.2375,4047.8516,961.5356
84809026,0.2111,4052.7344,855.7294
84809064,0.2111,4038.0859,852.6364
84809101,0.1848,4047.8516,747.8611
84809139,0.2111,4042.9688,853.6674
84809176,0.3167,4057.6172,1285.1405
84809214,0.2111,4047.8516,854.6984
84809252,0.1848,4052.7344,748.7632
84809289,0.2375,4052.7344,962.6956
84809327,0.2375,4042.9688,960.3758
84809364,0.1584,4047.8516,641.0237
84809402,0.2375,4038.0859,959.2159
84809439,0.2375,4042.9688,960.3758
84809477,0.1848,4047.8516,747.8611
84809513,0.1584,4047.8516,641.0237
84809551,0.1848,4042.9688,746.9590
84809589,0.1848,4052.7344,748.7632
84809626,0.3695,4038.0859,1492.1138
84809665,0.2111,4047.8516,854.6984
84809702,0.2111,4052.7344,855.7294
84809740,0.2111,4038.0859,852.6364
84809777,0.2111,4033.2031,851.6054
84809815,0.2111,4047.8516,854.6984
84809852,0.1584,4057.6172,642.5703
84809889,0.2111,4052.7344,855.7294
84809927,0.2639,4042.9688,1067.0842
84809965,0.2639,4047.8516,1068.3729
84810004,0.1848,4038.0859,746.0569
84810041,0.1584,4028.3203,637.9308
84810079,0.1848,4047.8516,747.8611
84810117,0.2111,4042.9688,853.6674
84810153,0.1848,4047.8516,747.8611
84810191,0.3167,4047.8516,1282.0475
84810229,0.3167,4047.8516,1282.0475
84810268,0.1584,4052.7344,641.7970
84810305,0.3431,4052.7344,1390.5603
84810344,0.1848,4033.2031,745.1547
84810382,0.2111,4052.7344,855.7294
84810419,0.2375,4052.7344,962.6956
84810457,0.1584,4047.8516,641.0237
84810493,0.1584,4047.8516,641.0237
84810531,0.1848,4057.6172,749.6653
84810568,0.1584,4047.8516,641.0237
84810606,0.1848,4052.7344,748.7632
84810643,0.2903,4047.8516,1175.2103
84810682,0.2903,4057.6172,1178.0455
84810721,0.1848,4047.8516,747.8611
84810758,0.1320,4052.7344,534.8309
84810796,0.2375,4052.7344,962.6956
84810832,0.1320,4052.7344,534.8309
84810870,0.2111,4042.9688,853.6674
84810907,0.1584,4047.8516,641.0237
84810945,0.1848,4042.9688,746.9590
84810983,0.1848,4052.7344,748.7632
84811020,0.2111,4047.8516,854.6984
84811058,0.2111,4047.8516,854.6984
84811095,0.3167,4047.8516,1282.0475
84811133,0.2639,4047.8516,1068.3729
84811171,0.1848,4033.2031,745.1547
84811209,0.3431,4052.7344,1390.5603
84811248,0.1848,4047.8516,747.8611
84811285,0.3695,4052.7344,1497.5265
84811324,0.2639,4042.9688,1067.0842
84811362,0.2111,4042.9688,853.6674
84811400,0.1848,4052.7344,748.7632
84811437,0.2375,4052.7344,962.6956
84811474,0.2375,4047.8516,961.5356
84811512,0.3695,4052.7344,1497.5265
84811550,0.1848,4042.9688,746.9590
84811588,0.2375,4047.8516,961.5356
84811625,0.1320,4052.7344,534.8309
84811663,0.1848,4047.8516,747.8611
84811700,0.1848,4047.8516,747.8611
84811738,0.1584,4047.8516,641.0237
84811774,0.1848,4052.7344,748.7632
84811812,0.1848,4028.3203,744.2526
84811850,0.1848,4047.8516,747.8611
84811887,0.1848,4047.8516,747.8611
84811925,0.1584,4057.6172,642.5703
84811962,0.1848,4052.7344,748.7632
84812000,0.2903,4042.9688,1173.7927
84812038,0.1848,4047.8516,747.8611
84812076,1.6100,3901.3672,6281.2344
84812114,1.4516,3862.3047,5606.7026
84812152,1.3725,3935.5469,5401.4053
84812191,1.2669,3906.2500,4948.7964
84812229,1.2405,3940.4297,4888.0962
84812268,1.2141,3935.5469,4778.1660
84812306,1.1877,3940.4297,4680.0923
84812345,1.1349,3925.7813,4455.4629
84812384,1.1613,3920.8984,4553.4082
84812422,1.1349,3955.0781,4488.7129
84812461,1.1613,3920.8984,4553.4082
84812498,1.2141,3955.0781,4801.8794
84812537,1.1349,3925.7813,4455.4629
84812575,1.1613,3955.0781,4593.1016
84812614,1.1613,3940.4297,4576.0903
84812653,1.2405,3940.4297,4888.0962
84812691,1.0821,3945.3125,4269.3682
84812730,1.1349,3925.7813,4455.4629
84812768,1.1349,3925.7813,4455.4629
84812807,1.1085,3916.0156,4341.0225
84812846,1.1085,3964.8438,4395.1499
84812883,1.2141,3911.1328,4748.5249
84812922,1.2405,3945.3125,4894.1533
84812960,1.2405,3916.0156,4857.8105
84812999,1.3197,3925.7813,5180.7710
84813037,1.4516,3901.3672,5663.4077
84813076,1.3461,3920.8984,5277.8145
84813115,1.4516,3906.2500,5670.4956
84813153,1.4516,3901.3672,5663.4077
84813192,1.4253,3916.0156,5581.3145
84813230,1.5044,3896.4844,5862.0039
84813268,1.4253,3901.3672,5560.4370
84813306,1.3461,3886.7188,5231.8057
84813345,1.3725,3916.0156,5374.5991
84813384,1.4516,3891.6016,5649.2314
84813422,1.4253,3925.7813,5595.2329
84813461,1.3989,3872.0703,5416.4834
84813499,1.5044,3916.0156,5891.3877
84813538,1.4780,3872.0703,5723.0771
84813577,1.4516,3920.8984,5691.7603
84813615,1.4253,3896.4844,5553.4775
84813654,1.3989,3911.1328,5471.1265
84813691,1.4516,3891.6016,5649.2314
84813730,1.5044,3896.4844,5862.0039
84813768,1.4516,3906.2500,5670.4956
84813807,1.4780,3891.6016,5751.9448
84813846,1.4780,3916.0156,5788.0298
84813884,1.5044,3886.7188,5847.3125
84813923,1.5572,3920.8984,6105.7065
84813961,1.5044,3876.9531,5832.6206
84814000,1.5044,3916.0156,5891.3877
84814038,1.5572,3872.0703,6029.6704
84814076,1.6628,3901.3672,6487.1763
84814115,1.6364,3862.3047,6320.2832
84814153,1.6100,3901.3672,6281.2344
84814192,1.6100,3852.5391,6202.6206
84814230,1.6628,3881.8359,6454.7002
84814269,1.6892,3852.5391,6507.6675
84814308,1.6100,3886.7188,6257.6499
84814346,1.6364,3876.9531,6344.2539
84814385,1.5572,3876.9531,6037.2739
84814423,1.5836,3901.3672,6178.2627
84814461,1.5308,3867.1875,5919.9980
84814499,1.4253,3920.8984,5588.2739
84814538,1.5572,3852.5391,5999.2559
84814577,1.5572,3906.2500,6082.8955
84814615,1.5836,3862.3047,6116.4028
84814654,1.6100,3891.6016,6265.5117
84814692,1.6100,3872.0703,6234.0659
84814731,1.6364,3881.8359,6352.2441
84814769,1.6892,3876.9531,6548.9072
84814808,1.7684,3881.8359,6864.5220
84814846,1.6892,3881.8359,6557.1553
84814884,1.7948,3857.4219,6923.1602
84814923,1.7420,3872.0703,6745.0552
84814961,1.7420,3852.5391,6711.0322
84815000,1.7948,3876.9531,6958.2144
84815038,1.7684,3837.8906,6786.8105
84815077,1.7948,3876.9531,6958.2144
84815116,1.7156,3842.7734,6592.5957
84815154,1.8212,3876.9531,7060.5405
84815193,1.7156,3842.7734,6592.5957
84815230,1.7156,3867.1875,6634.4800
84815269,1.6892,3857.4219,6515.9155
84815308,1.6364,3881.8359,6352.2441
84815346,1.6628,3862.3047,6422.2236
84815385,1.6100,3886.7188,6257.6499
84815423,1.5836,3881.8359,6147.3330
84815462,1.5836,3872.0703,6131.8682
84815500,1.5836,3881.8359,6147.3330
84815539,1.6100,3872.0703,6234.0659
84815578,1.6100,3881.8359,6249.7886
84815616,1.5836,3857.4219,6108.6704
84815654,1.8212,3886.7188,7078.3252
84815692,1.7948,3828.1250,6870.5791
84815731,1.7420,3881.8359,6762.0664
84815769,1.8739,3837.8906,7191.9932
84815808,1.9795,3872.0703,7664.8350
84815847,1.8739,3837.8906,7191.9932
84815885,1.8476,3847.6563,7108.7397
84815924,1.7948,3852.5391,6914.3970
84815962,1.7684,3852.5391,6812.7144
84816001,1.8212,3872.0703,7051.6484
84816039,1.7684,3833.0078,6778.1758
84816077,1.7948,3876.9531,6958.2144
84816116,1.8476,3818.3594,7054.6123
84816154,1.8739,3862.3047,7237.7437
84816193,1.9267,3833.0078,7385.1768
84816231,1.8212,3867.1875,7042.7559
