6872	r??S,438.0859,959.2159
33506886,2.2435,3764.6484,8445.8174
33506924,2.2171,3803.7109,8433.0586
33506963,2.2171,3769.5313,8357.2803
33507002,2.1379,3813.4766,8152.7554
33507040,2.1115,3784.1797,7990.2441
33507079,2.1643,3803.7109,8232.2715
33507117,2.1379,3813.4766,8152.7554
33507155,2.1379,3793.9453,8111.0000
33507193,2.1907,3813.4766,8354.0576
33507232,2.2698,3784.1797,8589.5117
33507271,2.2435,3793.9453,8511.5439
33507309,2.3226,3764.6484,8743.9053
33507348,2.3490,3784.1797,8889.1475
33507386,2.4282,3798.8281,9224.3506
33507425,2.2962,3764.6484,8644.5420
33507464,2.3754,3789.0625,9000.6230
33507502,2.3490,3750.0000,8808.8584
33507540,2.4018,3789.0625,9100.6309
33507578,2.3754,3793.9453,9012.2217
33507617,2.3490,3769.5313,8854.7373
33507655,2.3490,3784.1797,8889.1475
33507694,2.2962,3764.6484,8644.5420
33507733,2.2698,3779.2969,8578.4287
33507771,2.2435,3803.7109,8533.4521
33507810,2.4018,3789.0625,9100.6309
33507848,2.2435,3808.5938,8544.4063
33507887,2.2698,3764.6484,8545.1797
33507924,2.2435,3793.9453,8511.5439
33507963,2.2435,3774.4141,8467.7256
33508002,2.3226,3784.1797,8789.2686
33508040,2.2962,3803.7109,8734.2393
33508079,2.3754,3754.8828,8919.4326
33508117,2.3754,3793.9453,9012.2217
33508156,2.2698,3764.6484,8545.1797
33508194,2.2962,3793.9453,8711.8145
33508233,2.2171,3793.9453,8411.4072
33508272,2.3226,3784.1797,8789.2686
33508310,2.3490,3793.9453,8912.0869
33508348,2.3490,3759.7656,8831.7979
33508386,2.3226,3793.9453,8811.9512
33508425,2.2962,3784.1797,8689.3906
33508464,2.2698,3779.2969,8578.4287
33508502,2.2962,3789.0625,8700.6025
33508541,2.3490,3764.6484,8843.2676
33508579,2.2962,3784.1797,8689.3906
33508618,2.2435,3789.0625,8500.5889
33508656,2.3226,3764.6484,8743.9053
33508695,2.3490,3793.9453,8912.0869
33508733,2.2698,3745.1172,8500.8467
33508771,2.3754,3774.4141,8965.8271
33508810,2.2962,3769.5313,8655.7539
33508848,2.3226,3789.0625,8800.6094
33508887,2.2171,3808.5938,8443.8838
33508925,2.2171,3769.5313,8357.2803
33508964,2.2435,3789.0625,8500.5889
33509003,2.2435,3784.1797,8489.6348
33509041,2.2171,3784.1797,8389.7568
33509080,2.2698,3789.0625,8600.5957
33509117,2.4018,3779.2969,9077.1748
33509156,2.2698,3793.9453,8611.6787
33509195,2.2962,3764.6484,8644.5420
33509233,2.3226,3774.4141,8766.5869
33509272,2.3226,3789.0625,8800.6094
33509310,2.2698,3750.0000,8511.9297
33509349,2.3226,3793.9453,8811.9512
33509387,2.3226,3759.7656,8732.5635
33509426,2.3226,3779.2969,8777.9277
33509465,2.2698,3789.0625,8600.5957
33509502,2.2962,3774.4141,8666.9658
33509541,2.2962,3798.8281,8723.0273
33509579,2.2435,3764.6484,8445.8174
33509618,2.1907,3789.0625,8300.5752
33509656,2.2435,3798.8281,8522.4980
33509695,2.2698,3779.2969,8578.4287
33509734,2.2962,3808.5938,8745.4512
33509772,2.2435,3769.5313,8456.7715
33509811,2.2171,3774.4141,8368.1055
33509849,2.3490,3779.2969,8877.6777
33509888,2.2698,3769.5313,8556.2627
33509926,2.3226,3798.8281,8823.2920
33509964,2.3226,3754.8828,8721.2227
