34393??b?r&?1,4067.3828,1395.5864
343941977,1.6364,3906.2500,6392.1953
343942017,1.7420,3872.0703,6745.0552
343942055,1.8476,3872.0703,7153.8462
343942095,1.7948,3862.3047,6931.9238
343942135,1.7684,3886.7188,6873.1567
343942174,1.5836,3891.6016,6162.7979
343942214,1.6364,3881.8359,6352.2441
343942253,1.7684,3876.9531,6855.8872
343942293,1.8739,3842.7734,7201.1436
343942333,1.8739,3872.0703,7256.0439
343942372,1.7156,3852.5391,6609.3496
343942412,1.6892,3896.4844,6581.8994
343942451,1.6628,3867.1875,6430.3428
343942491,1.7420,3891.6016,6779.0781
343942531,1.9267,3828.1250,7375.7690
343942569,1.8739,3876.9531,7265.1943
343942609,1.7948,3847.6563,6905.6333
343942648,1.7420,3901.3672,6796.0894
343942688,1.5572,3867.1875,6022.0669
343942728,1.7684,3896.4844,6890.4258
343942767,1.7156,3867.1875,6634.4800
343942807,1.8739,3867.1875,7246.8940
343942846,1.7156,3964.8438,6802.0176
343942886,1.6100,3964.8438,6383.4321
343942925,1.6100,3876.9531,6241.9272
343942965,1.7420,3862.3047,6728.0435
343943005,1.8212,3876.9531,7060.5405
343943044,1.8212,3837.8906,6989.4019
343943084,1.6628,3896.4844,6479.0571
343943122,1.5836,3867.1875,6124.1353
343943162,1.5572,3916.0156,6098.1030
343943202,1.6892,3867.1875,6532.4111
343943241,1.8476,3867.1875,7144.8247
343943281,1.8739,3862.3047,7237.7437
343943320,1.7420,3872.0703,6745.0552
343943360,1.5572,3901.3672,6075.2920
343943400,1.6100,3901.3672,6281.2344
343943439,1.5836,3881.8359,6147.3330
343943479,1.7948,3857.4219,6923.1602
343943518,1.8212,3867.1875,7042.7559
343943558,1.8212,3837.8906,6989.4019
343943598,1.6100,3906.2500,6289.0957
343943636,1.5572,3876.9531,6037.2739
343943676,1.6100,3916.0156,6304.8184
343943715,1.6892,3857.4219,6515.9155
343943755,1.6892,3896.4844,6581.8994
343943795,1.8476,3862.3047,7135.8032
343943834,1.7156,3891.6016,6676.3643
343943874,1.6364,3876.9531,6344.2539
343943913,1.5836,3901.3672,6178.2627
343943953,1.5572,3886.7188,6052.4810
343943993,1.6892,3872.0703,6540.6592
343944032,1.7684,3857.4219,6821.3486
343944072,1.7156,3862.3047,6626.1030
343944111,1.5044,3896.4844,5862.0039
343944151,1.4253,3891.6016,5546.5186
343944189,1.5044,3906.2500,5876.6958
343944229,1.7420,3872.0703,6745.0552
343944269,1.8212,3867.1875,7042.7559
343944308,1.7420,3842.7734,6694.0205
343944348,1.5836,3896.4844,6170.5303
343944387,1.6628,3857.4219,6414.1045
343944427,1.6892,3891.6016,6573.6514
343944467,1.9003,3847.6563,7311.8467
343944506,1.9003,3872.0703,7358.2417
343944546,1.6628,3852.5391,6405.9854
343944585,1.4780,3901.3672,5766.3789
343944625,1.5308,3891.6016,5957.3716
343944665,1.6892,3906.2500,6598.3955
343944704,1.6364,3872.0703,6336.2637
343944743,1.7420,3862.3047,6728.0435
343944782,1.8212,3886.7188,7078.3252
343944822,1.5836,3896.4844,6170.5303
343944862,1.5044,3916.0156,5891.3877
343944901,1.4253,3896.4844,5553.4775
343944941,1.6100,3886.7188,6257.6499
343944980,1.7420,3842.7734,6694.0205
343945020,1.8476,3891.6016,7189.9312
343945060,1.5308,3876.9531,5934.9473
343945099,1.3989,3935.5469,5505.2778
343945139,1.5308,3876.9531,5934.9473
343945178,1.6892,3891.6016,6573.6514
343945218,1.8212,3837.8906,6989.4019
343945257,1.7948,3876.9531,6958.2144
343945296,1.5572,3876.9531,6037.2739
343945336,1.5044,3916.0156,5891.3877
343945375,1.5572,3925.7813,6113.3101
343945415,1.6628,3881.8359,6454.7002
343945454,1.7684,3813.4766,6743.6372
343945494,1.9003,3837.8906,7293.2886
343945534,1.7156,3881.8359,6659.6108
343945573,1.5836,3911.1328,6193.7280
343945613,1.3197,3930.6641,5187.2148
343945652,1.4516,3901.3672,5663.4077
343945692,1.7156,3906.2500,6701.4951
343945732,1.7156,3842.7734,6592.5957
343945771,1.8476,3876.9531,7162.8672
343945810,1.5836,3867.1875,6124.1353
343945849,1.5308,3916.0156,5994.7456
343945889,1.4780,3881.8359,5737.5112
343945929,1.6892,3896.4844,6581.8994
343945968,1.6892,3857.4219,6515.9155
343946008,1.6364,3901.3672,6384.2051
343946047,1.5572,3872.0703,6029.6704
343946087,1.4516,3925.7813,5698.8481
343946127,1.5836,3886.7188,6155.0654
343946166,1.6628,3955.0781,6576.4868
343946206,1.6892,3867.1875,6532.4111
343946245,1.4253,3916.0156,5581.3145
343946285,1.2933,3906.2500,5051.8965
343946324,1.4516,3940.4297,5720.1128
343946363,1.2405,3940.4297,4888.0962
343946403,1.2405,3930.6641,4875.9819
343946442,1.5308,3715.8203,5688.2808
343946482,1.6628,3867.1875,6430.3428
343946522,1.6628,3901.3672,6487.1763
343946561,1.5044,3911.1328,5884.0415
343946601,1.2141,3940.4297,4784.0947
343946640,1.2405,3940.4297,4888.0962
343946680,1.4780,3920.8984,5795.2471
343946719,1.6364,3872.0703,6336.2637
343946759,1.7948,3881.8359,6966.9775
343946799,1.7420,3857.4219,6719.5376
343946838,1.4780,3930.6641,5809.6812
343946877,1.2405,3925.7813,4869.9248
343946916,1.2933,3945.3125,5102.4155
343946956,1.4780,3881.8359,5737.5112
343946996,1.6100,3901.3672,6281.2344
343947035,1.7420,3837.8906,6685.5146
343947075,2.0059,3857.4219,7737.6489
343947114,1.7948,3847.6563,6905.6333
343947154,1.6364,3891.6016,6368.2246
343947194,1.6100,3881.8359,6249.7886
343947233,1.6100,3881.8359,6249.7886
343947273,1.7420,3872.0703,6745.0552
343947312,1.5572,3881.8359,6044.8774
343947352,1.5836,3876.9531,6139.6006
343947392,1.5572,3886.7188,6052.4810
343947430,1.7420,3867.1875,6736.5493
343947470,1.9003,3823.2422,7265.4517
343947509,2.1643,3823.2422,8274.5430
343947549,2.0851,3798.8281,7920.9102
343947589,1.8476,3857.4219,7126.7822
343947628,1.8476,3823.2422,7063.6333
343947668,1.8476,3872.0703,7153.8462
343947707,1.9531,3828.1250,7476.8066
343947747,1.9795,3862.3047,7645.5039
343947787,1.8739,3828.1250,7173.6929
343947826,1.7684,3872.0703,6847.2524
343947866,1.7156,3837.8906,6584.2188
343947905,1.8739,3857.4219,7228.5938
343947944,1.9003,3818.3594,7256.1729
343947983,2.0323,3881.8359,7889.0771
343948023,2.0851,3833.0078,7992.1777
343948063,1.9531,3837.8906,7495.8799
343948102,2.1379,3818.3594,8163.1943
