,4062.5000,750.5675
84655156,1.5836,3901.3672,6178.2627
84655195,1.6100,3906.2500,6289.0957
84655234,1.5308,3876.9531,5934.9473
84655271,1.5572,3920.8984,6105.7065
84655310,1.6100,3876.9531,6241.9272
84655348,1.6100,3911.1328,6296.9570
84655387,1.6364,3872.0703,6336.2637
84655425,1.6364,3906.2500,6392.1953
84655464,1.6100,3876.9531,6241.9272
84655503,1.6364,3896.4844,6376.2148
84655541,1.6100,3891.6016,6265.5117
84655580,1.7156,3876.9531,6651.2339
84655618,1.7420,3896.4844,6787.5840
84655656,1.6100,3867.1875,6226.2046
84655695,1.6892,3891.6016,6573.6514
84655733,1.6628,3881.8359,6454.7002
84655772,1.6364,3896.4844,6376.2148
84655810,1.6628,3891.6016,6470.9380
84655849,1.7948,3881.8359,6966.9775
84655887,1.6364,3901.3672,6384.2051
84655926,1.6892,3857.4219,6515.9155
84655965,1.7420,3906.2500,6804.5952
84656003,1.7420,3862.3047,6728.0435
84656041,1.9003,3886.7188,7386.0786
84656079,1.8739,3857.4219,7228.5938
84656118,1.8212,3876.9531,7060.5405
84656156,1.7156,3881.8359,6659.6108
84656195,1.7684,3876.9531,6855.8872
84656234,1.7948,3901.3672,7002.0317
84656272,1.8212,3852.5391,7016.0791
84656311,1.7684,3881.8359,6864.5220
84656349,1.6892,3867.1875,6532.4111
84656388,1.7684,3881.8359,6864.5220
84656425,1.7684,3852.5391,6812.7144
84656464,1.8476,3852.5391,7117.7607
84656503,1.7156,3891.6016,6676.3643
84656541,1.7948,3857.4219,6923.1602
84656580,1.7156,3886.7188,6667.9878
84656618,1.9003,3876.9531,7367.5205
84656657,1.7684,3881.8359,6864.5220
84656696,1.7684,3867.1875,6838.6182
84656734,2.0059,3867.1875,7757.2383
84656773,1.8739,3876.9531,7265.1943
84656811,1.8476,3857.4219,7126.7822
84656849,1.8212,3881.8359,7069.4331
84656887,1.8476,3857.4219,7126.7822
84656926,1.8739,3876.9531,7265.1943
84656965,1.8476,3852.5391,7117.7607
84657003,1.8739,3876.9531,7265.1943
84657042,1.8212,3857.4219,7024.9712
84657080,1.9003,3857.4219,7330.4048
84657119,1.8739,3876.9531,7265.1943
84657157,1.8739,3833.0078,7182.8433
84657196,1.9795,3876.9531,7674.5005
84657234,1.8476,3837.8906,7090.6973
84657272,1.8476,3867.1875,7144.8247
84657311,1.9003,3852.5391,7321.1255
84657349,1.8739,3852.5391,7219.4434
84657388,2.0323,3881.8359,7889.0771
84657427,1.9267,3828.1250,7375.7690
84657465,1.9003,3872.0703,7358.2417
84657504,1.9531,3828.1250,7476.8066
84657542,2.0323,3867.1875,7859.3071
84657581,2.0059,3828.1250,7678.8823
84657618,1.9795,3852.5391,7626.1724
84657657,1.9795,3847.6563,7616.5068
84657696,1.9795,3828.1250,7577.8442
84657734,1.9531,3872.0703,7562.6372
84657773,1.9795,3823.2422,7568.1787
84657811,2.0059,3862.3047,7747.4434
84657850,1.9795,3818.3594,7558.5132
84657888,2.0587,3857.4219,7941.2720
84657927,2.0323,3833.0078,7789.8438
84657966,2.0323,3833.0078,7789.8438
84658003,2.0587,3857.4219,7941.2720
84658042,2.0323,3828.1250,7779.9204
84658080,2.0323,3857.4219,7839.4604
84658119,2.0851,3808.5938,7941.2725
84658158,2.0323,3847.6563,7819.6138
84658196,2.1115,3837.8906,8103.6538
84658235,2.0059,3837.8906,7698.4712
84658273,2.1379,3828.1250,8184.0723
84658312,2.0851,3813.4766,7951.4531
84658350,2.0587,3847.6563,7921.1675
84658388,2.2435,3818.3594,8566.3154
84658427,2.0587,3857.4219,7941.2720
84658465,2.1643,3808.5938,8242.8398
84658504,2.1379,3833.0078,8194.5107
84658542,2.2698,3818.3594,8667.0947
84658581,2.1379,3828.1250,8184.0723
84658619,2.1115,3847.6563,8124.2739
84658658,2.1115,3808.5938,8041.7939
84658697,2.1115,3842.7734,8113.9639
84658735,2.1115,3793.9453,8010.8643
84658774,2.2171,3847.6563,8530.4883
84658811,2.1379,3818.3594,8163.1943
84658850,2.1115,3828.1250,8083.0342
84658888,2.1115,3828.1250,8083.0342
84658927,2.1907,3818.3594,8364.7549
84658966,2.1379,3837.8906,8204.9502
84659004,2.1379,3803.7109,8131.8779
84659043,2.2698,3833.0078,8700.3447
84659081,2.1643,3823.2422,8274.5430
84659120,2.2962,3818.3594,8767.8750
84659159,2.2435,3808.5938,8544.4063
84659196,2.2171,3813.4766,8454.7090
