,4003.9063,951.0968
275622285,1.7684,3774.4141,6674.5601
275622325,1.9267,3793.9453,7309.9141
275622364,2.0059,3759.7656,7541.7593
275622404,2.2698,3725.5859,8456.5137
275622443,2.2962,3745.1172,8599.6934
275622482,2.2962,3735.3516,8577.2695
275622522,2.3226,3730.4688,8664.5176
275622561,2.2962,3784.1797,8689.3906
275622601,2.2962,3715.8203,8532.4209
275622640,2.2435,3754.8828,8423.9082
275622680,2.2962,3730.4688,8566.0576
275622720,2.1643,3735.3516,8084.3232
275622759,2.1907,3754.8828,8225.6982
275622799,2.4018,3725.5859,8948.1719
275622838,2.2698,3706.0547,8412.1807
275622878,2.2435,3740.2344,8391.0459
275622918,2.2171,3720.7031,8249.0254
275622957,2.3754,3750.0000,8907.8330
275622996,2.2435,3715.8203,8336.2734
275623035,2.2962,3754.8828,8622.1182
275623075,2.1379,3730.4688,7975.2949
275623115,2.2435,3730.4688,8369.1367
275623154,2.0851,3759.7656,7839.4609
275623194,2.1643,3754.8828,8126.5942
275623233,2.1907,3720.7031,8150.8223
275623273,2.2171,3759.7656,8335.6289
275623313,2.1907,3764.6484,8247.0918
275623352,2.1907,3754.8828,8225.6982
275623392,2.2171,3764.6484,8346.4541
275623431,2.1907,3725.5859,8161.5186
275623471,2.3490,3759.7656,8831.7979
275623510,2.1907,3745.1172,8204.3057
275623549,2.1907,3730.4688,8172.2153
275623589,2.2171,3754.8828,8324.8037
275623628,2.2171,3740.2344,8292.3271
275623668,2.1643,3759.7656,8137.1621
275623707,2.1379,3745.1172,8006.6113
275623747,2.1907,3710.9375,8129.4287
275623787,2.1907,3750.0000,8215.0020
275623826,2.2962,3725.5859,8554.8447
275623866,2.1643,3750.0000,8116.0264
275623905,2.1907,3759.7656,8236.3955
275623945,2.1115,3740.2344,7897.4541
275623985,2.1907,3754.8828,8225.6982
275624024,2.1643,3745.1172,8105.4590
275624064,2.1907,3715.8203,8140.1255
275624102,2.2962,3735.3516,8577.2695
275624142,2.1907,3720.7031,8150.8223
275624182,2.1643,3583.9844,7756.7231
275624221,2.2698,3735.3516,8478.6797
275624261,2.2171,3720.7031,8249.0254
275624300,2.2171,3754.8828,8324.8037
275624340,2.2698,3735.3516,8478.6797
275624380,2.3490,3735.3516,8774.4482
275624419,2.1643,3745.1172,8105.4590
275624459,2.1643,3735.3516,8084.3232
275624498,2.1907,3745.1172,8204.3057
275624538,2.3226,3735.3516,8675.8594
275624578,2.2435,3730.4688,8369.1367
275624616,2.2435,3735.3516,8380.0908
275624656,2.2171,3725.5859,8259.8506
275624695,2.2698,3789.0625,8600.5957
275624735,2.2171,3745.1172,8303.1523
275624774,2.2171,3730.4688,8270.6758
275624814,2.1643,3754.8828,8126.5942
275624854,2.1115,3715.8203,7845.9043
275624893,2.2171,3745.1172,8303.1523
275624933,2.2171,3740.2344,8292.3271
275624972,2.1115,3720.7031,7856.2144
275625012,2.1907,3754.8828,8225.6982
275625052,2.1907,3750.0000,8215.0020
275625091,2.2435,3745.1172,8402.0000
275625131,2.1643,3730.4688,8073.7554
275625169,2.3226,3740.2344,8687.2002
275625209,2.2962,3754.8828,8622.1182
275625249,2.1907,3730.4688,8172.2153
275625288,2.1907,3725.5859,8161.5186
275625328,2.3226,3730.4688,8664.5176
275625367,2.3490,3730.4688,8762.9785
275625407,2.2435,3730.4688,8369.1367
275625447,2.2962,3706.0547,8509.9971
275625486,2.2435,3740.2344,8391.0459
275625526,2.2698,3730.4688,8467.5967
275625565,2.2962,3701.1719,8498.7842
275625605,2.2698,3730.4688,8467.5967
275625645,2.3226,3720.7031,8641.8359
275625683,2.3754,3730.4688,8861.4385
275625723,2.3226,3696.2891,8585.1309
275625762,2.4282,3637.6953,8833.0869
275625802,2.4018,3715.8203,8924.7158
275625842,2.3226,3730.4688,8664.5176
275625881,2.2435,3750.0000,8412.9541
275625921,2.0851,3735.3516,7788.5557
275625960,2.0323,3696.2891,7511.9893
275626000,1.9795,3769.5313,7461.8569
275626039,2.1115,3745.1172,7907.7642
275626079,2.0059,3769.5313,7561.3481
275626119,2.0851,3754.8828,7829.2798
275626158,2.1115,3745.1172,7907.7642
275626198,2.2171,3740.2344,8292.3271
275626236,2.2171,3715.8203,8238.1992
275626276,2.2435,3828.1250,8588.2236
275626316,2.3490,3715.8203,8728.5693
275626355,2.2698,3710.9375,8423.2637
275626395,2.2698,3725.5859,8456.5137
275626434,2.3490,3706.0547,8705.6289
275626474,2.4018,3730.4688,8959.8994
275626514,2.4018,3696.2891,8877.8057
275626553,2.2435,3750.0000,8412.9541
275626593,2.2698,3720.7031,8445.4297
275626632,2.2171,3740.2344,8292.3271
275626672,2.1907,3764.6484,8247.0918
275626712,2.1907,3730.4688,8172.2153
275626750,2.2962,3745.1172,8599.6934
275626790,2.2698,3720.7031,8445.4297
275626829,2.2698,3725.5859,8456.5137
275626869,2.1643,3754.8828,8126.5942
275626909,2.1907,3730.4688,8172.2153
275626948,2.1643,3730.4688,8073.7554
275626988,2.2171,3745.1172,8303.1523
275627027,2.2698,3720.7031,8445.4297
275627067,2.3490,3740.2344,8785.9180
275627107,2.3226,3798.8281,8823.2920
275627146,2.3226,3725.5859,8653.1768
275627186,2.1643,3725.5859,8063.1880
275627225,2.2698,3715.8203,8434.3467
275627265,2.2171,3735.3516,8281.5020
275627303,2.2698,3725.5859,8456.5137
275627343,2.2962,3735.3516,8577.2695
275627383,2.2435,3725.5859,8358.1826
275627422,2.3226,3720.7031,8641.8359
275627462,2.3754,3735.3516,8873.0371
275627501,2.2435,3730.4688,8369.1367
275627541,2.1907,3750.0000,8215.0020
275627581,2.1907,3735.3516,8182.9121
275627620,2.2435,3754.8828,8423.9082
275627660,2.1379,3769.5313,8058.8057
275627699,2.2435,3745.1172,8402.0000
275627739,2.0323,3750.0000,7621.1465
275627779,2.1379,3750.0000,8017.0503
275627817,2.1643,3730.4688,8073.7554
275627857,2.1115,3745.1172,7907.7642
275627896,2.1115,3754.8828,7928.3843
275627936,2.1643,3725.5859,8063.1880
275627976,2.2435,3735.3516,8380.0908
275628015,2.2435,3745.1172,8402.0000
275628055,2.2698,3559.5703,8079.6831
275628094,2.2435,3730.4688,8369.1367
275628134,2.2435,3686.5234,8270.5479
275628174,2.2171,3745.1172,8303.1523
275628213,2.1907,3730.4688,8172.2153
275628253,2.1907,3735.3516,8182.9121
275628292,2.1907,3715.8203,8140.1255
275628332,2.2435,3730.4688,8369.1367
275628371,2.3754,3715.8203,8826.6426
275628410,2.3226,3720.7031,8641.8359
275628450,2.3490,3725.5859,8751.5088
