
101784??	r?84,4003.9063,739.7420
101797749,2.1643,3750.0000,8116.0264
101797789,2.2698,3754.8828,8523.0127
101797829,2.2171,3779.2969,8378.9307
101797868,2.1907,3769.5313,8257.7881
101797908,2.2435,3720.7031,8347.2275
101797947,2.3490,3759.7656,8831.7979
101797987,2.3226,3774.4141,8766.5869
101798027,2.1907,3774.4141,8268.4854
101798066,2.1907,3740.2344,8193.6084
101798106,2.2171,3769.5313,8357.2803
101798145,2.1115,3789.0625,8000.5542
101798184,2.0851,3779.2969,7880.1855
101798224,2.0587,3754.8828,7730.1748
101798263,1.9795,3793.9453,7510.1851
101798303,2.1379,3784.1797,8090.1226
101798342,2.1115,3774.4141,7969.6240
101798382,2.2435,3750.0000,8412.9541
101798421,2.1379,3759.7656,8037.9282
101798461,2.3754,3759.7656,8931.0313
101798501,2.2962,3740.2344,8588.4814
101798540,2.3490,3725.5859,8751.5088
101798580,2.2962,3754.8828,8622.1182
101798619,2.2698,3759.7656,8534.0957
101798659,2.2962,3754.8828,8622.1182
101798699,2.2435,3740.2344,8391.0459
101798737,2.1907,3769.5313,8257.7881
101798777,2.1643,3774.4141,8168.8652
101798816,2.1643,3745.1172,8105.4590
101798856,2.1115,3740.2344,7897.4541
101798896,2.2171,3774.4141,8368.1055
101798935,2.1907,3784.1797,8289.8779
101798975,2.2171,3745.1172,8303.1523
101799014,2.1379,3740.2344,7996.1724
101799054,2.3490,3769.5313,8854.7373
101799094,2.2435,3769.5313,8456.7715
101799133,2.3226,3730.4688,8664.5176
101799173,2.4282,3745.1172,9093.9297
101799212,2.2698,3774.4141,8567.3457
101799251,2.2435,3769.5313,8456.7715
101799291,2.1907,3730.4688,8172.2153
101799330,2.1379,3759.7656,8037.9282
101799370,2.2962,3764.6484,8644.5420
101799409,2.3226,3754.8828,8721.2227
101799449,2.2698,3730.4688,8467.5967
101799489,2.2435,3740.2344,8391.0459
101799528,2.2698,3759.7656,8534.0957
101799568,2.2435,3764.6484,8445.8174
101799607,2.2171,3745.1172,8303.1523
101799647,2.1379,3745.1172,8006.6113
101799686,2.1643,3769.5313,8158.2974
101799726,2.1379,3774.4141,8069.2446
101799766,2.0851,3750.0000,7819.0986
101799804,2.0851,3769.5313,7859.8232
101799844,2.1643,3774.4141,8168.8652
101799883,2.2698,3759.7656,8534.0957
101799923,2.2698,3730.4688,8467.5967
101799963,2.3754,3740.2344,8884.6357
101800002,2.2962,3764.6484,8644.5420
101800042,2.2435,3754.8828,8423.9082
101800081,2.2171,3745.1172,8303.1523
101800121,2.2171,3745.1172,8303.1523
101800161,2.2435,3764.6484,8445.8174
101800200,2.2698,3769.5313,8556.2627
101800240,2.3226,3740.2344,8687.2002
101800279,2.1379,3740.2344,7996.1724
101800318,2.1379,3774.4141,8069.2446
101800358,2.1115,3774.4141,7969.6240
101800397,2.1379,3735.3516,7985.7339
101800437,2.1643,3754.8828,8126.5942
101800476,2.1643,3759.7656,8137.1621
101800516,2.2962,3774.4141,8666.9658
101800556,2.2435,3740.2344,8391.0459
101800595,2.1907,3745.1172,8204.3057
101800635,2.2435,3774.4141,8467.7256
101800674,2.1907,3769.5313,8257.7881
101800714,2.1379,3745.1172,8006.6113
101800754,2.3490,3745.1172,8797.3887
101800793,2.1907,3764.6484,8247.0918
101800833,2.2698,3769.5313,8556.2627
101800871,2.1907,3750.0000,8215.0020
101800911,2.2435,3735.3516,8380.0908
101800950,2.2698,3759.7656,8534.0957
101800990,2.2435,3769.5313,8456.7715
101801030,2.3226,3745.1172,8698.5410
101801069,2.2435,3730.4688,8369.1367
101801109,2.2171,3759.7656,8335.6289
101801148,2.2435,3774.4141,8467.7256
101801188,2.2435,3759.7656,8434.8633
101801228,2.1115,3759.7656,7938.6943
101801267,2.0851,3789.0625,7900.5479
101801307,2.1115,3793.9453,8010.8643
101801346,2.1643,3745.1172,8105.4590
101801385,2.2171,3730.4688,8270.6758
101801425,2.2435,3754.8828,8423.9082
101801464,2.3490,3750.0000,8808.8584
101801504,2.2698,3730.4688,8467.5967
101801543,2.2962,3715.8203,8532.4209
101801583,2.3754,3740.2344,8884.6357
101801623,2.4546,3750.0000,9204.7607
101801662,2.3226,3754.8828,8721.2227
101801702,2.1907,3730.4688,8172.2153
101801741,2.1115,3740.2344,7897.4541
101801781,2.1115,3784.1797,7990.2441
101801821,2.0323,3784.1797,7690.6099
101801860,2.1115,3754.8828,7928.3843
101801900,2.0851,3779.2969,7880.1855
101801938,2.2171,3779.2969,8378.9307
101801978,2.2171,3769.5313,8357.2803
