0.1848,4111.3281,759.5887
100294340,2.2171,3798.8281,8422.2334
100294380,2.4018,3774.4141,9065.4473
100294419,2.5074,3798.8281,9525.1445
100294459,2.2962,3798.8281,8723.0273
100294498,2.2962,3803.7109,8734.2393
100294538,2.3490,3803.7109,8935.0264
100294578,2.1907,3818.3594,8364.7549
100294617,2.2435,3823.2422,8577.2695
100294657,2.1643,3842.7734,8316.8135
100294695,2.1115,3842.7734,8113.9639
100294735,2.1379,3857.4219,8246.7051
100294775,2.1379,3857.4219,8246.7051
100294814,2.2171,3857.4219,8552.1387
100294854,2.1643,3862.3047,8359.0850
100294893,2.1907,3847.6563,8428.9346
100294933,2.2962,3847.6563,8835.1484
100294973,2.2698,3828.1250,8689.2617
100295012,2.3226,3837.8906,8914.0195
100295052,2.3754,3813.4766,9058.6172
100295091,2.4546,3808.5938,9348.5859
100295131,2.2698,3818.3594,8667.0947
100295171,2.2435,3808.5938,8544.4063
100295209,2.3226,3798.8281,8823.2920
100295249,2.1643,3798.8281,8221.7041
100295288,2.0851,3823.2422,7971.8154
100295328,2.1379,3823.2422,8173.6333
100295368,2.0851,3818.3594,7961.6343
100295407,2.0851,3828.1250,7981.9966
100295447,2.1379,3823.2422,8173.6333
100295486,2.2435,3837.8906,8610.1328
100295526,2.1115,3842.7734,8113.9639
100295566,2.1643,3828.1250,8285.1104
100295605,2.2698,3837.8906,8711.4277
100295645,2.1643,3823.2422,8274.5430
100295684,2.4018,3828.1250,9194.4512
100295724,2.4018,3828.1250,9194.4512
100295762,2.4282,3823.2422,9283.6328
100295802,2.3226,3837.8906,8914.0195
100295842,2.2435,3833.0078,8599.1787
100295881,2.1907,3828.1250,8386.1475
100295921,2.1115,3847.6563,8124.2739
100295960,2.1379,3833.0078,8194.5107
100296000,2.1115,3828.1250,8083.0342
100296040,2.2171,3828.1250,8487.1855
100296079,2.0587,3818.3594,7860.8540
100296119,2.0851,3813.4766,7951.4531
100296158,2.1643,3813.4766,8253.4072
100296198,2.1379,3818.3594,8163.1943
100296238,2.1379,3823.2422,8173.6333
100296276,2.1643,3818.3594,8263.9746
100296316,2.1379,3818.3594,8163.1943
100296355,2.2698,3833.0078,8700.3447
100296395,2.2698,3837.8906,8711.4277
