69
1825808,0.3167,404?	ML122.0475
1829696,0.1848,4052.7344,748.7632
1829732,0.2111,4052.7344,855.7294
1829769,0.2111,4057.6172,856.7604
1829805,0.2111,4052.7344,855.7294
1829841,0.1848,4062.5000,750.5675
1829877,0.2111,4052.7344,855.7294
1829914,0.2375,4052.7344,962.6956
1829950,0.2375,4052.7344,962.6956
1829987,0.1848,4042.9688,746.9590
1830023,0.2111,4052.7344,855.7294
1830060,0.3431,4052.7344,1390.5603
1830097,0.2111,4057.6172,856.7604
1830133,0.1848,4042.9688,746.9590
1830170,0.2639,4052.7344,1069.6617
1830207,0.3167,4047.8516,1282.0475
1830245,0.1848,4052.7344,748.7632
1830281,0.2111,4052.7344,855.7294
1830318,0.1584,4042.9688,640.2505
1830353,0.2111,4052.7344,855.7294
1830390,0.1848,4052.7344,748.7632
1830426,0.1848,4052.7344,748.7632
1830463,0.2903,4052.7344,1176.6279
1830501,0.3167,4057.6172,1285.1405
1830538,0.2375,4057.6172,963.8554
1830575,0.2375,4052.7344,962.6956
1830610,0.2111,4042.9688,853.6674
1830647,0.2903,4057.6172,1178.0455
1830684,0.2111,4057.6172,856.7604
1830721,0.1584,4057.6172,642.5703
1830757,0.2375,4057.6172,963.8554
1830794,0.2639,4052.7344,1069.6617
1830832,0.2111,4052.7344,855.7294
1830867,0.2903,4047.8516,1175.2103
1830905,0.2111,4047.8516,854.6984
1830941,0.1584,4042.9688,640.2505
1830978,0.2111,4047.8516,854.6984
1831014,0.2111,4052.7344,855.7294
1831051,0.2111,4052.7344,855.7294
1831087,0.2375,4052.7344,962.6956
1831123,0.2375,4052.7344,962.6956
1831160,0.1320,4057.6172,535.4752
1831196,0.2111,4047.8516,854.6984
1831233,0.1848,4057.6172,749.6653
1831269,0.2375,4028.3203,956.8962
1831306,0.2111,4052.7344,855.7294
1831342,0.1584,4038.0859,639.4772
1831378,0.2111,4057.6172,856.7604
1831414,3.0353,3735.3516,11337.7710
1831453,3.1936,3701.1719,11820.1480
1831491,2.7977,3740.2344,10464.1270
1831530,2.3754,3823.2422,9081.8145
1831568,2.0587,3828.1250,7880.9585
1831605,2.0323,3803.7109,7730.3037
1831643,1.8739,3852.5391,7219.4434
1831680,1.9003,3862.3047,7339.6836
1831717,1.9267,3818.3594,7356.9531
1831754,1.8476,3867.1875,7144.8247
1831792,1.7948,3852.5391,6914.3970
1831830,1.8739,3828.1250,7173.6929
1831867,1.8476,3872.0703,7153.8462
1831905,1.8739,3847.6563,7210.2935
1831942,1.8212,3847.6563,7007.1865
1831980,1.8739,3867.1875,7246.8940
1832016,1.9531,3847.6563,7514.9536
1832054,1.9795,3857.4219,7635.8379
1832092,1.9267,3881.8359,7479.2554
1832129,1.8739,3833.0078,7182.8433
1832167,1.8739,3867.1875,7246.8940
1832204,1.9003,3857.4219,7330.4048
1832242,1.9267,3847.6563,7413.4004
1832279,1.9531,3847.6563,7514.9536
1832316,1.9795,3808.5938,7539.1821
1832353,1.9267,3847.6563,7413.4004
1832391,2.0323,3852.5391,7829.5371
1832429,1.9003,3818.3594,7256.1729
1832466,1.9267,3852.5391,7422.8081
1832504,2.0323,3842.7734,7809.6904
1832541,2.0323,3828.1250,7779.9204
1832579,1.9267,3862.3047,7441.6240
1832615,2.0323,3833.0078,7789.8438
1832653,1.9795,3842.7734,7606.8413
1832691,1.9531,3842.7734,7505.4170
1832728,1.9003,3818.3594,7256.1729
1832766,2.0059,3852.5391,7727.8545
1832803,2.0059,3833.0078,7688.6768
1832841,2.0323,3828.1250,7779.9204
1832878,1.9795,3837.8906,7597.1758
1832915,1.9531,3813.4766,7448.1963
1832952,1.9531,3833.0078,7486.3433
1832990,1.9531,3837.8906,7495.8799
1833028,2.0851,3813.4766,7951.4531
1833065,1.9267,3857.4219,7432.2163
