,4082.0313,969.6548
355336329,1.9795,3823.2422,7568.1787
355336369,1.8739,3789.0625,7100.4922
355336409,1.6892,3896.4844,6581.8994
355336448,1.7156,3886.7188,6667.9878
355336487,1.6628,3852.5391,6405.9854
355336526,1.6100,3906.2500,6289.0957
355336566,1.6892,3896.4844,6581.8994
355336606,1.7684,3852.5391,6812.7144
355336645,1.7156,3881.8359,6659.6108
355336685,1.8212,3881.8359,7069.4331
355336724,1.7948,3857.4219,6923.1602
355336764,1.8739,3823.2422,7164.5430
355336804,1.6628,3886.7188,6462.8188
355336843,2.0059,3847.6563,7718.0601
355336883,1.7684,3847.6563,6804.0796
355336922,1.9003,3872.0703,7358.2417
355336962,1.6100,3901.3672,6281.2344
355337001,1.7420,3862.3047,6728.0435
355337040,1.6892,3872.0703,6540.6592
355337080,1.7684,3876.9531,6855.8872
355337119,1.7156,3867.1875,6634.4800
355337159,1.6892,3876.9531,6548.9072
355337198,1.7420,3857.4219,6719.5376
355337238,1.7420,3852.5391,6711.0322
355337278,1.7948,3818.3594,6853.0522
355337317,1.9795,3867.1875,7655.1694
355337357,1.7684,3881.8359,6864.5220
355337396,1.9267,3833.0078,7385.1768
355337436,1.6892,3867.1875,6532.4111
355337476,1.7156,3867.1875,6634.4800
355337515,1.5308,3886.7188,5949.8970
355337554,1.7420,3867.1875,6736.5493
355337593,1.5044,3916.0156,5891.3877
355337633,1.6892,3876.9531,6548.9072
355337673,1.4780,3881.8359,5737.5112
355337712,1.7948,3867.1875,6940.6870
355337752,1.6892,3886.7188,6565.4033
355337791,1.7156,3872.0703,6642.8569
355337831,1.6628,3886.7188,6462.8188
355337871,1.9795,3862.3047,7645.5039
355337910,2.0323,3833.0078,7789.8438
355337950,1.8212,3833.0078,6980.5093
355337989,1.9003,3847.6563,7311.8467
355338029,1.7948,3847.6563,6905.6333
355338068,1.8739,3837.8906,7191.9932
355338107,1.6892,3906.2500,6598.3955
355338147,1.7156,3872.0703,6642.8569
355338186,1.6892,3867.1875,6532.4111
355338226,1.6628,3881.8359,6454.7002
355338266,1.6100,3867.1875,6226.2046
355338305,1.6364,3852.5391,6304.3027
355338345,1.7948,3872.0703,6949.4507
355338384,1.5836,3906.2500,6185.9956
355338424,1.7948,3842.7734,6896.8696
355338464,1.6892,3847.6563,6499.4194
355338503,1.8212,3852.5391,7016.0791
355338543,1.5836,3867.1875,6124.1353
355338582,1.9267,3847.6563,7413.4004
355338621,1.6628,3857.4219,6414.1045
355338660,1.6364,3886.7188,6360.2344
355338700,1.3989,3925.7813,5491.6172
355338740,1.6100,3886.7188,6257.6499
355338779,1.4780,3896.4844,5759.1621
355338819,1.8476,3857.4219,7126.7822
355338858,1.7156,3881.8359,6659.6108
355338898,2.1115,3837.8906,8103.6538
355338938,2.1115,3803.7109,8031.4839
355338977,1.7948,3862.3047,6931.9238
355339017,1.7420,3872.0703,6745.0552
355339056,1.4780,3916.0156,5788.0298
355339096,1.5572,3886.7188,6052.4810
355339136,1.5044,3916.0156,5891.3877
355339174,1.6364,3872.0703,6336.2637
355339214,1.8476,3852.5391,7117.7607
355339253,1.6628,3891.6016,6470.9380
355339293,1.9795,3842.7734,7606.8413
355339333,1.8212,3842.7734,6998.2939
355339372,1.8739,3852.5391,7219.4434
355339412,1.7420,3867.1875,6736.5493
355339451,1.9531,3828.1250,7476.8066
355339491,2.0059,3818.3594,7659.2930
355339531,1.8739,3852.5391,7219.4434
355339570,1.7156,3852.5391,6609.3496
355339610,1.9003,3837.8906,7293.2886
355339649,1.7156,3886.7188,6667.9878
355339688,1.7420,3872.0703,6745.0552
355339727,1.6892,3852.5391,6507.6675
355339767,1.7684,3872.0703,6847.2524
355339807,1.9267,3833.0078,7385.1768
355339846,1.8212,3842.7734,6998.2939
355339886,1.9003,3867.1875,7348.9624
355339925,1.9531,3823.2422,7467.2700
355339965,1.7948,3847.6563,6905.6333
355340005,1.7156,3872.0703,6642.8569
355340044,1.7684,3847.6563,6804.0796
355340084,1.8739,3833.0078,7182.8433
355340123,1.5836,3906.2500,6185.9956
355340163,1.6364,3886.7188,6360.2344
355340203,1.7684,3852.5391,6812.7144
355340241,1.8212,3847.6563,7007.1865
355340281,1.8739,3847.6563,7210.2935
355340320,2.1115,3813.4766,8052.1040
355340360,2.1115,3974.6094,8392.3340
355340400,2.0059,3813.4766,7649.4985
355340439,2.1643,3803.7109,8232.2715
355340479,2.1907,3798.8281,8321.9678
355340518,2.3226,3808.5938,8845.9736
355340558,2.1643,3789.0625,8200.5684
355340598,1.9531,3823.2422,7467.2700
355340637,1.9267,3842.7734,7403.9927
355340677,1.9003,3837.8906,7293.2886
355340716,1.7684,3862.3047,6829.9834
355340755,1.6100,3916.0156,6304.8184
355340795,1.7684,3872.0703,6847.2524
355340834,1.8739,3818.3594,7155.3926
355340874,2.0323,3842.7734,7809.6904
355340913,2.0323,3833.0078,7789.8438
355340953,2.1379,3774.4141,8069.2446
355340992,2.4546,3764.6484,9240.7168
355341032,2.4018,3769.5313,9053.7197
355341072,2.1907,3779.2969,8279.1816
355341111,2.2962,3798.8281,8723.0273
355341151,2.3226,3759.7656,8732.5635
355341190,2.2435,3769.5313,8456.7715
355341230,2.0587,3852.5391,7931.2197
355341270,1.9531,3833.0078,7486.3433
355341308,2.0059,3876.9531,7776.8271
355341348,2.0323,3842.7734,7809.6904
355341387,2.0059,3833.0078,7688.6768
355341427,2.0587,3789.0625,7800.5405
355341467,2.1115,3808.5938,8041.7939
355341506,2.0323,3837.8906,7799.7671
355341546,2.1907,3706.0547,8118.7324
355341585,2.2435,3779.2969,8478.6807
355341625,2.3490,3769.5313,8854.7373
355341665,2.1643,3774.4141,8168.8652
355341704,2.1115,3793.9453,8010.8643
355341744,2.4282,3789.0625,9200.6377
355341783,2.2435,3774.4141,8467.7256
355341822,2.0587,3818.3594,7860.8540
355341862,2.0851,3930.6641,8195.7998
355341901,2.1379,3798.8281,8121.4390
355341941,2.0059,3818.3594,7659.2930
355341980,1.9795,3833.0078,7587.5098
355342020,2.1379,3798.8281,8121.4390
355342060,2.1115,3818.3594,8062.4141
355342099,1.9531,3813.4766,7448.1963
355342139,2.1115,3779.2969,7979.9341
355342178,2.2171,3779.2969,8378.9307
355342218,2.2962,3769.5313,8655.7539
355342257,2.2435,3808.5938,8544.4063
355342297,2.2171,3774.4141,8368.1055
355342337,2.4018,3774.4141,9065.4473
355342375,2.2698,3784.1797,8589.5117
355342415,2.1115,3808.5938,8041.7939
355342454,2.1907,3803.7109,8332.6650
355342494,2.2698,3784.1797,8589.5117
355342534,2.1379,3798.8281,8121.4390
355342573,2.0323,3833.0078,7789.8438
355342613,2.1643,3803.7109,8232.2715
355342652,2.3226,3784.1797,8789.2686
355342692,2.1379,3803.7109,8131.8779
355342732,2.2171,3764.6484,8346.4541
355342771,2.2962,3798.8281,8723.0273
355342811,2.2435,3784.1797,8489.6348
355342850,2.1115,3798.8281,8021.1738
355342889,2.0851,3828.1250,7981.9966
355342929,2.1115,3813.4766,8052.1040
355342968,2.0851,3784.1797,7890.3667
355343008,2.0587,3842.7734,7911.1152
355343047,2.0323,3803.7109,7730.3037
355343087,2.2962,3774.4141,8666.9658
355343127,2.2962,3789.0625,8700.6025
355343166,2.3226,3774.4141,8766.5869
355343206,2.2435,3774.4141,8467.7256
355343245,2.3490,3779.2969,8877.6777
355343285,2.2435,3789.0625,8500.5889
355343325,2.2698,3769.5313,8556.2627
355343364,2.4282,3789.0625,9200.6377
355343404,2.4282,3750.0000,9105.7861
355343442,2.4018,3774.4141,9065.4473
355343482,2.4018,3774.4141,9065.4473
355343521,2.4018,3774.4141,9065.4473
355343561,2.1643,3813.4766,8253.4072
355343601,2.0059,3789.0625,7600.5264
355343640,1.9795,3823.2422,7568.1787
355343680,2.1643,3823.2422,8274.5430
355343719,1.9003,3808.5938,7237.6147
355343759,1.9795,3833.0078,7587.5098
355343799,2.2171,3774.4141,8368.1055
355343838,2.2698,3764.6484,8545.1797
355343878,2.1907,3798.8281,8321.9678
355343917,2.1643,3813.4766,8253.4072
355343956,2.2962,3769.5313,8655.7539
355343996,2.3226,3789.0625,8800.6094
355344035,2.2171,3813.4766,8454.7090
355344075,2.2698,3784.1797,8589.5117
355344114,2.2698,3793.9453,8611.6787
355344154,2.1379,3793.9453,8111.0000
355344194,2.2962,3784.1797,8689.3906
355344233,2.1643,3798.8281,8221.7041
355344273,2.2962,3789.0625,8700.6025
355344312,2.1115,3789.0625,8000.5542
355344352,2.0059,3833.0078,7688.6768
355344392,2.2698,3779.2969,8578.4287
355344431,2.3226,3789.0625,8800.6094
355344471,2.2435,3813.4766,8555.3613
355344509,2.0851,3808.5938,7941.2725
355344549,2.2698,3774.4141,8567.3457
355344589,2.2435,3847.6563,8632.0420
355344628,2.2435,3774.4141,8467.7256
355344668,2.3226,3779.2969,8777.9277
355344707,2.2698,3789.0625,8600.5957
355344747,2.1907,3789.0625,8300.5752
355344786,2.1379,3779.2969,8079.6836
355344826,2.1379,3784.1797,8090.1226
355344866,2.2962,3779.2969,8678.1787
355344905,2.2435,3789.0625,8500.5889
355344945,2.3754,3789.0625,9000.6230
355344984,2.2435,3784.1797,8489.6348
355345024,2.2698,3789.0625,8600.5957
355345063,2.1643,3779.2969,8179.4331
355345102,2.2698,3793.9453,8611.6787
355345142,2.2698,3779.2969,8578.4287
355345181,2.3226,3789.0625,8800.6094
355345221,2.1643,3779.2969,8179.4331
355345261,2.2435,3798.8281,8522.4980
355345300,2.3490,3750.0000,8808.8584
355345340,2.2171,3793.9453,8411.4072
355345379,2.3226,3789.0625,8800.6094
355345419,2.3226,3769.5313,8755.2461
355345459,2.2171,3813.4766,8454.7090
355345498,2.1907,3793.9453,8311.2715
355345538,2.2171,3813.4766,8454.7090
355345576,2.2171,3789.0625,8400.5820
355345616,2.0587,3803.7109,7830.6973
355345656,2.1115,3789.0625,8000.5542
355345695,2.2435,3803.7109,8533.4521
355345735,2.3490,3764.6484,8843.2676
355345774,2.4018,3764.6484,9041.9922
355345814,2.4282,3793.9453,9212.4941
355345854,2.4810,3754.8828,9315.8516
355345893,2.2171,3803.7109,8433.0586
355345933,2.1379,3818.3594,8163.1943
355345972,2.1643,3759.7656,8137.1621
355346012,2.3490,3808.5938,8946.4961
355346051,2.0851,3842.7734,8012.5400
355346091,2.2435,3784.1797,8489.6348
355346130,2.3226,3793.9453,8811.9512
355346169,2.2962,3779.2969,8678.1787
355346209,2.4018,3750.0000,9006.8096
355346248,2.4810,3769.5313,9352.1943
355346288,2.3754,3754.8828,8919.4326
355346328,2.2435,3857.4219,8653.9502
355346367,2.1907,3769.5313,8257.7881
