969,0.2?????L?969,863.9774
288207937,1.7948,3872.0703,6949.4507
288207977,1.9003,3872.0703,7358.2417
288208017,1.8212,3852.5391,7016.0791
288208056,1.7684,3867.1875,6838.6182
288208096,1.7684,3862.3047,6829.9834
288208135,1.7156,3872.0703,6642.8569
288208175,1.7156,3852.5391,6609.3496
288208215,1.7156,3886.7188,6667.9878
288208253,1.8476,3872.0703,7153.8462
288208293,1.8212,3876.9531,7060.5405
288208332,1.7420,3852.5391,6711.0322
288208372,1.7684,3881.8359,6864.5220
288208412,1.9003,3857.4219,7330.4048
288208451,1.8476,3872.0703,7153.8462
288208491,1.9267,3862.3047,7441.6240
288208530,1.7684,3867.1875,6838.6182
288208570,1.7948,3872.0703,6949.4507
288208610,1.7684,3837.8906,6786.8105
288208649,1.7156,3872.0703,6642.8569
288208689,1.8476,3876.9531,7162.8672
288208728,1.7684,3886.7188,6873.1567
288208768,1.8212,3867.1875,7042.7559
288208806,1.8476,3872.0703,7153.8462
288208846,1.7948,3857.4219,6923.1602
288208886,1.7684,3886.7188,6873.1567
288208925,1.9003,3857.4219,7330.4048
288208965,1.7420,3852.5391,6711.0322
288209004,1.8476,3867.1875,7144.8247
288209044,1.7420,3862.3047,6728.0435
288209084,1.7420,3881.8359,6762.0664
288209123,1.7948,3842.7734,6896.8696
288209163,1.7684,3857.4219,6821.3486
288209202,1.7684,3876.9531,6855.8872
288209242,1.7684,3867.1875,6838.6182
288209282,1.8212,3881.8359,7069.4331
288209320,1.7948,3867.1875,6940.6870
288209360,1.7420,3876.9531,6753.5605
288209399,1.8212,3857.4219,7024.9712
288209439,1.7948,3862.3047,6931.9238
288209479,1.7684,3842.7734,6795.4448
288209518,1.7420,3886.7188,6770.5723
288209558,1.7420,3867.1875,6736.5493
288209597,1.7420,3881.8359,6762.0664
288209637,1.7420,3862.3047,6728.0435
288209677,1.7948,3881.8359,6966.9775
288209716,1.8212,3886.7188,7078.3252
288209756,1.9267,3862.3047,7441.6240
288209795,1.7420,3842.7734,6694.0205
288209835,1.8212,3881.8359,7069.4331
288209874,1.7684,3872.0703,6847.2524
288209913,1.7948,3881.8359,6966.9775
288209953,1.7156,3867.1875,6634.4800
288209992,1.7156,3891.6016,6676.3643
288210032,1.7684,3857.4219,6821.3486
288210071,1.7948,3886.7188,6975.7412
288210111,1.6892,3857.4219,6515.9155
288210151,1.7420,3881.8359,6762.0664
288210190,1.8476,3828.1250,7072.6548
288210230,1.7684,3847.6563,6804.0796
288210269,1.7684,3852.5391,6812.7144
288210309,1.7156,3881.8359,6659.6108
288210349,1.7420,3876.9531,6753.5605
288210387,1.7684,3886.7188,6873.1567
288210427,1.7948,3862.3047,6931.9238
288210466,2.0323,3862.3047,7849.3838
288210506,2.1379,3823.2422,8173.6333
288210546,2.2171,3823.2422,8476.3604
288210585,2.2171,3808.5938,8443.8838
288210625,2.1643,3823.2422,8274.5430
288210664,2.1907,3798.8281,8321.9678
288210704,2.1907,3818.3594,8364.7549
288210744,2.1115,3779.2969,7979.9341
288210783,2.1115,3837.8906,8103.6538
288210823,2.1115,3803.7109,8031.4839
288210862,2.1643,3823.2422,8274.5430
288210902,2.2435,3793.9453,8511.5439
288210941,2.1907,3813.4766,8354.0576
288210980,2.3226,3784.1797,8789.2686
288211020,2.3490,3803.7109,8935.0264
288211059,2.2698,3798.8281,8622.7617
288211099,2.2698,3798.8281,8622.7617
288211139,2.1907,3798.8281,8321.9678
288211178,2.0851,3808.5938,7941.2725
288211218,2.0059,3847.6563,7718.0601
288211257,2.0059,3808.5938,7639.7041
288211297,2.0851,3833.0078,7992.1777
288211336,2.0851,3798.8281,7920.9102
288211376,2.1643,3837.8906,8306.2461
288211416,2.0587,3784.1797,7790.4883
288211454,2.1115,3833.0078,8093.3442
288211494,2.1115,3798.8281,8021.1738
288211533,2.0059,3847.6563,7718.0601
288211573,2.0323,3769.5313,7660.8398
288211613,2.0851,3828.1250,7981.9966
288211652,2.0323,3818.3594,7760.0737
288211692,2.0059,3813.4766,7649.4985
288211731,2.0059,3833.0078,7688.6768
288211771,2.1115,3813.4766,8052.1040
288211811,2.0851,3813.4766,7951.4531
288211850,2.1907,3818.3594,8364.7549
288211890,2.1907,3823.2422,8375.4512
288211929,2.0851,3808.5938,7941.2725
288211969,2.0587,3847.6563,7921.1675
288212008,2.1115,3803.7109,8031.4839
288212047,2.0587,3837.8906,7901.0630
288212087,2.0851,3837.8906,8002.3589
288212126,2.1379,3828.1250,8184.0723
288212166,2.1643,3803.7109,8232.2715
288212206,2.0323,3798.8281,7720.3799
288212245,2.1379,3798.8281,8121.4390
288212285,2.0851,3833.0078,7992.1777
288212324,2.2171,3813.4766,8454.7090
288212364,2.1379,3813.4766,8152.7554
288212404,2.2171,3837.8906,8508.8369
288212443,2.1643,3813.4766,8253.4072
288212483,2.0851,3828.1250,7981.9966
288212521,2.0851,3793.9453,7910.7290
288212561,2.1379,3828.1250,8184.0723
288212600,2.0587,3798.8281,7820.6450
288212640,2.0587,3808.5938,7840.7495
288212680,2.0059,3828.1250,7678.8823
288212719,2.0851,3837.8906,8002.3589
288212759,2.1115,3813.4766,8052.1040
288212798,2.1115,3798.8281,8021.1738
288212838,2.1643,3886.7188,8411.9229
288212878,2.2698,3784.1797,8589.5117
288212917,2.2435,3793.9453,8511.5439
288212957,2.1907,3793.9453,8311.2715
288212996,2.2171,3833.0078,8498.0117
288213036,2.1379,3789.0625,8100.5610
288213075,2.2698,3818.3594,8667.0947
288213114,2.1379,3789.0625,8100.5610
288213154,2.1115,3842.7734,8113.9639
288213193,2.0851,3808.5938,7941.2725
288213233,2.1643,3813.4766,8253.4072
288213273,2.1643,3813.4766,8253.4072
288213312,2.2171,3789.0625,8400.5820
288213352,2.1115,3837.8906,8103.6538
288213391,2.1643,3793.9453,8211.1357
288213431,2.1115,3676.7578,7763.4243
288213471,2.0851,3803.7109,7931.0913
288213510,2.2435,3808.5938,8544.4063
288213550,2.1643,3793.9453,8211.1357
288213588,2.2962,3808.5938,8745.4512
288213628,2.3490,3789.0625,8900.6172
288213668,2.1907,3789.0625,8300.5752
288213707,2.2698,3793.9453,8611.6787
288213747,2.2435,3798.8281,8522.4980
288213786,2.2698,3823.2422,8678.1777
288213826,2.2962,3789.0625,8700.6025
288213865,2.2962,3808.5938,8745.4512
288213905,2.2171,3784.1797,8389.7568
288213945,2.4018,3784.1797,9088.9033
288213984,2.2171,3774.4141,8368.1055
288214024,2.1643,3808.5938,8242.8398
288214063,2.1115,3793.9453,8010.8643
288214103,2.0851,3774.4141,7870.0044
288214142,2.0851,3818.3594,7961.6343
288214181,2.0587,3808.5938,7840.7495
288214221,2.1379,3837.8906,8204.9502
288214260,2.2171,3793.9453,8411.4072
288214300,2.2698,3798.8281,8622.7617
288214340,2.2435,3803.7109,8533.4521
288214379,2.4018,3808.5938,9147.5410
288214419,2.1379,3793.9453,8111.0000
288214458,2.2171,3813.4766,8454.7090
288214498,2.1907,3779.2969,8279.1816
288214538,2.2698,3808.5938,8644.9287
288214577,2.1643,3823.2422,8274.5430
288214617,2.2171,3793.9453,8411.4072
288214656,2.1907,3818.3594,8364.7549
288214695,2.1907,3779.2969,8279.1816
288214735,2.1643,3813.4766,8253.4072
288214774,2.2171,3779.2969,8378.9307
288214814,2.2435,3774.4141,8467.7256
288214853,2.2171,3769.5313,8357.2803
288214893,2.2962,3789.0625,8700.6025
288214933,2.1907,3789.0625,8300.5752
288214972,2.1643,3789.0625,8200.5684
288215012,2.2171,3754.8828,8324.8037
288215051,2.2698,3793.9453,8611.6787
288215091,2.2435,3813.4766,8555.3613
288215130,2.3226,3784.1797,8789.2686
288215170,2.2698,3808.5938,8644.9287
