12164b?I??1,411.3281,868.1014
288131164,1.6100,3896.4844,6273.3730
288131204,1.7156,3881.8359,6659.6108
288131243,1.6364,3911.1328,6400.1855
288131282,1.6628,3876.9531,6446.5811
288131321,1.7156,3901.3672,6693.1182
288131361,1.6892,3867.1875,6532.4111
288131401,1.6628,3876.9531,6446.5811
288131440,1.6628,3876.9531,6446.5811
288131480,1.6100,3920.8984,6312.6797
288131519,1.6628,3872.0703,6438.4619
288131559,1.7156,3906.2500,6701.4951
288131598,1.6100,3876.9531,6241.9272
288131638,1.6100,3745.1172,6029.6704
288131678,1.6100,3886.7188,6257.6499
288131717,1.5572,3901.3672,6075.2920
288131757,1.6364,3906.2500,6392.1953
288131795,1.6364,3891.6016,6368.2246
288131835,1.5572,3930.6641,6120.9136
288131875,1.7420,3886.7188,6770.5723
288131914,1.9531,3886.7188,7591.2476
288131954,2.0587,3823.2422,7870.9063
288131993,2.1643,3828.1250,8285.1104
288132033,2.2962,3798.8281,8723.0273
288132073,2.1907,3837.8906,8407.5410
288132112,2.0323,3813.4766,7750.1504
288132152,2.0323,3828.1250,7779.9204
288132191,2.0323,3862.3047,7849.3838
288132231,1.8476,3872.0703,7153.8462
288132271,1.9003,3867.1875,7348.9624
288132310,2.0059,3842.7734,7708.2656
288132349,1.9795,3852.5391,7626.1724
288132388,2.0851,3828.1250,7981.9966
288132428,2.1907,3828.1250,8386.1475
288132468,2.4810,3764.6484,9340.0801
288132507,2.6658,3774.4141,10061.6500
288132548,2.7977,3740.2344,10464.1270
288132588,2.7185,3759.7656,10221.0680
288132629,2.6658,3745.1172,9983.5527
288132669,2.4546,3764.6484,9240.7168
288132708,2.2698,3837.8906,8711.4277
288132748,2.1379,3813.4766,8152.7554
288132787,2.0059,3837.8906,7698.4712
288132827,2.0323,3847.6563,7819.6138
288132867,1.8739,3872.0703,7256.0439
288132905,1.8739,3881.8359,7274.3442
288132945,1.8212,3872.0703,7051.6484
288132984,1.7948,3891.6016,6984.5049
288133024,1.7684,3842.7734,6795.4448
288133064,1.9531,3847.6563,7514.9536
288133103,1.9003,3793.9453,7209.7778
288133143,2.0851,3852.5391,8032.9023
288133182,2.1907,3823.2422,8375.4512
288133222,2.1379,3813.4766,8152.7554
288133261,2.1907,3823.2422,8375.4512
288133301,2.1643,3818.3594,8263.9746
288133341,2.1115,3842.7734,8113.9639
288133380,2.0851,3779.2969,7880.1855
