,16,1282.0475
293069533,1.8739,3823.2422,7164.5430
293069572,1.6364,3847.6563,6296.3125
293069612,1.7156,3808.5938,6533.9575
293069650,1.4780,3857.4219,5701.4263
293069690,1.5308,3872.0703,5927.4727
293069730,1.6364,3847.6563,6296.3125
293069769,1.7156,3857.4219,6617.7266
293069809,1.8212,3828.1250,6971.6172
293069848,1.5308,3862.3047,5912.5234
293069888,1.8476,3867.1875,7144.8247
293069928,1.5836,3852.5391,6100.9380
293069967,1.8739,3828.1250,7173.6929
293070007,1.8476,3833.0078,7081.6758
293070046,1.6100,3847.6563,6194.7593
293070086,1.9531,3823.2422,7467.2700
293070126,1.6892,3837.8906,6482.9233
293070164,1.8212,3823.2422,6962.7246
293070204,1.5308,3857.4219,5905.0483
293070243,1.6364,3833.0078,6272.3418
293070283,1.6628,3837.8906,6381.6279
293070323,1.7684,3837.8906,6786.8105
293070362,1.7156,3789.0625,6500.4502
293070402,1.5308,3886.7188,5949.8970
293070441,1.5836,3852.5391,6100.9380
293070481,1.5836,3867.1875,6124.1353
293070521,1.9531,3842.7734,7505.4170
293070560,1.5836,3852.5391,6100.9380
293070600,1.5308,3867.1875,5919.9980
293070639,1.5572,3769.5313,5869.9941
293070679,1.6892,3867.1875,6532.4111
293070718,1.6364,3857.4219,6312.2930
293070757,1.6628,3847.6563,6397.8662
293070797,1.6892,3876.9531,6548.9072
293070836,1.5836,3847.6563,6093.2056
293070876,1.6628,3857.4219,6414.1045
293070915,1.5308,3876.9531,5934.9473
293070955,1.6100,3857.4219,6210.4819
293070995,1.5572,3891.6016,6060.0850
293071034,1.4780,3852.5391,5694.2090
293071074,1.5308,3867.1875,5919.9980
293071113,1.5572,3872.0703,6029.6704
293071153,1.6892,3974.6094,6713.8672
293071193,1.6364,3867.1875,6328.2734
293071232,1.6892,3833.0078,6474.6753
293071271,1.5044,3862.3047,5810.5830
293071310,1.5044,3876.9531,5832.6206
293071350,1.6100,3862.3047,6218.3433
293071390,1.5572,3833.0078,5968.8413
293071429,1.7948,3857.4219,6923.1602
293071469,1.5572,3842.7734,5984.0488
293071508,1.6628,3876.9531,6446.5811
293071548,1.4253,3876.9531,5525.6406
293071588,1.5308,3852.5391,5897.5737
293071627,1.6892,3847.6563,6499.4194
293071667,1.8212,3833.0078,6980.5093
293071706,1.7948,3847.6563,6905.6333
293071746,1.6364,3862.3047,6320.2832
293071785,1.7156,3823.2422,6559.0884
293071824,1.5044,3891.6016,5854.6582
293071864,1.7420,3823.2422,6659.9976
293071903,1.5308,3886.7188,5949.8970
293071943,1.8739,3837.8906,7191.9932
293071983,1.5044,3857.4219,5803.2368
293072022,1.6364,3867.1875,6328.2734
293072062,1.5836,3837.8906,6077.7407
293072101,1.5572,3872.0703,6029.6704
293072141,1.8212,3837.8906,6989.4019
293072180,1.6100,3847.6563,6194.7593
293072220,1.8212,3857.4219,7024.9712
293072260,1.5572,3857.4219,6006.8594
293072299,1.7948,3833.0078,6879.3428
293072338,1.6100,3862.3047,6218.3433
293072377,1.6628,3837.8906,6381.6279
293072417,1.4253,3881.8359,5532.5996
293072457,1.5836,3862.3047,6116.4028
293072496,1.6892,3867.1875,6532.4111
293072536,1.7156,3837.8906,6584.2188
293072575,1.4516,3867.1875,5613.7910
293072615,1.3197,3906.2500,5154.9961
293072655,1.6364,3857.4219,6312.2930
293072694,1.6364,3862.3047,6320.2832
293072734,1.7156,3847.6563,6600.9727
293072773,1.8476,3842.7734,7099.7183
293072813,1.5308,3872.0703,5927.4727
293072852,1.6892,3833.0078,6474.6753
293072891,1.7156,3857.4219,6617.7266
293072931,1.4516,3789.0625,5500.3809
293072970,1.2405,3916.0156,4857.8105
293073010,1.4780,3886.7188,5744.7280
293073050,1.3725,3862.3047,5300.8828
293073089,1.4780,3891.6016,5751.9448
293073129,1.2669,3891.6016,4930.2383
293073168,1.5836,3872.0703,6131.8682
293073208,1.4780,3876.9531,5730.2939
293073247,1.7156,3847.6563,6600.9727
293073287,1.4253,3906.2500,5567.3960
293073327,1.5572,3862.3047,6014.4629
293073366,1.4516,3881.8359,5635.0552
293073405,1.6100,3857.4219,6210.4819
293073444,1.4516,3833.0078,5564.1738
293073484,1.7156,3862.3047,6626.1030
293073524,1.5572,3833.0078,5968.8413
293073563,1.6892,3847.6563,6499.4194
293073603,1.5044,3867.1875,5817.9287
293073642,1.6892,3847.6563,6499.4194
293073682,1.6892,3857.4219,6515.9155
293073722,1.8476,3813.4766,7045.5908
293073761,1.6100,3867.1875,6226.2046
293073801,1.5044,3886.7188,5847.3125
293073840,1.6364,3847.6563,6296.3125
293073880,1.4780,3896.4844,5759.1621
293073920,1.7156,3662.1094,6282.6514
293073958,1.3725,3901.3672,5354.4946
293073998,1.5572,3857.4219,6006.8594
293074037,1.4253,3881.8359,5532.5996
293074077,1.4516,3886.7188,5642.1436
293074117,1.5572,3857.4219,6006.8594
293074156,1.3461,3916.0156,5271.2417
293074196,1.6364,3852.5391,6304.3027
293074235,1.4780,3886.7188,5744.7280
293074275,1.6628,3872.0703,6438.4619
293074315,1.2933,3886.7188,5026.6367
293074354,1.6100,3862.3047,6218.3433
293074394,1.3989,3857.4219,5395.9922
293074433,1.6364,3852.5391,6304.3027
293074472,1.4253,3881.8359,5532.5996
293074511,1.4253,3906.2500,5567.3960
293074551,1.4516,3896.4844,5656.3193
293074591,1.4516,3857.4219,5599.6147
293074630,1.2933,3916.0156,5064.5264
293074670,1.5044,3876.9531,5832.6206
293074709,1.4253,3886.7188,5539.5591
293074749,1.4516,3872.0703,5620.8789
293074789,1.4780,3862.3047,5708.6431
293074828,1.3989,3891.6016,5443.8047
293074868,1.3725,3886.7188,5334.3901
293074907,1.3461,3906.2500,5258.0962
293074947,1.4253,3886.7188,5539.5591
293074987,1.4253,3881.8359,5532.5996
293075025,1.6364,3876.9531,6344.2539
293075065,1.5044,3862.3047,5810.5830
293075104,1.8476,3837.8906,7090.6973
293075144,1.5836,3862.3047,6116.4028
293075184,1.4253,3867.1875,5511.7222
293075223,1.3197,3906.2500,5154.9961
293075263,1.5044,3867.1875,5817.9287
293075302,1.3461,3891.6016,5238.3784
293075342,1.4253,3881.8359,5532.5996
293075382,1.4780,3881.8359,5737.5112
293075421,1.5308,3876.9531,5934.9473
293075461,1.6100,3847.6563,6194.7593
293075500,1.7684,3842.7734,6795.4448
293075539,1.7684,3808.5938,6735.0024
293075579,1.8739,3823.2422,7164.5430
293075618,1.7948,3857.4219,6923.1602
293075658,1.5044,3862.3047,5810.5830
293075697,1.6892,3876.9531,6548.9072
293075737,1.6628,3813.4766,6341.0322
293075776,1.8476,3793.9453,7009.5059
293075816,2.2435,3759.7656,8434.8633
293075856,2.2962,3759.7656,8633.3301
293075895,2.1379,3793.9453,8111.0000
293075935,2.1379,3764.6484,8048.3667
293075974,1.9795,3813.4766,7548.8477
293076014,1.6628,3837.8906,6381.6279
293076054,1.5572,3842.7734,5984.0488
293076092,1.6628,3857.4219,6414.1045
293076132,1.7156,3823.2422,6559.0884
293076171,2.0059,3818.3594,7659.2930
293076211,1.9003,3818.3594,7256.1729
293076251,1.9795,3803.7109,7529.5161
293076290,2.1115,3798.8281,8021.1738
293076330,2.0587,3750.0000,7720.1226
293076369,1.9531,3823.2422,7467.2700
293076409,1.8476,3789.0625,7000.4849
293076449,1.8739,3833.0078,7182.8433
293076488,2.1115,3803.7109,8031.4839
293076528,2.0587,3784.1797,7790.4883
293076567,2.0851,3793.9453,7910.7290
293076606,2.0587,3759.7656,7740.2271
293076646,2.1907,3784.1797,8289.8779
293076685,2.2962,3754.8828,8622.1182
293076725,2.3490,3740.2344,8785.9180
293076764,2.2171,3779.2969,8378.9307
293076804,2.1379,3754.8828,8027.4893
293076844,2.1907,3779.2969,8279.1816
293076883,2.3490,3754.8828,8820.3281
293076923,2.1379,3789.0625,8100.5610
293076962,2.1379,3784.1797,8090.1226
293077002,2.0323,3803.7109,7730.3037
293077042,2.1379,3774.4141,8069.2446
293077081,2.3226,3740.2344,8687.2002
293077121,2.2698,3779.2969,8578.4287
293077159,2.1643,3764.6484,8147.7300
293077199,2.2962,3745.1172,8599.6934
293077238,2.4018,3769.5313,9053.7197
293077278,2.3226,3754.8828,8721.2227
293077318,2.2698,3784.1797,8589.5117
293077357,2.1907,3750.0000,8215.0020
293077397,2.4018,3754.8828,9018.5371
293077436,2.4810,3730.4688,9255.2803
293077476,2.4018,3759.7656,9030.2646
293077516,2.4546,3754.8828,9216.7461
293077555,2.4282,3706.0547,8999.0771
293077595,2.4282,3725.5859,9046.5029
293077634,2.4018,3764.6484,9041.9922
293077673,2.2698,3764.6484,8545.1797
293077713,2.2698,3769.5313,8556.2627
293077752,2.2171,3945.3125,8746.9980
293077792,2.1907,3759.7656,8236.3955
293077831,2.2171,3789.0625,8400.5820
293077871,2.1379,3750.0000,8017.0503
293077911,2.2962,3764.6484,8644.5420
293077950,2.3754,3735.3516,8873.0371
293077990,2.4018,3750.0000,9006.8096
293078029,2.4810,3730.4688,9255.2803
293078069,2.3490,3696.2891,8682.6895
293078109,2.3754,3759.7656,8931.0313
293078148,2.3754,3745.1172,8896.2344
293078188,2.2171,3769.5313,8357.2803
293078226,2.2435,3740.2344,8391.0459
293078266,2.3490,3745.1172,8797.3887
