1395,0.2?????&?000,965.0153
361869479,2.4810,3745.1172,9291.6230
361869518,2.2171,3789.0625,8400.5820
361869558,2.2435,3740.2344,8391.0459
361869598,2.2435,3735.3516,8380.0908
361869637,2.2435,3774.4141,8467.7256
361869677,2.1115,3769.5313,7959.3140
361869716,2.1379,3769.5313,8058.8057
361869756,2.1643,3789.0625,8200.5684
361869795,2.0851,3789.0625,7900.5479
361869835,2.1379,3754.8828,8027.4893
361869875,2.2698,3759.7656,8534.0957
361869914,2.2962,3774.4141,8666.9658
361869954,2.1379,3754.8828,8027.4893
361869992,2.1907,3769.5313,8257.7881
361870032,2.4546,3740.2344,9180.7900
361870072,2.3226,3745.1172,8698.5410
361870111,2.2962,3828.1250,8790.2998
361870151,2.2962,3740.2344,8588.4814
361870190,2.2962,3745.1172,8599.6934
361870230,2.2171,3779.2969,8378.9307
361870270,2.1379,3789.0625,8100.5610
361870309,2.2962,3764.6484,8644.5420
361870349,1.9795,3750.0000,7423.1943
361870388,1.9267,3803.7109,7328.7295
361870428,2.0587,3779.2969,7780.4360
361870468,2.2435,3784.1797,8489.6348
361870507,2.2962,3759.7656,8633.3301
361870546,2.2962,3740.2344,8588.4814
361870585,2.3754,3754.8828,8919.4326
361870625,2.5602,3740.2344,9575.6631
361870665,2.4282,3750.0000,9105.7861
361870704,2.1115,3784.1797,7990.2441
361870744,2.2171,3779.2969,8378.9307
361870783,2.2962,3725.5859,8554.8447
361870823,2.2698,3745.1172,8500.8467
361870863,2.2435,3774.4141,8467.7256
361870902,2.3226,3735.3516,8675.8594
361870942,2.4282,3735.3516,9070.2168
361870981,2.2698,3745.1172,8500.8467
361871021,2.2435,3750.0000,8412.9541
361871059,2.4018,3735.3516,8971.6270
361871099,2.4282,3754.8828,9117.6426
361871139,2.2698,3779.2969,8578.4287
361871178,2.2962,3764.6484,8644.5420
361871218,2.4282,3740.2344,9082.0732
361871257,2.4810,3745.1172,9291.6230
361871297,2.3490,3681.6406,8648.2803
361871337,2.3754,3735.3516,8873.0371
361871376,2.2435,3759.7656,8434.8633
361871416,2.0851,3784.1797,7890.3667
361871455,2.2698,3754.8828,8523.0127
361871495,2.3490,3774.4141,8866.2070
361871535,2.0323,3784.1797,7690.6099
361871574,2.1115,3759.7656,7938.6943
361871613,2.2698,3740.2344,8489.7627
361871652,2.2962,3745.1172,8599.6934
361871692,2.2962,3750.0000,8610.9053
361871732,2.1907,3789.0625,8300.5752
361871771,2.3754,3720.7031,8838.2412
361871811,2.3754,3730.4688,8861.4385
361871850,2.2962,3779.2969,8678.1787
361871890,2.2698,3754.8828,8523.0127
361871930,2.2171,3759.7656,8335.6289
361871969,2.1379,3774.4141,8069.2446
361872009,2.1115,3779.2969,7979.9341
361872048,2.1907,3745.1172,8204.3057
361872088,2.2698,3784.1797,8589.5117
361872128,2.1379,3784.1797,8090.1226
361872166,2.2962,3745.1172,8599.6934
361872206,2.3754,3735.3516,8873.0371
361872245,2.3226,3740.2344,8687.2002
361872285,2.2435,3740.2344,8391.0459
361872324,2.2435,3774.4141,8467.7256
361872364,2.2435,3789.0625,8500.5889
361872404,2.2698,3764.6484,8545.1797
361872443,2.0587,3784.1797,7790.4883
361872483,2.1907,3754.8828,8225.6982
361872522,2.1907,3754.8828,8225.6982
361872562,2.1379,3769.5313,8058.8057
361872602,2.1379,3613.2813,7724.7622
361872641,2.3226,3750.0000,8709.8818
361872680,2.3226,3764.6484,8743.9053
361872719,2.2698,3769.5313,8556.2627
361872759,2.2435,3715.8203,8336.2734
361872799,2.4282,3754.8828,9117.6426
361872838,2.2698,3769.5313,8556.2627
361872878,2.1115,3769.5313,7959.3140
361872917,2.1115,3754.8828,7928.3843
361872957,2.2698,3750.0000,8511.9297
361872997,2.0851,3764.6484,7849.6421
361873036,2.1907,3774.4141,8268.4854
361873076,2.1379,3779.2969,8079.6836
361873115,2.1115,3759.7656,7938.6943
361873155,2.0323,3774.4141,7670.7632
361873195,2.0851,3779.2969,7880.1855
361873233,2.2698,3754.8828,8523.0127
361873273,2.2435,3764.6484,8445.8174
361873312,2.2435,3789.0625,8500.5889
361873352,2.1643,3754.8828,8126.5942
361873392,2.4282,3735.3516,9070.2168
361873431,2.2435,3779.2969,8478.6807
361873471,2.1379,3759.7656,8037.9282
361873510,2.1379,3779.2969,8079.6836
361873550,2.1907,3681.6406,8065.2490
361873589,2.0851,3759.7656,7839.4609
361873629,2.0323,3769.5313,7660.8398
361873669,2.2698,3759.7656,8534.0957
361873708,2.3490,3754.8828,8820.3281
361873747,2.2698,3750.0000,8511.9297
361873786,2.3226,3784.1797,8789.2686
361873826,2.1907,3754.8828,8225.6982
361873866,2.4018,3745.1172,8995.0820
361873905,2.2435,3784.1797,8489.6348
361873945,2.1379,3774.4141,8069.2446
361873984,2.2698,3745.1172,8500.8467
361874024,2.1115,3798.8281,8021.1738
361874064,2.1907,3769.5313,8257.7881
361874103,2.3490,3657.2266,8590.9307
361874143,2.1907,3759.7656,8236.3955
361874182,2.1907,3759.7656,8236.3955
361874222,2.3490,3740.2344,8785.9180
361874262,2.3226,3740.2344,8687.2002
361874300,2.4282,3745.1172,9093.9297
361874340,2.2698,3740.2344,8489.7627
361874379,2.2962,3774.4141,8666.9658
361874419,2.2962,3750.0000,8610.9053
361874459,2.1907,3759.7656,8236.3955
361874498,2.1115,3779.2969,7979.9341
361874538,2.1115,3784.1797,7990.2441
361874577,2.1115,3764.6484,7949.0039
361874617,2.0323,3793.9453,7710.4565
361874657,2.1643,3764.6484,8147.7300
361874696,2.3490,3754.8828,8820.3281
361874736,2.2435,3750.0000,8412.9541
361874775,2.2698,3774.4141,8567.3457
361874814,2.3490,3735.3516,8774.4482
361874853,2.4282,3725.5859,9046.5029
361874893,2.2171,3784.1797,8389.7568
361874933,2.2435,3725.5859,8358.1826
361874972,2.2698,3754.8828,8523.0127
361875012,2.0851,3779.2969,7880.1855
361875051,1.9795,3789.0625,7500.5195
361875091,2.0059,3769.5313,7561.3481
361875131,2.1115,3774.4141,7969.6240
361875170,2.1643,3764.6484,8147.7300
361875210,2.0059,3774.4141,7571.1426
361875249,2.2171,3779.2969,8378.9307
361875289,2.2962,3754.8828,8622.1182
361875329,2.2171,3745.1172,8303.1523
361875367,2.1643,3779.2969,8179.4331
361875407,2.1907,3764.6484,8247.0918
361875446,2.1379,3754.8828,8027.4893
361875486,2.1115,3789.0625,8000.5542
361875526,2.1907,3750.0000,8215.0020
361875565,2.2698,3745.1172,8500.8467
361875605,2.1907,3754.8828,8225.6982
