8108??	r??5,4033.2031,958.0560
81098807,1.1613,3920.8984,4553.4082
81098845,1.2141,3916.0156,4754.4531
81098884,1.2669,3911.1328,4954.9824
81098921,1.1349,3925.7813,4455.4629
81098960,1.1877,3891.6016,4622.0986
81098999,1.1877,3920.8984,4656.8945
81099037,1.1877,3896.4844,4627.8979
81099076,1.2405,3935.5469,4882.0391
81099114,1.2405,3886.7188,4821.4683
81099153,1.2141,3920.8984,4760.3813
81099191,1.2405,3896.4844,4833.5820
81099230,1.3197,3925.7813,5180.7710
81099269,1.2405,3896.4844,4833.5820
81099307,1.1613,3930.6641,4564.7495
81099345,1.2141,3891.6016,4724.8120
81099383,1.2405,3925.7813,4869.9248
81099422,1.3197,3876.9531,5116.3335
81099461,1.2669,3920.8984,4967.3540
81099499,1.2141,3876.9531,4707.0273
81099538,1.2933,3911.1328,5058.2114
81099576,1.2405,3886.7188,4821.4683
81099615,1.2933,3916.0156,5064.5264
81099653,1.3197,3881.8359,5122.7773
81099692,1.2669,3911.1328,4954.9824
81099730,1.2933,3906.2500,5051.8965
81099768,1.4253,3891.6016,5546.5186
81099807,1.3989,3891.6016,5443.8047
81099845,1.3989,3886.7188,5436.9746
81099884,1.3725,3896.4844,5347.7930
81099922,1.3989,3881.8359,5430.1440
81099961,1.4780,3896.4844,5759.1621
81100000,1.3989,3891.6016,5443.8047
81100038,1.3989,3906.2500,5464.2959
81100077,1.3461,3896.4844,5244.9512
81100114,1.4253,3906.2500,5567.3960
81100153,1.3989,3872.0703,5416.4834
81100191,1.4516,3901.3672,5663.4077
81100230,1.5044,3842.7734,5781.1992
81100269,1.4780,3891.6016,5751.9448
81100307,1.0821,3911.1328,4232.3809
81100346,1.1085,3935.5469,4362.6733
81100384,1.1349,3925.7813,4455.4629
81100423,1.2405,3920.8984,4863.8677
81100462,1.3989,3862.3047,5402.8228
81100499,1.6628,3886.7188,6462.8188
81100538,1.9003,3803.7109,7228.3359
81100576,2.1643,3813.4766,8253.4072
81100615,2.4546,3764.6484,9240.7168
81100653,2.8505,3750.0000,10689.4000
81100693,2.9033,3696.2891,10731.4130
81100733,3.0880,3691.4063,11399.2430
81100772,2.9825,3676.7578,10965.8370
81100812,2.9033,3696.2891,10731.4130
81100851,2.6130,3715.8203,9709.3066
81100890,2.0587,3793.9453,7810.5928
81100929,2.0059,3828.1250,7678.8823
81100966,2.0059,3793.9453,7610.3208
81101005,2.0323,3828.1250,7779.9204
81101043,2.1643,3789.0625,8200.5684
81101082,2.1643,3823.2422,8274.5430
81101120,2.1379,3793.9453,8111.0000
81101159,2.1643,3813.4766,8253.4072
81101198,2.1379,3798.8281,8121.4390
81101236,1.9267,3847.6563,7413.4004
81101275,2.0587,3808.5938,7840.7495
81101313,1.9795,3828.1250,7577.8442
81101351,2.1115,3808.5938,8041.7939
81101389,1.9267,3837.8906,7394.5845
81101428,1.9531,3784.1797,7390.9761
81101467,1.9795,3828.1250,7577.8442
81101505,1.9003,3813.4766,7246.8936
81101544,1.9267,3833.0078,7385.1768
81101582,2.1379,3837.8906,8204.9502
81101621,2.2171,3803.7109,8433.0586
81101660,2.1643,3793.9453,8211.1357
81101698,2.4810,3784.1797,9388.5371
81101736,2.4546,3774.4141,9264.6875
81101774,2.2962,3764.6484,8644.5420
81101813,2.3226,3789.0625,8800.6094
81101851,2.2698,3769.5313,8556.2627
81101890,2.1643,3789.0625,8200.5684
81101929,2.2171,3754.8828,8324.8037
81101967,2.2435,3793.9453,8511.5439
81102006,2.2171,3793.9453,8411.4072
81102044,2.1643,3803.7109,8232.2715
81102083,2.1379,3774.4141,8069.2446
81102120,2.1643,3813.4766,8253.4072
81102159,2.0851,3779.2969,7880.1855
81102198,2.0851,3818.3594,7961.6343
81102236,2.1379,3774.4141,8069.2446
81102275,2.0851,3808.5938,7941.2725
81102313,2.0851,3769.5313,7859.8232
81102352,2.1379,3813.4766,8152.7554
81102391,2.1907,3764.6484,8247.0918
81102429,2.1379,3808.5938,8142.3169
81102468,2.1643,3774.4141,8168.8652
81102505,2.2435,3793.9453,8511.5439
81102544,2.2698,3779.2969,8578.4287
81102582,2.2698,3793.9453,8611.6787
81102621,2.2435,3759.7656,8434.8633
81102660,2.3226,3793.9453,8811.9512
81102698,2.3490,3774.4141,8866.2070
81102737,2.2698,3784.1797,8589.5117
81102775,2.2698,3784.1797,8589.5117
81102814,2.4546,3789.0625,9300.6436
81102852,2.3490,3784.1797,8889.1475
81102891,2.2171,3793.9453,8411.4072
81102929,2.1907,3784.1797,8289.8779
81102967,2.2698,3784.1797,8589.5117
81103006,2.2698,3793.9453,8611.6787
81103044,2.3226,3774.4141,8766.5869
81103083,2.4018,3779.2969,9077.1748
81103122,2.3754,3779.2969,8977.4258
81103160,2.3754,3784.1797,8989.0244
81103199,2.4018,3774.4141,9065.4473
81103237,2.3226,3779.2969,8777.9277
81103276,2.3490,3769.5313,8854.7373
81103313,2.4282,3793.9453,9212.4941
81103352,2.4546,3750.0000,9204.7607
81103391,2.3754,3769.5313,8954.2285
81103429,2.4018,3745.1172,8995.0820
81103468,2.4282,3779.2969,9176.9248
81103506,2.3490,3769.5313,8854.7373
81103545,2.3226,3784.1797,8789.2686
81103583,2.2698,3754.8828,8523.0127
81103622,2.2962,3793.9453,8711.8145
81103661,2.2435,3764.6484,8445.8174
81103698,2.2698,3793.9453,8611.6787
81103737,2.1643,3759.7656,8137.1621
81103775,2.3490,3798.8281,8923.5566
81103814,2.2698,3759.7656,8534.0957
81103852,2.3490,3793.9453,8912.0869
81103891,2.4018,3754.8828,9018.5371
81103930,2.4018,3779.2969,9077.1748
81103968,2.2962,3754.8828,8622.1182
81104007,2.2962,3784.1797,8689.3906
81104045,2.2435,3784.1797,8489.6348
81104083,2.3490,3793.9453,8912.0869
81104122,2.2435,3754.8828,8423.9082
81104160,2.3490,3784.1797,8889.1475
81104199,2.3490,3764.6484,8843.2676
81104237,2.2698,3789.0625,8600.5957
81104276,2.3490,3754.8828,8820.3281
81104314,2.4018,3779.2969,9077.1748
81104353,2.2698,3754.8828,8523.0127
81104392,2.2435,3779.2969,8478.6807
81104430,2.3490,3754.8828,8820.3281
