2700???&	??15,4023.4375,2017.6654
270042120,1.6628,3837.8906,6381.6279
270042160,1.5044,3867.1875,5817.9287
270042199,1.7684,3842.7734,6795.4448
270042238,1.6364,3872.0703,6336.2637
270042277,1.3989,3867.1875,5409.6528
270042317,1.5836,3872.0703,6131.8682
270042357,1.4516,3896.4844,5656.3193
270042396,1.5572,3847.6563,5991.6523
270042436,1.4516,3896.4844,5656.3193
270042475,1.5044,3867.1875,5817.9287
270042515,1.5308,3881.8359,5942.4224
270042554,1.4780,3847.6563,5686.9922
270042594,1.6100,3876.9531,6241.9272
270042634,1.3989,3867.1875,5409.6528
270042673,1.6100,3852.5391,6202.6206
270042713,1.3197,3896.4844,5142.1089
270042752,1.5308,3857.4219,5905.0483
270042791,1.4516,3886.7188,5642.1436
270042831,1.6628,3842.7734,6389.7471
270042870,1.5044,3896.4844,5862.0039
270042910,1.5308,3857.4219,5905.0483
270042949,1.6364,3872.0703,6336.2637
270042989,1.5044,3876.9531,5832.6206
270043029,1.6364,3837.8906,6280.3320
270043068,1.4516,3906.2500,5670.4956
270043108,1.6628,3847.6563,6397.8662
270043147,1.4253,3867.1875,5511.7222
270043187,1.6364,3857.4219,6312.2930
270043227,1.4253,3867.1875,5511.7222
270043266,1.5572,3852.5391,5999.2559
270043305,1.3725,3886.7188,5334.3901
270043344,1.5308,3881.8359,5942.4224
270043384,1.3461,3881.8359,5225.2334
270043424,1.5572,3881.8359,6044.8774
270043463,1.4516,3872.0703,5620.8789
270043503,1.4253,3886.7188,5539.5591
270043542,1.3725,3886.7188,5334.3901
270043582,1.5572,3833.0078,5968.8413
270043622,1.6364,3857.4219,6312.2930
270043661,1.9267,3789.0625,7300.5059
270043701,2.0059,3818.3594,7659.2930
270043740,1.9531,3798.8281,7419.5859
270043780,1.7156,3842.7734,6592.5957
270043819,1.5044,3945.3125,5935.4629
270043858,1.7156,3823.2422,6559.0884
270043898,1.6628,3867.1875,6430.3428
270043937,1.8212,3823.2422,6962.7246
270043977,1.8476,3837.8906,7090.6973
270044016,2.0587,3798.8281,7820.6450
270044056,2.1643,3745.1172,8105.4590
270044096,2.0851,3803.7109,7931.0913
270044135,2.1643,3759.7656,8137.1621
270044175,1.9531,3803.7109,7429.1230
270044214,2.1115,3769.5313,7959.3140
270044254,2.1379,3798.8281,8121.4390
270044294,2.2435,3754.8828,8423.9082
270044333,2.1643,3745.1172,8105.4590
270044372,2.1643,3769.5313,8158.2974
270044411,2.2435,3754.8828,8423.9082
270044451,2.4810,3750.0000,9303.7373
270044491,2.6658,3725.5859,9931.4873
270044530,2.3490,3750.0000,8808.8584
270044570,2.4018,3715.8203,8924.7158
270044609,2.4018,3735.3516,8971.6270
270044649,2.5074,3701.1719,9280.2822
